Owner:,FRIEDMAN ADENA T
Cname:,NASDAQ INC
Google Trends Search Term:,Adena Friedman
Google Trends Suggestion:,President of Nasdaq, Inc.
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,40
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,12
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,10
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,8
2007,Jun,0
2007,Jul,8
2007,Aug,0
2007,Sep,0
2007,Oct,0
2007,Nov,0
2007,Dec,0
2008,Jan,0
2008,Feb,6
2008,Mar,0
2008,Apr,0
2008,May,0
2008,Jun,0
2008,Jul,6
2008,Aug,0
2008,Sep,0
2008,Oct,0
2008,Nov,11
2008,Dec,0
2009,Jan,0
2009,Feb,5
2009,Mar,5
2009,Apr,5
2009,May,0
2009,Jun,0
2009,Jul,0
2009,Aug,0
2009,Sep,0
2009,Oct,0
2009,Nov,0
2009,Dec,5
2010,Jan,0
2010,Feb,0
2010,Mar,0
2010,Apr,4
2010,May,0
2010,Jun,0
2010,Jul,4
2010,Aug,4
2010,Sep,0
2010,Oct,0
2010,Nov,0
2010,Dec,0
2011,Jan,5
2011,Feb,38
2011,Mar,13
2011,Apr,3
2011,May,3
2011,Jun,5
2011,Jul,0
2011,Aug,5
2011,Sep,15
2011,Oct,14
2011,Nov,0
2011,Dec,5
2012,Jan,6
2012,Feb,4
2012,Mar,0
2012,Apr,2
2012,May,2
2012,Jun,4
2012,Jul,0
2012,Aug,0
2012,Sep,6
2012,Oct,0
2012,Nov,4
2012,Dec,2
2013,Jan,0
2013,Feb,11
2013,Mar,3
2013,Apr,9
2013,May,0
2013,Jun,6
2013,Jul,2
2013,Aug,4
2013,Sep,2
2013,Oct,0
2013,Nov,5
2013,Dec,3
2014,Jan,3
2014,Feb,2
2014,Mar,0
2014,Apr,0
2014,May,73
2014,Jun,18
2014,Jul,10
2014,Aug,0
2014,Sep,2
2014,Oct,7
2014,Nov,4
2014,Dec,11
2015,Jan,2
2015,Feb,2
2015,Mar,5
2015,Apr,2
2015,May,17
2015,Jun,4
2015,Jul,0
2015,Aug,6
2015,Sep,6
2015,Oct,7
2015,Nov,2
2015,Dec,21
2016,Jan,7
2016,Feb,2
2016,Mar,3
2016,Apr,6
2016,May,7
2016,Jun,2
2016,Jul,2
2016,Aug,3
2016,Sep,3
2016,Oct,7
2016,Nov,94
2016,Dec,11
2017,Jan,33
2017,Feb,21
2017,Mar,18
2017,Apr,12
2017,May,45
2017,Jun,12
2017,Jul,32
2017,Aug,14
2017,Sep,9
2017,Oct,13
2017,Nov,20
2017,Dec,13
2018,Jan,9
2018,Feb,15
2018,Mar,29
2018,Apr,18
2018,May,27
2018,Jun,14
2018,Jul,11
2018,Aug,12
2018,Sep,12
2018,Oct,35
2018,Nov,8
2018,Dec,10
2019,Jan,19
2019,Feb,11
2019,Mar,10
2019,Apr,18
2019,May,22
2019,Jun,9
2019,Jul,16
2019,Aug,8
2019,Sep,9
2019,Oct,17
2019,Nov,7
2019,Dec,13
2020,Jan,6
2020,Feb,17
2020,Mar,46
2020,Apr,20
2020,May,22
2020,Jun,17
2020,Jul,40
2020,Aug,9
2020,Sep,9
2020,Oct,17
2020,Nov,13
2020,Dec,35
2021,Jan,100
