Owner:,SCOTT H LEE JR
Cname:,WAL MART STORES INC
Google Trends Search Term:,H. Lee Scott, Jr.
Google Trends Suggestion:,Businessman
Category:,Reliable

Year,Month,SVI Data
2004,Jan,22
2004,Feb,22
2004,Mar,28
2004,Apr,0
2004,May,58
2004,Jun,79
2004,Jul,41
2004,Aug,0
2004,Sep,53
2004,Oct,18
2004,Nov,74
2004,Dec,66
2005,Jan,14
2005,Feb,76
2005,Mar,39
2005,Apr,44
2005,May,93
2005,Jun,14
2005,Jul,0
2005,Aug,63
2005,Sep,12
2005,Oct,33
2005,Nov,0
2005,Dec,85
2006,Jan,9
2006,Feb,78
2006,Mar,61
2006,Apr,64
2006,May,52
2006,Jun,9
2006,Jul,62
2006,Aug,49
2006,Sep,65
2006,Oct,67
2006,Nov,74
2006,Dec,37
2007,Jan,46
2007,Feb,62
2007,Mar,100
2007,Apr,57
2007,May,35
2007,Jun,25
2007,Jul,29
2007,Aug,17
2007,Sep,39
2007,Oct,45
2007,Nov,40
2007,Dec,26
2008,Jan,18
2008,Feb,38
2008,Mar,32
2008,Apr,49
2008,May,41
2008,Jun,29
2008,Jul,46
2008,Aug,23
2008,Sep,13
2008,Oct,58
2008,Nov,52
2008,Dec,38
2009,Jan,36
2009,Feb,38
2009,Mar,26
2009,Apr,27
2009,May,31
2009,Jun,31
2009,Jul,19
2009,Aug,26
2009,Sep,11
2009,Oct,14
2009,Nov,30
2009,Dec,4
2010,Jan,7
2010,Feb,11
2010,Mar,6
2010,Apr,10
2010,May,21
2010,Jun,11
2010,Jul,12
2010,Aug,0
2010,Sep,11
2010,Oct,6
2010,Nov,0
2010,Dec,5
2011,Jan,11
2011,Feb,9
2011,Mar,10
2011,Apr,9
2011,May,8
2011,Jun,4
2011,Jul,2
2011,Aug,6
2011,Sep,2
2011,Oct,9
2011,Nov,6
2011,Dec,5
2012,Jan,5
2012,Feb,5
2012,Mar,3
2012,Apr,23
2012,May,13
2012,Jun,7
2012,Jul,5
2012,Aug,5
2012,Sep,2
2012,Oct,8
2012,Nov,5
2012,Dec,1
2013,Jan,3
2013,Feb,4
2013,Mar,5
2013,Apr,7
2013,May,4
2013,Jun,4
2013,Jul,7
2013,Aug,3
2013,Sep,1
2013,Oct,0
2013,Nov,11
2013,Dec,3
2014,Jan,4
2014,Feb,8
2014,Mar,8
2014,Apr,5
2014,May,7
2014,Jun,3
2014,Jul,2
2014,Aug,7
2014,Sep,3
2014,Oct,8
2014,Nov,1
2014,Dec,3
2015,Jan,4
2015,Feb,0
2015,Mar,1
2015,Apr,1
2015,May,3
2015,Jun,3
2015,Jul,5
2015,Aug,3
2015,Sep,1
2015,Oct,3
2015,Nov,7
2015,Dec,7
2016,Jan,2
2016,Feb,5
2016,Mar,0
2016,Apr,3
2016,May,1
2016,Jun,1
2016,Jul,1
2016,Aug,2
2016,Sep,1
2016,Oct,1
2016,Nov,1
2016,Dec,2
2017,Jan,1
2017,Feb,4
2017,Mar,6
2017,Apr,0
2017,May,5
2017,Jun,0
2017,Jul,3
2017,Aug,5
2017,Sep,1
2017,Oct,5
2017,Nov,3
2017,Dec,4
2018,Jan,8
2018,Feb,4
2018,Mar,8
2018,Apr,0
2018,May,1
2018,Jun,4
2018,Jul,1
2018,Aug,0
2018,Sep,2
2018,Oct,4
2018,Nov,1
2018,Dec,1
2019,Jan,0
2019,Feb,1
2019,Mar,4
2019,Apr,2
2019,May,4
2019,Jun,0
2019,Jul,1
2019,Aug,2
2019,Sep,6
2019,Oct,1
2019,Nov,6
2019,Dec,2
2020,Jan,3
2020,Feb,4
2020,Mar,1
2020,Apr,2
2020,May,3
2020,Jun,2
2020,Jul,1
2020,Aug,1
2020,Sep,4
2020,Oct,2
2020,Nov,3
2020,Dec,1
2021,Jan,0
