Owner:,WOOD ANTHONY J
Cname:,ROKU INC
Google Trends Search Term:,Anthony Wood
Google Trends Suggestion:,CEO of Roku, Inc.
Category:,Reliable

Year,Month,SVI Data
2004,Jan,50
2004,Feb,0
2004,Mar,63
2004,Apr,0
2004,May,44
2004,Jun,45
2004,Jul,0
2004,Aug,41
2004,Sep,0
2004,Oct,41
2004,Nov,0
2004,Dec,0
2005,Jan,65
2005,Feb,34
2005,Mar,87
2005,Apr,67
2005,May,30
2005,Jun,31
2005,Jul,60
2005,Aug,28
2005,Sep,52
2005,Oct,0
2005,Nov,76
2005,Dec,96
2006,Jan,43
2006,Feb,22
2006,Mar,39
2006,Apr,0
2006,May,39
2006,Jun,21
2006,Jul,100
2006,Aug,0
2006,Sep,18
2006,Oct,50
2006,Nov,0
2006,Dec,33
2007,Jan,15
2007,Feb,31
2007,Mar,14
2007,Apr,28
2007,May,26
2007,Jun,14
2007,Jul,0
2007,Aug,12
2007,Sep,50
2007,Oct,45
2007,Nov,34
2007,Dec,23
2008,Jan,10
2008,Feb,11
2008,Mar,52
2008,Apr,20
2008,May,31
2008,Jun,11
2008,Jul,21
2008,Aug,10
2008,Sep,9
2008,Oct,9
2008,Nov,19
2008,Dec,9
2009,Jan,9
2009,Feb,56
2009,Mar,8
2009,Apr,9
2009,May,9
2009,Jun,26
2009,Jul,52
2009,Aug,51
2009,Sep,8
2009,Oct,29
2009,Nov,45
2009,Dec,29
2010,Jan,28
2010,Feb,36
2010,Mar,32
2010,Apr,27
2010,May,14
2010,Jun,36
2010,Jul,0
2010,Aug,18
2010,Sep,11
2010,Oct,22
2010,Nov,27
2010,Dec,27
2011,Jan,13
2011,Feb,28
2011,Mar,12
2011,Apr,13
2011,May,21
2011,Jun,30
2011,Jul,17
2011,Aug,36
2011,Sep,24
2011,Oct,15
2011,Nov,34
2011,Dec,18
2012,Jan,27
2012,Feb,10
2012,Mar,23
2012,Apr,17
2012,May,33
2012,Jun,35
2012,Jul,33
2012,Aug,19
2012,Sep,23
2012,Oct,12
2012,Nov,22
2012,Dec,24
2013,Jan,28
2013,Feb,21
2013,Mar,22
2013,Apr,20
2013,May,22
2013,Jun,29
2013,Jul,23
2013,Aug,17
2013,Sep,33
2013,Oct,11
2013,Nov,8
2013,Dec,14
2014,Jan,15
2014,Feb,20
2014,Mar,26
2014,Apr,26
2014,May,17
2014,Jun,16
2014,Jul,31
2014,Aug,12
2014,Sep,26
2014,Oct,25
2014,Nov,21
2014,Dec,15
2015,Jan,11
2015,Feb,18
2015,Mar,20
2015,Apr,26
2015,May,18
2015,Jun,31
2015,Jul,18
2015,Aug,24
2015,Sep,17
2015,Oct,11
2015,Nov,14
2015,Dec,14
2016,Jan,16
2016,Feb,26
2016,Mar,20
2016,Apr,25
2016,May,18
2016,Jun,12
2016,Jul,14
2016,Aug,29
2016,Sep,19
2016,Oct,47
2016,Nov,16
2016,Dec,11
2017,Jan,25
2017,Feb,20
2017,Mar,16
2017,Apr,12
2017,May,4
2017,Jun,7
2017,Jul,25
2017,Aug,17
2017,Sep,38
2017,Oct,29
2017,Nov,54
2017,Dec,27
2018,Jan,34
2018,Feb,9
2018,Mar,22
2018,Apr,18
2018,May,20
2018,Jun,17
2018,Jul,27
2018,Aug,37
2018,Sep,10
2018,Oct,14
2018,Nov,43
2018,Dec,14
2019,Jan,31
2019,Feb,31
2019,Mar,24
2019,Apr,12
2019,May,20
2019,Jun,15
2019,Jul,27
2019,Aug,24
2019,Sep,21
2019,Oct,25
2019,Nov,36
2019,Dec,22
2020,Jan,18
2020,Feb,28
2020,Mar,15
2020,Apr,22
2020,May,21
2020,Jun,19
2020,Jul,14
2020,Aug,32
2020,Sep,19
2020,Oct,32
2020,Nov,25
2020,Dec,32
2021,Jan,28
