Row Number,Owner,Google Trends Suggestion,Google Trends Search Term,SVI Index
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,19
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,18
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,9
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,9
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,8
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,31
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,22
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,22
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,36
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,43
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,17
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,30
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,11
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,34
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,6
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,11
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,11
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,26
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,16
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,10
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,20
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,18
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,23
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,13
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,9
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,17
