Row Number,Owner,Google Trends Suggestion,Google Trends Search Term,SVI Index
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,3
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,2
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,3
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,5
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,5
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,3
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,6
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,5
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,2
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,1
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,0
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,7
