date,Row Number,Owner,Google Trends Suggestion,Google Trends Search Term,SVI Index
2004-01,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,0
2004-02,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,0
2004-03,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,0
2004-04,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,0
2004-05,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,0
2004-06,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,0
2004-07,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,0
2004-08,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,0
2004-09,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,0
2004-10,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,61
2004-11,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,0
2004-12,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,0
2005-01,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,49
2005-02,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,52
2005-03,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,0
2005-04,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,0
2005-05,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,0
2005-06,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,0
2005-07,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,0
2005-08,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,0
2005-09,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,0
2005-10,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,0
2005-11,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,0
2005-12,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,0
2006-01,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,65
2006-02,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,0
2006-03,332,ALLISON JOHN A IV,Chief Executive Officer of BB&T,John A. Allison IV,0
