date,Row Number,Owner,Google Trends Suggestion,Google Trends Search Term,SVI Index
2004-01,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
2004-02,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
2004-03,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
2004-04,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
2004-05,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
2004-06,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
2004-07,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
2004-08,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
2004-09,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
2004-10,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,49
2004-11,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
2004-12,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,45
2005-01,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,39
2005-02,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
2005-03,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
2005-04,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,40
2005-05,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,72
2005-06,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,37
2005-07,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,73
2005-08,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
2005-09,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
2005-10,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
2005-11,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
2005-12,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,29
2006-01,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,52
2006-02,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
2006-03,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,24
2006-04,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,100
2006-05,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,47
2006-06,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
2006-07,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
2006-08,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,44
2006-09,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,45
2006-10,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,20
2006-11,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,20
2006-12,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
2007-01,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,71
2007-02,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
2007-03,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,68
2007-04,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,34
2007-05,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,47
2007-06,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,17
2007-07,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,32
2007-08,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,30
2007-09,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,15
2007-10,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
2007-11,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,14
2007-12,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,42
2008-01,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,37
2008-02,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,51
2008-03,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,50
2008-04,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,12
2008-05,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,25
2008-06,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,26
2008-07,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,25
2008-08,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
2008-09,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,23
2008-10,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,53
2008-11,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,23
2008-12,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,34
2009-01,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,32
2009-02,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,68
2009-03,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,41
2009-04,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,42
2009-05,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,42
2009-06,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,11
2009-07,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,21
2009-08,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
2009-09,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,30
2009-10,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,29
2009-11,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,20
2009-12,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,19
2010-01,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,9
2010-02,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,19
2010-03,138,ADKERSON RICHARD C,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
