date,Row Number,Owner,Google Trends Suggestion,Google Trends Search Term,SVI Index
2004-01,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,0
2004-02,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,0
2004-03,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,34
2004-04,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,26
2004-05,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,23
2004-06,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,24
2004-07,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,25
2004-08,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,67
2004-09,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,0
2004-10,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,22
2004-11,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,45
2004-12,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,20
2005-01,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,35
2005-02,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,37
2005-03,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,47
2005-04,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,36
2005-05,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,32
2005-06,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,49
2005-07,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,16
2005-08,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,76
2005-09,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,0
2005-10,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,40
2005-11,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,27
2005-12,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,39
2006-01,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,35
2006-02,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,47
2006-03,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,21
2006-04,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,100
2006-05,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,63
2006-06,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,0
2006-07,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,43
2006-08,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,30
2006-09,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,30
2006-10,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,18
2006-11,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,9
2006-12,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,27
2007-01,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,0
2007-02,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,25
2007-03,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,8
2007-04,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,46
2007-05,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,14
2007-06,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,22
2007-07,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,35
2007-08,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,20
2007-09,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,13
2007-10,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,48
2007-11,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,6
2007-12,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,13
2008-01,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,22
2008-02,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,34
2008-03,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,33
2008-04,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,33
2008-05,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,28
2008-06,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,12
2008-07,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,22
2008-08,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,11
2008-09,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,15
2008-10,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,33
2008-11,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,31
2008-12,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,36
2009-01,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,19
2009-02,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,35
2009-03,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,37
2009-04,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,37
2009-05,2351,BROCK JOHN F,Chief Executive Officer of Coca-Cola Enterprises,John F. Brock III,5
