Owner:,FOLEY WILLIAM P II,
Cname:,FIDELITY NATIONAL FINANCIAL IN,
Google Trends Search Term:,William P Foley II,
Google Trends Suggestion:,American businessman,
Category:,Reliable,
,,
Year,Month,SVI Data
2004,Jan,0
2004,Feb,25
2004,Mar,16
2004,Apr,12
2004,May,45
2004,Jun,23
2004,Jul,24
2004,Aug,32
2004,Sep,41
2004,Oct,31
2004,Nov,11
2004,Dec,29
2005,Jan,0
2005,Feb,17
2005,Mar,22
2005,Apr,0
2005,May,31
2005,Jun,16
2005,Jul,69
2005,Aug,15
2005,Sep,13
2005,Oct,44
2005,Nov,6
2005,Dec,31
2006,Jan,44
2006,Feb,6
2006,Mar,20
2006,Apr,26
2006,May,0
2006,Jun,0
2006,Jul,10
2006,Aug,42
2006,Sep,38
2006,Oct,30
2006,Nov,26
2006,Dec,17
2007,Jan,19
2007,Feb,8
2007,Mar,43
2007,Apr,22
2007,May,20
2007,Jun,39
2007,Jul,20
2007,Aug,13
2007,Sep,22
2007,Oct,29
2007,Nov,20
2007,Dec,27
2008,Jan,29
2008,Feb,30
2008,Mar,21
2008,Apr,34
2008,May,18
2008,Jun,6
2008,Jul,13
2008,Aug,8
2008,Sep,10
2008,Oct,18
2008,Nov,30
2008,Dec,17
2009,Jan,21
2009,Feb,17
2009,Mar,11
2009,Apr,15
2009,May,20
2009,Jun,14
2009,Jul,18
2009,Aug,22
2009,Sep,21
2009,Oct,18
2009,Nov,19
2009,Dec,22
2010,Jan,13
2010,Feb,20
2010,Mar,16
2010,Apr,13
2010,May,17
2010,Jun,16
2010,Jul,15
2010,Aug,26
2010,Sep,19
2010,Oct,17
2010,Nov,21
2010,Dec,14
2011,Jan,18
2011,Feb,18
2011,Mar,19
2011,Apr,13
2011,May,23
2011,Jun,19
2011,Jul,20
2011,Aug,15
2011,Sep,10
2011,Oct,6
2011,Nov,11
2011,Dec,16
2012,Jan,8
2012,Feb,14
2012,Mar,13
2012,Apr,17
2012,May,14
2012,Jun,16
2012,Jul,12
2012,Aug,19
2012,Sep,17
2012,Oct,12
2012,Nov,15
2012,Dec,8
2013,Jan,9
2013,Feb,69
2013,Mar,24
2013,Apr,22
2013,May,8
2013,Jun,14
2013,Jul,25
2013,Aug,13
2013,Sep,17
2013,Oct,20
2013,Nov,15
2013,Dec,13
2014,Jan,14
2014,Feb,8
2014,Mar,11
2014,Apr,14
2014,May,22
2014,Jun,12
2014,Jul,13
2014,Aug,15
2014,Sep,14
2014,Oct,20
2014,Nov,11
2014,Dec,26
2015,Jan,15
2015,Feb,24
2015,Mar,18
2015,Apr,17
2015,May,18
2015,Jun,20
2015,Jul,27
2015,Aug,14
2015,Sep,10
2015,Oct,15
2015,Nov,14
2015,Dec,14
2016,Jan,15
2016,Feb,40
2016,Mar,14
2016,Apr,26
2016,May,30
2016,Jun,100
2016,Jul,27
2016,Aug,27
2016,Sep,20
2016,Oct,17
2016,Nov,44
2016,Dec,30
2017,Jan,21
2017,Feb,16
2017,Mar,23
2017,Apr,17
2017,May,17
2017,Jun,30
2017,Jul,19
2017,Aug,17
2017,Sep,19
2017,Oct,36
2017,Nov,27
2017,Dec,23
2018,Jan,20
2018,Feb,16
2018,Mar,24
2018,Apr,40
2018,May,76
2018,Jun,32
2018,Jul,19
2018,Aug,58
2018,Sep,24
2018,Oct,16
2018,Nov,16
2018,Dec,18
2019,Jan,22
2019,Feb,20
2019,Mar,20
2019,Apr,26
2019,May,16
2019,Jun,21
2019,Jul,23
2019,Aug,12
2019,Sep,19
2019,Oct,9
2019,Nov,13
2019,Dec,18
2020,Jan,22
2020,Feb,13
2020,Mar,13
2020,Apr,12
2020,May,10
2020,Jun,28
2020,Jul,24
2020,Aug,21
2020,Sep,16
2020,Oct,23
2020,Nov,16
2020,Dec,46
2021,Jan,39
2021,Feb,34
2021,Mar,32
2021,Apr,25
2021,May,26
2021,Jun,28
2021,Jul,16
2021,Aug,12
2021,Sep,13
2021,Oct,16
2021,Nov,17
2021,Dec,20
2022,Jan,20
2022,Feb,11
2022,Mar,18
