CNAME:,EBAY INC
Google Trends Search Term:,ebay
Google Trends Suggestion:,e-commerce company
Google Trends URL:,/m/0z90c
Year,Month,SVI Data
2004,Jan,68
2004,Feb,68
2004,Mar,71
2004,Apr,69
2004,May,69
2004,Jun,72
2004,Jul,76
2004,Aug,77
2004,Sep,75
2004,Oct,74
2004,Nov,80
2004,Dec,86
2005,Jan,81
2005,Feb,79
2005,Mar,83
2005,Apr,80
2005,May,82
2005,Jun,85
2005,Jul,89
2005,Aug,90
2005,Sep,85
2005,Oct,84
2005,Nov,94
2005,Dec,100
2006,Jan,97
2006,Feb,92
2006,Mar,95
2006,Apr,90
2006,May,91
2006,Jun,92
2006,Jul,97
2006,Aug,99
2006,Sep,96
2006,Oct,92
2006,Nov,99
2006,Dec,98
2007,Jan,93
2007,Feb,92
2007,Mar,91
2007,Apr,91
2007,May,88
2007,Jun,91
2007,Jul,92
2007,Aug,96
2007,Sep,91
2007,Oct,88
2007,Nov,94
2007,Dec,100
2008,Jan,87
2008,Feb,85
2008,Mar,85
2008,Apr,86
2008,May,83
2008,Jun,85
2008,Jul,89
2008,Aug,90
2008,Sep,82
2008,Oct,80
2008,Nov,87
2008,Dec,92
2009,Jan,86
2009,Feb,84
2009,Mar,85
2009,Apr,78
2009,May,79
2009,Jun,78
2009,Jul,82
2009,Aug,79
2009,Sep,73
2009,Oct,75
2009,Nov,77
2009,Dec,81
2010,Jan,76
2010,Feb,72
2010,Mar,72
2010,Apr,70
2010,May,69
2010,Jun,67
2010,Jul,66
2010,Aug,66
2010,Sep,65
2010,Oct,65
2010,Nov,70
2010,Dec,75
2011,Jan,76
2011,Feb,77
2011,Mar,77
2011,Apr,74
2011,May,72
2011,Jun,74
2011,Jul,77
2011,Aug,79
2011,Sep,79
2011,Oct,75
2011,Nov,78
2011,Dec,81
2012,Jan,77
2012,Feb,78
2012,Mar,75
2012,Apr,77
2012,May,72
2012,Jun,75
2012,Jul,80
2012,Aug,76
2012,Sep,79
2012,Oct,79
2012,Nov,89
2012,Dec,91
2013,Jan,86
2013,Feb,84
2013,Mar,84
2013,Apr,82
2013,May,78
2013,Jun,80
2013,Jul,82
2013,Aug,82
2013,Sep,77
2013,Oct,75
2013,Nov,78
2013,Dec,85
2014,Jan,75
2014,Feb,77
2014,Mar,74
2014,Apr,71
2014,May,74
2014,Jun,72
2014,Jul,74
2014,Aug,73
2014,Sep,70
2014,Oct,65
2014,Nov,72
2014,Dec,74
2015,Jan,68
2015,Feb,65
2015,Mar,66
2015,Apr,65
2015,May,63
2015,Jun,63
2015,Jul,65
2015,Aug,67
2015,Sep,61
2015,Oct,59
2015,Nov,62
2015,Dec,63
2016,Jan,54
2016,Feb,53
2016,Mar,55
2016,Apr,50
2016,May,50
2016,Jun,52
2016,Jul,52
2016,Aug,53
2016,Sep,48
2016,Oct,48
2016,Nov,50
2016,Dec,52
2017,Jan,46
2017,Feb,47
2017,Mar,48
2017,Apr,48
2017,May,49
2017,Jun,49
2017,Jul,49
2017,Aug,49
2017,Sep,45
2017,Oct,44
2017,Nov,49
2017,Dec,49
2018,Jan,45
2018,Feb,44
2018,Mar,45
2018,Apr,42
2018,May,38
2018,Jun,40
2018,Jul,41
2018,Aug,37
2018,Sep,37
2018,Oct,38
2018,Nov,39
2018,Dec,39
2019,Jan,36
2019,Feb,35
2019,Mar,37
2019,Apr,35
2019,May,35
2019,Jun,35
2019,Jul,34
2019,Aug,34
2019,Sep,33
2019,Oct,32
2019,Nov,33
2019,Dec,35
2020,Jan,33
2020,Feb,33
2020,Mar,33
2020,Apr,39
2020,May,38
2020,Jun,37
2020,Jul,36
2020,Aug,33
2020,Sep,30
2020,Oct,31
2020,Nov,32
2020,Dec,34
2021,Jan,31
2021,Feb,31
2021,Mar,31
2021,Apr,29
2021,May,27
2021,Jun,26
2021,Jul,26
2021,Aug,25
2021,Sep,25
2021,Oct,24
2021,Nov,25
2021,Dec,26
2022,Jan,25
2022,Feb,25
2022,Mar,25
