CNAME:,KAYAK SOFTWARE CORP
Google Trends Search Term:,kayak
Google Trends Suggestion:,travel agency
Google Trends URL:,/m/02kwzwt
Year,Month,SVI Data
2004,Jan,4
2004,Feb,4
2004,Mar,6
2004,Apr,6
2004,May,8
2004,Jun,9
2004,Jul,9
2004,Aug,9
2004,Sep,6
2004,Oct,4
2004,Nov,5
2004,Dec,5
2005,Jan,5
2005,Feb,8
2005,Mar,9
2005,Apr,9
2005,May,10
2005,Jun,12
2005,Jul,12
2005,Aug,11
2005,Sep,8
2005,Oct,7
2005,Nov,7
2005,Dec,8
2006,Jan,8
2006,Feb,8
2006,Mar,10
2006,Apr,12
2006,May,15
2006,Jun,17
2006,Jul,21
2006,Aug,22
2006,Sep,17
2006,Oct,17
2006,Nov,16
2006,Dec,17
2007,Jan,21
2007,Feb,23
2007,Mar,25
2007,Apr,26
2007,May,28
2007,Jun,30
2007,Jul,31
2007,Aug,29
2007,Sep,28
2007,Oct,26
2007,Nov,25
2007,Dec,24
2008,Jan,29
2008,Feb,29
2008,Mar,38
2008,Apr,41
2008,May,44
2008,Jun,45
2008,Jul,45
2008,Aug,36
2008,Sep,31
2008,Oct,29
2008,Nov,32
2008,Dec,31
2009,Jan,42
2009,Feb,41
2009,Mar,46
2009,Apr,42
2009,May,46
2009,Jun,45
2009,Jul,46
2009,Aug,41
2009,Sep,38
2009,Oct,35
2009,Nov,42
2009,Dec,40
2010,Jan,50
2010,Feb,52
2010,Mar,54
2010,Apr,50
2010,May,53
2010,Jun,56
2010,Jul,51
2010,Aug,45
2010,Sep,44
2010,Oct,43
2010,Nov,44
2010,Dec,40
2011,Jan,62
2011,Feb,68
2011,Mar,69
2011,Apr,66
2011,May,76
2011,Jun,87
2011,Jul,91
2011,Aug,81
2011,Sep,77
2011,Oct,74
2011,Nov,71
2011,Dec,66
2012,Jan,94
2012,Feb,95
2012,Mar,97
2012,Apr,85
2012,May,86
2012,Jun,91
2012,Jul,100
2012,Aug,81
2012,Sep,75
2012,Oct,71
2012,Nov,71
2012,Dec,67
2013,Jan,91
2013,Feb,94
2013,Mar,95
2013,Apr,89
2013,May,89
2013,Jun,88
2013,Jul,91
2013,Aug,77
2013,Sep,70
2013,Oct,69
2013,Nov,64
2013,Dec,59
2014,Jan,83
2014,Feb,82
2014,Mar,83
2014,Apr,76
2014,May,86
2014,Jun,90
2014,Jul,86
2014,Aug,73
2014,Sep,68
2014,Oct,63
2014,Nov,58
2014,Dec,57
2015,Jan,69
2015,Feb,72
2015,Mar,77
2015,Apr,70
2015,May,74
2015,Jun,74
2015,Jul,72
2015,Aug,63
2015,Sep,56
2015,Oct,53
2015,Nov,49
2015,Dec,47
2016,Jan,49
2016,Feb,48
2016,Mar,52
2016,Apr,46
2016,May,54
2016,Jun,54
2016,Jul,50
2016,Aug,46
2016,Sep,39
2016,Oct,41
2016,Nov,38
2016,Dec,35
2017,Jan,45
2017,Feb,44
2017,Mar,50
2017,Apr,44
2017,May,46
2017,Jun,44
2017,Jul,42
2017,Aug,42
2017,Sep,34
2017,Oct,32
2017,Nov,31
2017,Dec,28
2018,Jan,38
2018,Feb,36
2018,Mar,36
2018,Apr,33
2018,May,36
2018,Jun,39
2018,Jul,38
2018,Aug,35
2018,Sep,32
2018,Oct,30
2018,Nov,26
2018,Dec,24
2019,Jan,34
2019,Feb,33
2019,Mar,34
2019,Apr,31
2019,May,34
2019,Jun,36
2019,Jul,34
2019,Aug,29
2019,Sep,25
2019,Oct,24
2019,Nov,22
2019,Dec,22
2020,Jan,28
2020,Feb,25
2020,Mar,16
2020,Apr,8
2020,May,14
2020,Jun,19
2020,Jul,16
2020,Aug,14
2020,Sep,13
2020,Oct,11
2020,Nov,9
2020,Dec,8
2021,Jan,9
2021,Feb,12
2021,Mar,18
2021,Apr,18
2021,May,22
2021,Jun,26
2021,Jul,23
2021,Aug,18
2021,Sep,17
2021,Oct,17
2021,Nov,18
2021,Dec,16
2022,Jan,18
2022,Feb,23
2022,Mar,26
