CNAME:,ECOLLEGE COM
Google Trends Search Term:,ecollege
Google Trends Suggestion:,software company
Google Trends URL:,/m/0g_csc
Year,Month,SVI Data
2004,Jan,29
2004,Feb,0
2004,Mar,36
2004,Apr,55
2004,May,0
2004,Jun,0
2004,Jul,26
2004,Aug,24
2004,Sep,45
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,19
2005,Feb,39
2005,Mar,17
2005,Apr,38
2005,May,0
2005,Jun,18
2005,Jul,0
2005,Aug,16
2005,Sep,30
2005,Oct,42
2005,Nov,72
2005,Dec,27
2006,Jan,61
2006,Feb,88
2006,Mar,79
2006,Apr,35
2006,May,100
2006,Jun,47
2006,Jul,92
2006,Aug,42
2006,Sep,42
2006,Oct,19
2006,Nov,48
2006,Dec,29
2007,Jan,8
2007,Feb,62
2007,Mar,40
2007,Apr,49
2007,May,45
2007,Jun,40
2007,Jul,37
2007,Aug,71
2007,Sep,57
2007,Oct,38
2007,Nov,32
2007,Dec,20
2008,Jan,47
2008,Feb,24
2008,Mar,41
2008,Apr,12
2008,May,18
2008,Jun,44
2008,Jul,42
2008,Aug,12
2008,Sep,27
2008,Oct,40
2008,Nov,28
2008,Dec,27
2009,Jan,20
2009,Feb,48
2009,Mar,44
2009,Apr,44
2009,May,75
2009,Jun,35
2009,Jul,50
2009,Aug,34
2009,Sep,33
2009,Oct,72
2009,Nov,32
2009,Dec,41
2010,Jan,34
2010,Feb,58
2010,Mar,60
2010,Apr,54
2010,May,48
2010,Jun,36
2010,Jul,23
2010,Aug,74
2010,Sep,60
2010,Oct,73
2010,Nov,41
2010,Dec,41
2011,Jan,29
2011,Feb,40
2011,Mar,49
2011,Apr,43
2011,May,29
2011,Jun,46
2011,Jul,34
2011,Aug,35
2011,Sep,69
2011,Oct,51
2011,Nov,40
2011,Dec,36
2012,Jan,53
2012,Feb,64
2012,Mar,47
2012,Apr,41
2012,May,37
2012,Jun,52
2012,Jul,37
2012,Aug,30
2012,Sep,42
2012,Oct,40
2012,Nov,43
2012,Dec,34
2013,Jan,46
2013,Feb,45
2013,Mar,32
2013,Apr,30
2013,May,36
2013,Jun,24
2013,Jul,37
2013,Aug,31
2013,Sep,50
2013,Oct,63
2013,Nov,22
2013,Dec,32
2014,Jan,26
2014,Feb,30
2014,Mar,33
2014,Apr,26
2014,May,19
2014,Jun,21
2014,Jul,25
2014,Aug,19
2014,Sep,25
2014,Oct,21
2014,Nov,20
2014,Dec,11
2015,Jan,16
2015,Feb,15
2015,Mar,16
2015,Apr,22
2015,May,20
2015,Jun,15
2015,Jul,19
2015,Aug,16
2015,Sep,34
2015,Oct,19
2015,Nov,14
2015,Dec,12
2016,Jan,25
2016,Feb,21
2016,Mar,15
2016,Apr,20
2016,May,13
2016,Jun,12
2016,Jul,7
2016,Aug,17
2016,Sep,14
2016,Oct,21
2016,Nov,10
2016,Dec,8
2017,Jan,9
2017,Feb,12
2017,Mar,10
2017,Apr,10
2017,May,8
2017,Jun,6
2017,Jul,1
2017,Aug,5
2017,Sep,12
2017,Oct,5
2017,Nov,13
2017,Dec,3
2018,Jan,9
2018,Feb,4
2018,Mar,4
2018,Apr,5
2018,May,10
2018,Jun,9
2018,Jul,9
2018,Aug,8
2018,Sep,18
2018,Oct,5
2018,Nov,3
2018,Dec,1
2019,Jan,2
2019,Feb,6
2019,Mar,5
2019,Apr,4
2019,May,2
2019,Jun,1
2019,Jul,5
2019,Aug,11
2019,Sep,11
2019,Oct,9
2019,Nov,5
2019,Dec,3
2020,Jan,8
2020,Feb,3
2020,Mar,4
2020,Apr,4
2020,May,9
2020,Jun,10
2020,Jul,1
2020,Aug,6
2020,Sep,17
2020,Oct,5
2020,Nov,8
2020,Dec,0
2021,Jan,6
2021,Feb,3
2021,Mar,7
2021,Apr,4
2021,May,2
2021,Jun,0
2021,Jul,0
2021,Aug,2
2021,Sep,10
2021,Oct,6
2021,Nov,0
2021,Dec,0
2022,Jan,3
2022,Feb,4
2022,Mar,5
