CNAME:,KENNAMETAL INC
Google Trends Search Term:,kennametal
Google Trends Suggestion:,company
Google Trends URL:,/m/0h2fp8
Year,Month,SVI Data
2004,Jan,82
2004,Feb,76
2004,Mar,70
2004,Apr,74
2004,May,56
2004,Jun,50
2004,Jul,75
2004,Aug,100
2004,Sep,65
2004,Oct,70
2004,Nov,68
2004,Dec,64
2005,Jan,61
2005,Feb,65
2005,Mar,100
2005,Apr,98
2005,May,77
2005,Jun,100
2005,Jul,78
2005,Aug,61
2005,Sep,61
2005,Oct,80
2005,Nov,56
2005,Dec,68
2006,Jan,83
2006,Feb,77
2006,Mar,84
2006,Apr,67
2006,May,85
2006,Jun,81
2006,Jul,71
2006,Aug,80
2006,Sep,82
2006,Oct,84
2006,Nov,63
2006,Dec,58
2007,Jan,88
2007,Feb,88
2007,Mar,75
2007,Apr,65
2007,May,72
2007,Jun,55
2007,Jul,70
2007,Aug,85
2007,Sep,69
2007,Oct,76
2007,Nov,67
2007,Dec,62
2008,Jan,74
2008,Feb,74
2008,Mar,52
2008,Apr,72
2008,May,68
2008,Jun,76
2008,Jul,75
2008,Aug,76
2008,Sep,75
2008,Oct,68
2008,Nov,69
2008,Dec,73
2009,Jan,66
2009,Feb,73
2009,Mar,53
2009,Apr,52
2009,May,59
2009,Jun,71
2009,Jul,68
2009,Aug,59
2009,Sep,56
2009,Oct,49
2009,Nov,60
2009,Dec,50
2010,Jan,56
2010,Feb,62
2010,Mar,52
2010,Apr,59
2010,May,63
2010,Jun,59
2010,Jul,47
2010,Aug,43
2010,Sep,39
2010,Oct,62
2010,Nov,44
2010,Dec,45
2011,Jan,58
2011,Feb,50
2011,Mar,56
2011,Apr,50
2011,May,54
2011,Jun,57
2011,Jul,42
2011,Aug,51
2011,Sep,45
2011,Oct,47
2011,Nov,53
2011,Dec,45
2012,Jan,52
2012,Feb,56
2012,Mar,51
2012,Apr,53
2012,May,44
2012,Jun,46
2012,Jul,51
2012,Aug,55
2012,Sep,49
2012,Oct,56
2012,Nov,42
2012,Dec,35
2013,Jan,46
2013,Feb,49
2013,Mar,52
2013,Apr,46
2013,May,44
2013,Jun,43
2013,Jul,43
2013,Aug,50
2013,Sep,51
2013,Oct,42
2013,Nov,42
2013,Dec,40
2014,Jan,51
2014,Feb,56
2014,Mar,45
2014,Apr,46
2014,May,47
2014,Jun,52
2014,Jul,49
2014,Aug,50
2014,Sep,57
2014,Oct,48
2014,Nov,48
2014,Dec,42
2015,Jan,54
2015,Feb,49
2015,Mar,62
2015,Apr,55
2015,May,46
2015,Jun,50
2015,Jul,50
2015,Aug,58
2015,Sep,56
2015,Oct,55
2015,Nov,53
2015,Dec,47
2016,Jan,38
2016,Feb,44
2016,Mar,43
2016,Apr,43
2016,May,39
2016,Jun,42
2016,Jul,36
2016,Aug,41
2016,Sep,36
2016,Oct,42
2016,Nov,32
2016,Dec,26
2017,Jan,40
2017,Feb,36
2017,Mar,39
2017,Apr,28
2017,May,40
2017,Jun,38
2017,Jul,31
2017,Aug,42
2017,Sep,37
2017,Oct,44
2017,Nov,34
2017,Dec,33
2018,Jan,36
2018,Feb,42
2018,Mar,47
2018,Apr,38
2018,May,36
2018,Jun,38
2018,Jul,41
2018,Aug,49
2018,Sep,40
2018,Oct,45
2018,Nov,44
2018,Dec,38
2019,Jan,46
2019,Feb,43
2019,Mar,49
2019,Apr,45
2019,May,43
2019,Jun,42
2019,Jul,37
2019,Aug,40
2019,Sep,40
2019,Oct,51
2019,Nov,35
2019,Dec,34
2020,Jan,42
2020,Feb,42
2020,Mar,38
2020,Apr,31
2020,May,28
2020,Jun,34
2020,Jul,28
2020,Aug,32
2020,Sep,27
2020,Oct,32
2020,Nov,31
2020,Dec,25
2021,Jan,32
2021,Feb,36
2021,Mar,37
2021,Apr,39
2021,May,38
2021,Jun,34
2021,Jul,33
2021,Aug,38
2021,Sep,33
2021,Oct,35
2021,Nov,31
2021,Dec,30
2022,Jan,40
2022,Feb,44
2022,Mar,46
