CNAME:,VIRGIN MEDIA INC
Google Trends Search Term:,virgin media
Google Trends Suggestion:,media company
Google Trends URL:,/m/0963jy
Year,Month,SVI Data
2004,Jan,100
2004,Feb,65
2004,Mar,52
2004,Apr,57
2004,May,71
2004,Jun,52
2004,Jul,71
2004,Aug,63
2004,Sep,72
2004,Oct,87
2004,Nov,68
2004,Dec,56
2005,Jan,56
2005,Feb,29
2005,Mar,41
2005,Apr,44
2005,May,34
2005,Jun,35
2005,Jul,29
2005,Aug,38
2005,Sep,30
2005,Oct,42
2005,Nov,35
2005,Dec,35
2006,Jan,32
2006,Feb,27
2006,Mar,34
2006,Apr,27
2006,May,28
2006,Jun,29
2006,Jul,34
2006,Aug,27
2006,Sep,31
2006,Oct,29
2006,Nov,38
2006,Dec,23
2007,Jan,41
2007,Feb,51
2007,Mar,48
2007,Apr,63
2007,May,72
2007,Jun,70
2007,Jul,91
2007,Aug,87
2007,Sep,79
2007,Oct,84
2007,Nov,73
2007,Dec,64
2008,Jan,83
2008,Feb,69
2008,Mar,71
2008,Apr,81
2008,May,63
2008,Jun,66
2008,Jul,74
2008,Aug,82
2008,Sep,81
2008,Oct,62
2008,Nov,58
2008,Dec,49
2009,Jan,44
2009,Feb,49
2009,Mar,41
2009,Apr,53
2009,May,54
2009,Jun,59
2009,Jul,65
2009,Aug,58
2009,Sep,56
2009,Oct,57
2009,Nov,57
2009,Dec,45
2010,Jan,54
2010,Feb,60
2010,Mar,62
2010,Apr,65
2010,May,67
2010,Jun,73
2010,Jul,83
2010,Aug,69
2010,Sep,89
2010,Oct,74
2010,Nov,73
2010,Dec,61
2011,Jan,45
2011,Feb,48
2011,Mar,41
2011,Apr,45
2011,May,38
2011,Jun,49
2011,Jul,44
2011,Aug,44
2011,Sep,40
2011,Oct,35
2011,Nov,39
2011,Dec,32
2012,Jan,39
2012,Feb,32
2012,Mar,32
2012,Apr,32
2012,May,34
2012,Jun,29
2012,Jul,34
2012,Aug,31
2012,Sep,32
2012,Oct,29
2012,Nov,27
2012,Dec,25
2013,Jan,27
2013,Feb,39
2013,Mar,25
2013,Apr,26
2013,May,24
2013,Jun,26
2013,Jul,24
2013,Aug,29
2013,Sep,26
2013,Oct,20
2013,Nov,23
2013,Dec,18
2014,Jan,18
2014,Feb,18
2014,Mar,20
2014,Apr,21
2014,May,25
2014,Jun,20
2014,Jul,24
2014,Aug,25
2014,Sep,22
2014,Oct,25
2014,Nov,24
2014,Dec,14
2015,Jan,17
2015,Feb,18
2015,Mar,17
2015,Apr,18
2015,May,15
2015,Jun,19
2015,Jul,23
2015,Aug,33
2015,Sep,25
2015,Oct,20
2015,Nov,17
2015,Dec,14
2016,Jan,13
2016,Feb,12
2016,Mar,14
2016,Apr,13
2016,May,14
2016,Jun,13
2016,Jul,19
2016,Aug,17
2016,Sep,16
2016,Oct,14
2016,Nov,14
2016,Dec,13
2017,Jan,13
2017,Feb,14
2017,Mar,12
2017,Apr,11
2017,May,13
2017,Jun,12
2017,Jul,18
2017,Aug,16
2017,Sep,14
2017,Oct,15
2017,Nov,11
2017,Dec,8
2018,Jan,8
2018,Feb,7
2018,Mar,7
2018,Apr,8
2018,May,9
2018,Jun,8
2018,Jul,9
2018,Aug,11
2018,Sep,11
2018,Oct,12
2018,Nov,10
2018,Dec,8
2019,Jan,9
2019,Feb,8
2019,Mar,8
2019,Apr,10
2019,May,9
2019,Jun,8
2019,Jul,9
2019,Aug,10
2019,Sep,12
2019,Oct,12
2019,Nov,11
2019,Dec,13
2020,Jan,16
2020,Feb,14
2020,Mar,16
2020,Apr,14
2020,May,12
2020,Jun,16
2020,Jul,13
2020,Aug,14
2020,Sep,12
2020,Oct,14
2020,Nov,14
2020,Dec,16
2021,Jan,15
2021,Feb,14
2021,Mar,11
2021,Apr,12
2021,May,12
2021,Jun,16
2021,Jul,14
2021,Aug,12
2021,Sep,14
2021,Oct,18
2021,Nov,13
2021,Dec,12
2022,Jan,12
2022,Feb,9
2022,Mar,11
