CNAME:,ENERGIZER HOLDINGS INC NEW
Google Trends Search Term:,energizer
Google Trends Suggestion:,company
Google Trends URL:,/m/033hzt
Year,Month,SVI Data
2004,Jan,82
2004,Feb,62
2004,Mar,79
2004,Apr,74
2004,May,78
2004,Jun,63
2004,Jul,58
2004,Aug,65
2004,Sep,91
2004,Oct,87
2004,Nov,87
2004,Dec,63
2005,Jan,68
2005,Feb,79
2005,Mar,69
2005,Apr,64
2005,May,58
2005,Jun,66
2005,Jul,31
2005,Aug,51
2005,Sep,76
2005,Oct,80
2005,Nov,79
2005,Dec,73
2006,Jan,63
2006,Feb,67
2006,Mar,77
2006,Apr,49
2006,May,69
2006,Jun,58
2006,Jul,55
2006,Aug,64
2006,Sep,64
2006,Oct,85
2006,Nov,67
2006,Dec,67
2007,Jan,72
2007,Feb,50
2007,Mar,64
2007,Apr,49
2007,May,70
2007,Jun,63
2007,Jul,71
2007,Aug,43
2007,Sep,61
2007,Oct,91
2007,Nov,62
2007,Dec,75
2008,Jan,73
2008,Feb,68
2008,Mar,59
2008,Apr,72
2008,May,65
2008,Jun,42
2008,Jul,57
2008,Aug,56
2008,Sep,55
2008,Oct,70
2008,Nov,65
2008,Dec,68
2009,Jan,59
2009,Feb,54
2009,Mar,47
2009,Apr,56
2009,May,55
2009,Jun,58
2009,Jul,50
2009,Aug,46
2009,Sep,60
2009,Oct,72
2009,Nov,57
2009,Dec,59
2010,Jan,52
2010,Feb,47
2010,Mar,52
2010,Apr,53
2010,May,59
2010,Jun,52
2010,Jul,52
2010,Aug,53
2010,Sep,52
2010,Oct,69
2010,Nov,63
2010,Dec,68
2011,Jan,62
2011,Feb,54
2011,Mar,52
2011,Apr,56
2011,May,54
2011,Jun,52
2011,Jul,38
2011,Aug,52
2011,Sep,48
2011,Oct,70
2011,Nov,56
2011,Dec,55
2012,Jan,46
2012,Feb,48
2012,Mar,44
2012,Apr,48
2012,May,46
2012,Jun,46
2012,Jul,43
2012,Aug,47
2012,Sep,46
2012,Oct,61
2012,Nov,64
2012,Dec,52
2013,Jan,54
2013,Feb,40
2013,Mar,44
2013,Apr,44
2013,May,42
2013,Jun,45
2013,Jul,42
2013,Aug,44
2013,Sep,47
2013,Oct,90
2013,Nov,97
2013,Dec,100
2014,Jan,68
2014,Feb,60
2014,Mar,50
2014,Apr,51
2014,May,51
2014,Jun,45
2014,Jul,68
2014,Aug,40
2014,Sep,43
2014,Oct,78
2014,Nov,64
2014,Dec,69
2015,Jan,56
2015,Feb,50
2015,Mar,47
2015,Apr,53
2015,May,40
2015,Jun,46
2015,Jul,54
2015,Aug,40
2015,Sep,46
2015,Oct,56
2015,Nov,40
2015,Dec,46
2016,Jan,39
2016,Feb,40
2016,Mar,44
2016,Apr,39
2016,May,55
2016,Jun,39
2016,Jul,40
2016,Aug,33
2016,Sep,50
2016,Oct,91
2016,Nov,62
2016,Dec,52
2017,Jan,46
2017,Feb,44
2017,Mar,53
2017,Apr,44
2017,May,41
2017,Jun,38
2017,Jul,47
2017,Aug,54
2017,Sep,68
2017,Oct,83
2017,Nov,59
2017,Dec,55
2018,Jan,55
2018,Feb,45
2018,Mar,44
2018,Apr,42
2018,May,43
2018,Jun,38
2018,Jul,43
2018,Aug,35
2018,Sep,41
2018,Oct,64
2018,Nov,55
2018,Dec,55
2019,Jan,44
2019,Feb,38
2019,Mar,38
2019,Apr,38
2019,May,36
2019,Jun,35
2019,Jul,40
2019,Aug,36
2019,Sep,38
2019,Oct,55
2019,Nov,46
2019,Dec,46
2020,Jan,41
2020,Feb,38
2020,Mar,34
2020,Apr,40
2020,May,35
2020,Jun,36
2020,Jul,36
2020,Aug,36
2020,Sep,33
2020,Oct,50
2020,Nov,37
2020,Dec,48
2021,Jan,35
2021,Feb,36
2021,Mar,33
2021,Apr,35
2021,May,29
2021,Jun,30
2021,Jul,27
2021,Aug,31
2021,Sep,34
2021,Oct,45
2021,Nov,46
2021,Dec,42
2022,Jan,26
2022,Feb,30
2022,Mar,27
