CNAME:,PEGASUS DIGITAL MOBILITY ACQUI
Google Trends Search Term:,pegasus airlines
Google Trends Suggestion:,airline
Google Trends URL:,/m/05fgw8
Year,Month,SVI Data
2004,Jan,70
2004,Feb,37
2004,Mar,35
2004,Apr,23
2004,May,30
2004,Jun,59
2004,Jul,54
2004,Aug,23
2004,Sep,30
2004,Oct,22
2004,Nov,35
2004,Dec,18
2005,Jan,25
2005,Feb,21
2005,Mar,36
2005,Apr,21
2005,May,21
2005,Jun,28
2005,Jul,23
2005,Aug,31
2005,Sep,29
2005,Oct,29
2005,Nov,40
2005,Dec,33
2006,Jan,28
2006,Feb,27
2006,Mar,27
2006,Apr,34
2006,May,30
2006,Jun,33
2006,Jul,24
2006,Aug,38
2006,Sep,31
2006,Oct,28
2006,Nov,31
2006,Dec,34
2007,Jan,38
2007,Feb,35
2007,Mar,33
2007,Apr,46
2007,May,42
2007,Jun,39
2007,Jul,43
2007,Aug,37
2007,Sep,47
2007,Oct,39
2007,Nov,33
2007,Dec,42
2008,Jan,42
2008,Feb,56
2008,Mar,46
2008,Apr,51
2008,May,47
2008,Jun,43
2008,Jul,42
2008,Aug,41
2008,Sep,44
2008,Oct,22
2008,Nov,37
2008,Dec,38
2009,Jan,49
2009,Feb,33
2009,Mar,36
2009,Apr,51
2009,May,50
2009,Jun,47
2009,Jul,50
2009,Aug,49
2009,Sep,46
2009,Oct,59
2009,Nov,70
2009,Dec,60
2010,Jan,81
2010,Feb,69
2010,Mar,77
2010,Apr,88
2010,May,81
2010,Jun,82
2010,Jul,100
2010,Aug,74
2010,Sep,60
2010,Oct,70
2010,Nov,66
2010,Dec,55
2011,Jan,27
2011,Feb,36
2011,Mar,32
2011,Apr,36
2011,May,40
2011,Jun,37
2011,Jul,32
2011,Aug,35
2011,Sep,32
2011,Oct,22
2011,Nov,21
2011,Dec,22
2012,Jan,24
2012,Feb,29
2012,Mar,32
2012,Apr,29
2012,May,33
2012,Jun,33
2012,Jul,26
2012,Aug,32
2012,Sep,26
2012,Oct,23
2012,Nov,25
2012,Dec,28
2013,Jan,30
2013,Feb,29
2013,Mar,27
2013,Apr,31
2013,May,34
2013,Jun,34
2013,Jul,30
2013,Aug,26
2013,Sep,26
2013,Oct,36
2013,Nov,26
2013,Dec,24
2014,Jan,29
2014,Feb,39
2014,Mar,39
2014,Apr,34
2014,May,35
2014,Jun,41
2014,Jul,36
2014,Aug,37
2014,Sep,32
2014,Oct,24
2014,Nov,25
2014,Dec,26
2015,Jan,31
2015,Feb,25
2015,Mar,29
2015,Apr,27
2015,May,31
2015,Jun,34
2015,Jul,30
2015,Aug,31
2015,Sep,25
2015,Oct,24
2015,Nov,25
2015,Dec,25
2016,Jan,23
2016,Feb,22
2016,Mar,20
2016,Apr,23
2016,May,28
2016,Jun,33
2016,Jul,31
2016,Aug,26
2016,Sep,24
2016,Oct,20
2016,Nov,18
2016,Dec,20
2017,Jan,27
2017,Feb,23
2017,Mar,25
2017,Apr,29
2017,May,28
2017,Jun,32
2017,Jul,29
2017,Aug,29
2017,Sep,27
2017,Oct,22
2017,Nov,19
2017,Dec,20
2018,Jan,56
2018,Feb,22
2018,Mar,25
2018,Apr,22
2018,May,26
2018,Jun,21
2018,Jul,21
2018,Aug,21
2018,Sep,21
2018,Oct,18
2018,Nov,17
2018,Dec,15
2019,Jan,22
2019,Feb,18
2019,Mar,23
2019,Apr,21
2019,May,19
2019,Jun,23
2019,Jul,22
2019,Aug,25
2019,Sep,27
2019,Oct,22
2019,Nov,21
2019,Dec,28
2020,Jan,28
2020,Feb,64
2020,Mar,27
2020,Apr,17
2020,May,18
2020,Jun,18
2020,Jul,22
2020,Aug,21
2020,Sep,16
2020,Oct,17
2020,Nov,18
2020,Dec,16
2021,Jan,16
2021,Feb,12
2021,Mar,18
2021,Apr,18
2021,May,20
2021,Jun,19
2021,Jul,24
2021,Aug,20
2021,Sep,19
2021,Oct,24
2021,Nov,19
2021,Dec,13
2022,Jan,21
2022,Feb,13
2022,Mar,22
