CNAME:,URBAN OUTFITTERS INC
Google Trends Search Term:,urban outfitters
Google Trends Suggestion:,retail company
Google Trends URL:,/m/03kgz4
Year,Month,SVI Data
2004,Jan,33
2004,Feb,33
2004,Mar,33
2004,Apr,31
2004,May,30
2004,Jun,28
2004,Jul,38
2004,Aug,35
2004,Sep,33
2004,Oct,33
2004,Nov,36
2004,Dec,45
2005,Jan,32
2005,Feb,31
2005,Mar,33
2005,Apr,32
2005,May,36
2005,Jun,34
2005,Jul,47
2005,Aug,41
2005,Sep,34
2005,Oct,36
2005,Nov,40
2005,Dec,48
2006,Jan,33
2006,Feb,34
2006,Mar,35
2006,Apr,33
2006,May,33
2006,Jun,34
2006,Jul,33
2006,Aug,39
2006,Sep,34
2006,Oct,34
2006,Nov,41
2006,Dec,48
2007,Jan,33
2007,Feb,35
2007,Mar,35
2007,Apr,34
2007,May,34
2007,Jun,34
2007,Jul,35
2007,Aug,39
2007,Sep,37
2007,Oct,37
2007,Nov,47
2007,Dec,62
2008,Jan,39
2008,Feb,41
2008,Mar,41
2008,Apr,40
2008,May,41
2008,Jun,40
2008,Jul,45
2008,Aug,52
2008,Sep,43
2008,Oct,45
2008,Nov,55
2008,Dec,70
2009,Jan,43
2009,Feb,41
2009,Mar,42
2009,Apr,38
2009,May,37
2009,Jun,32
2009,Jul,35
2009,Aug,38
2009,Sep,34
2009,Oct,37
2009,Nov,54
2009,Dec,62
2010,Jan,44
2010,Feb,47
2010,Mar,45
2010,Apr,42
2010,May,41
2010,Jun,40
2010,Jul,46
2010,Aug,50
2010,Sep,46
2010,Oct,49
2010,Nov,61
2010,Dec,66
2011,Jan,52
2011,Feb,54
2011,Mar,55
2011,Apr,54
2011,May,55
2011,Jun,55
2011,Jul,57
2011,Aug,66
2011,Sep,57
2011,Oct,59
2011,Nov,76
2011,Dec,80
2012,Jan,60
2012,Feb,60
2012,Mar,58
2012,Apr,62
2012,May,60
2012,Jun,62
2012,Jul,71
2012,Aug,77
2012,Sep,66
2012,Oct,66
2012,Nov,89
2012,Dec,94
2013,Jan,67
2013,Feb,68
2013,Mar,66
2013,Apr,64
2013,May,66
2013,Jun,67
2013,Jul,70
2013,Aug,76
2013,Sep,64
2013,Oct,68
2013,Nov,82
2013,Dec,100
2014,Jan,64
2014,Feb,62
2014,Mar,64
2014,Apr,63
2014,May,64
2014,Jun,60
2014,Jul,64
2014,Aug,65
2014,Sep,66
2014,Oct,57
2014,Nov,70
2014,Dec,81
2015,Jan,56
2015,Feb,56
2015,Mar,56
2015,Apr,54
2015,May,54
2015,Jun,59
2015,Jul,60
2015,Aug,62
2015,Sep,55
2015,Oct,53
2015,Nov,69
2015,Dec,74
2016,Jan,55
2016,Feb,55
2016,Mar,57
2016,Apr,55
2016,May,58
2016,Jun,57
2016,Jul,64
2016,Aug,62
2016,Sep,55
2016,Oct,56
2016,Nov,74
2016,Dec,86
2017,Jan,54
2017,Feb,54
2017,Mar,56
2017,Apr,58
2017,May,55
2017,Jun,54
2017,Jul,57
2017,Aug,58
2017,Sep,53
2017,Oct,55
2017,Nov,74
2017,Dec,71
2018,Jan,51
2018,Feb,51
2018,Mar,54
2018,Apr,52
2018,May,51
2018,Jun,51
2018,Jul,56
2018,Aug,54
2018,Sep,50
2018,Oct,49
2018,Nov,67
2018,Dec,62
2019,Jan,45
2019,Feb,44
2019,Mar,47
2019,Apr,45
2019,May,45
2019,Jun,43
2019,Jul,51
2019,Aug,51
2019,Sep,44
2019,Oct,43
2019,Nov,52
2019,Dec,58
2020,Jan,39
2020,Feb,38
2020,Mar,42
2020,Apr,50
2020,May,51
2020,Jun,48
2020,Jul,47
2020,Aug,47
2020,Sep,42
2020,Oct,39
2020,Nov,47
2020,Dec,47
2021,Jan,36
2021,Feb,36
2021,Mar,37
2021,Apr,38
2021,May,36
2021,Jun,37
2021,Jul,39
2021,Aug,40
2021,Sep,36
2021,Oct,36
2021,Nov,50
2021,Dec,47
2022,Jan,40
2022,Feb,38
2022,Mar,37
