CNAME:,KNOLL INC
Google Trends Search Term:,knoll
Google Trends Suggestion:,manufacturing company
Google Trends URL:,/m/026lkzp
Year,Month,SVI Data
2004,Jan,65
2004,Feb,61
2004,Mar,83
2004,Apr,71
2004,May,71
2004,Jun,62
2004,Jul,82
2004,Aug,69
2004,Sep,63
2004,Oct,77
2004,Nov,67
2004,Dec,70
2005,Jan,60
2005,Feb,74
2005,Mar,70
2005,Apr,70
2005,May,69
2005,Jun,64
2005,Jul,66
2005,Aug,57
2005,Sep,61
2005,Oct,65
2005,Nov,61
2005,Dec,64
2006,Jan,60
2006,Feb,54
2006,Mar,65
2006,Apr,71
2006,May,68
2006,Jun,54
2006,Jul,60
2006,Aug,61
2006,Sep,66
2006,Oct,68
2006,Nov,61
2006,Dec,49
2007,Jan,60
2007,Feb,56
2007,Mar,56
2007,Apr,57
2007,May,53
2007,Jun,59
2007,Jul,57
2007,Aug,61
2007,Sep,55
2007,Oct,59
2007,Nov,53
2007,Dec,53
2008,Jan,53
2008,Feb,55
2008,Mar,56
2008,Apr,57
2008,May,57
2008,Jun,52
2008,Jul,55
2008,Aug,59
2008,Sep,50
2008,Oct,49
2008,Nov,49
2008,Dec,43
2009,Jan,43
2009,Feb,48
2009,Mar,48
2009,Apr,47
2009,May,42
2009,Jun,50
2009,Jul,49
2009,Aug,42
2009,Sep,40
2009,Oct,42
2009,Nov,43
2009,Dec,36
2010,Jan,43
2010,Feb,44
2010,Mar,42
2010,Apr,44
2010,May,50
2010,Jun,43
2010,Jul,37
2010,Aug,42
2010,Sep,41
2010,Oct,47
2010,Nov,39
2010,Dec,34
2011,Jan,45
2011,Feb,48
2011,Mar,42
2011,Apr,38
2011,May,41
2011,Jun,41
2011,Jul,37
2011,Aug,41
2011,Sep,43
2011,Oct,38
2011,Nov,38
2011,Dec,36
2012,Jan,39
2012,Feb,40
2012,Mar,39
2012,Apr,42
2012,May,39
2012,Jun,43
2012,Jul,36
2012,Aug,40
2012,Sep,38
2012,Oct,37
2012,Nov,34
2012,Dec,28
2013,Jan,35
2013,Feb,39
2013,Mar,36
2013,Apr,41
2013,May,37
2013,Jun,37
2013,Jul,35
2013,Aug,37
2013,Sep,36
2013,Oct,38
2013,Nov,35
2013,Dec,28
2014,Jan,36
2014,Feb,37
2014,Mar,36
2014,Apr,37
2014,May,35
2014,Jun,38
2014,Jul,36
2014,Aug,35
2014,Sep,39
2014,Oct,32
2014,Nov,35
2014,Dec,32
2015,Jan,33
2015,Feb,41
2015,Mar,36
2015,Apr,38
2015,May,37
2015,Jun,37
2015,Jul,38
2015,Aug,37
2015,Sep,38
2015,Oct,34
2015,Nov,35
2015,Dec,30
2016,Jan,32
2016,Feb,34
2016,Mar,37
2016,Apr,37
2016,May,34
2016,Jun,32
2016,Jul,31
2016,Aug,34
2016,Sep,33
2016,Oct,32
2016,Nov,31
2016,Dec,27
2017,Jan,34
2017,Feb,35
2017,Mar,36
2017,Apr,35
2017,May,31
2017,Jun,31
2017,Jul,33
2017,Aug,35
2017,Sep,30
2017,Oct,30
2017,Nov,30
2017,Dec,27
2018,Jan,29
2018,Feb,36
2018,Mar,36
2018,Apr,30
2018,May,32
2018,Jun,35
2018,Jul,29
2018,Aug,28
2018,Sep,30
2018,Oct,30
2018,Nov,27
2018,Dec,24
2019,Jan,29
2019,Feb,30
2019,Mar,33
2019,Apr,30
2019,May,33
2019,Jun,33
2019,Jul,28
2019,Aug,29
2019,Sep,32
2019,Oct,31
2019,Nov,28
2019,Dec,23
2020,Jan,26
2020,Feb,30
2020,Mar,24
2020,Apr,26
2020,May,23
2020,Jun,30
2020,Jul,28
2020,Aug,30
2020,Sep,30
2020,Oct,25
2020,Nov,23
2020,Dec,20
2021,Jan,25
2021,Feb,24
2021,Mar,27
2021,Apr,34
2021,May,25
2021,Jun,27
2021,Jul,25
2021,Aug,24
2021,Sep,27
2021,Oct,23
2021,Nov,26
2021,Dec,23
2022,Jan,100
2022,Feb,28
2022,Mar,26
