CNAME:,EXELON CORP
Google Trends Search Term:,exelon
Google Trends Suggestion:,company
Google Trends URL:,/m/06vlnl
Year,Month,SVI Data
2004,Jan,68
2004,Feb,86
2004,Mar,82
2004,Apr,82
2004,May,85
2004,Jun,89
2004,Jul,100
2004,Aug,78
2004,Sep,64
2004,Oct,79
2004,Nov,78
2004,Dec,98
2005,Jan,80
2005,Feb,68
2005,Mar,90
2005,Apr,73
2005,May,75
2005,Jun,79
2005,Jul,80
2005,Aug,81
2005,Sep,69
2005,Oct,74
2005,Nov,73
2005,Dec,69
2006,Jan,80
2006,Feb,64
2006,Mar,79
2006,Apr,75
2006,May,71
2006,Jun,78
2006,Jul,84
2006,Aug,90
2006,Sep,89
2006,Oct,67
2006,Nov,60
2006,Dec,54
2007,Jan,64
2007,Feb,67
2007,Mar,73
2007,Apr,67
2007,May,79
2007,Jun,67
2007,Jul,83
2007,Aug,74
2007,Sep,71
2007,Oct,77
2007,Nov,67
2007,Dec,63
2008,Jan,77
2008,Feb,75
2008,Mar,64
2008,Apr,70
2008,May,68
2008,Jun,68
2008,Jul,69
2008,Aug,64
2008,Sep,69
2008,Oct,89
2008,Nov,71
2008,Dec,61
2009,Jan,72
2009,Feb,74
2009,Mar,72
2009,Apr,67
2009,May,63
2009,Jun,70
2009,Jul,80
2009,Aug,52
2009,Sep,55
2009,Oct,55
2009,Nov,51
2009,Dec,47
2010,Jan,57
2010,Feb,66
2010,Mar,58
2010,Apr,67
2010,May,59
2010,Jun,56
2010,Jul,45
2010,Aug,52
2010,Sep,51
2010,Oct,49
2010,Nov,47
2010,Dec,45
2011,Jan,61
2011,Feb,66
2011,Mar,68
2011,Apr,73
2011,May,56
2011,Jun,58
2011,Jul,54
2011,Aug,54
2011,Sep,52
2011,Oct,51
2011,Nov,54
2011,Dec,46
2012,Jan,59
2012,Feb,60
2012,Mar,56
2012,Apr,55
2012,May,53
2012,Jun,50
2012,Jul,52
2012,Aug,48
2012,Sep,50
2012,Oct,52
2012,Nov,51
2012,Dec,42
2013,Jan,55
2013,Feb,52
2013,Mar,47
2013,Apr,50
2013,May,50
2013,Jun,46
2013,Jul,47
2013,Aug,46
2013,Sep,42
2013,Oct,45
2013,Nov,45
2013,Dec,40
2014,Jan,44
2014,Feb,42
2014,Mar,41
2014,Apr,53
2014,May,50
2014,Jun,49
2014,Jul,49
2014,Aug,45
2014,Sep,46
2014,Oct,51
2014,Nov,47
2014,Dec,41
2015,Jan,48
2015,Feb,46
2015,Mar,46
2015,Apr,47
2015,May,46
2015,Jun,45
2015,Jul,51
2015,Aug,52
2015,Sep,50
2015,Oct,45
2015,Nov,39
2015,Dec,39
2016,Jan,38
2016,Feb,51
2016,Mar,60
2016,Apr,44
2016,May,47
2016,Jun,47
2016,Jul,40
2016,Aug,40
2016,Sep,32
2016,Oct,38
2016,Nov,38
2016,Dec,41
2017,Jan,39
2017,Feb,40
2017,Mar,39
2017,Apr,36
2017,May,37
2017,Jun,39
2017,Jul,38
2017,Aug,38
2017,Sep,37
2017,Oct,36
2017,Nov,37
2017,Dec,32
2018,Jan,38
2018,Feb,38
2018,Mar,36
2018,Apr,35
2018,May,34
2018,Jun,37
2018,Jul,38
2018,Aug,37
2018,Sep,36
2018,Oct,40
2018,Nov,34
2018,Dec,31
2019,Jan,38
2019,Feb,40
2019,Mar,39
2019,Apr,39
2019,May,35
2019,Jun,37
2019,Jul,38
2019,Aug,38
2019,Sep,38
2019,Oct,45
2019,Nov,36
2019,Dec,30
2020,Jan,33
2020,Feb,38
2020,Mar,42
2020,Apr,32
2020,May,28
2020,Jun,32
2020,Jul,32
2020,Aug,32
2020,Sep,30
2020,Oct,33
2020,Nov,29
2020,Dec,25
2021,Jan,28
2021,Feb,40
2021,Mar,32
2021,Apr,29
2021,May,29
2021,Jun,32
2021,Jul,26
2021,Aug,28
2021,Sep,29
2021,Oct,30
2021,Nov,29
2021,Dec,28
2022,Jan,32
2022,Feb,40
2022,Mar,29
