CNAME:,CKE RESTAURANTS INC
Google Trends Search Term:,cke restaurants
Google Trends Suggestion:,fast food restaurant company
Google Trends URL:,/m/04z4gb
Year,Month,SVI Data
2004,Jan,28
2004,Feb,16
2004,Mar,7
2004,Apr,27
2004,May,29
2004,Jun,40
2004,Jul,21
2004,Aug,28
2004,Sep,40
2004,Oct,9
2004,Nov,23
2004,Dec,17
2005,Jan,18
2005,Feb,19
2005,Mar,29
2005,Apr,19
2005,May,100
2005,Jun,48
2005,Jul,24
2005,Aug,28
2005,Sep,9
2005,Oct,11
2005,Nov,8
2005,Dec,16
2006,Jan,10
2006,Feb,22
2006,Mar,7
2006,Apr,18
2006,May,11
2006,Jun,16
2006,Jul,9
2006,Aug,10
2006,Sep,21
2006,Oct,9
2006,Nov,9
2006,Dec,11
2007,Jan,5
2007,Feb,12
2007,Mar,14
2007,Apr,13
2007,May,10
2007,Jun,20
2007,Jul,17
2007,Aug,8
2007,Sep,28
2007,Oct,7
2007,Nov,11
2007,Dec,9
2008,Jan,16
2008,Feb,13
2008,Mar,13
2008,Apr,21
2008,May,7
2008,Jun,11
2008,Jul,8
2008,Aug,5
2008,Sep,11
2008,Oct,12
2008,Nov,9
2008,Dec,13
2009,Jan,14
2009,Feb,12
2009,Mar,11
2009,Apr,13
2009,May,20
2009,Jun,16
2009,Jul,13
2009,Aug,9
2009,Sep,12
2009,Oct,8
2009,Nov,15
2009,Dec,5
2010,Jan,16
2010,Feb,23
2010,Mar,18
2010,Apr,18
2010,May,8
2010,Jun,14
2010,Jul,13
2010,Aug,11
2010,Sep,9
2010,Oct,7
2010,Nov,8
2010,Dec,3
2011,Jan,7
2011,Feb,12
2011,Mar,12
2011,Apr,13
2011,May,11
2011,Jun,8
2011,Jul,10
2011,Aug,11
2011,Sep,13
2011,Oct,9
2011,Nov,9
2011,Dec,14
2012,Jan,7
2012,Feb,9
2012,Mar,13
2012,Apr,10
2012,May,13
2012,Jun,15
2012,Jul,7
2012,Aug,26
2012,Sep,10
2012,Oct,10
2012,Nov,9
2012,Dec,7
2013,Jan,9
2013,Feb,8
2013,Mar,9
2013,Apr,9
2013,May,3
2013,Jun,9
2013,Jul,10
2013,Aug,7
2013,Sep,6
2013,Oct,9
2013,Nov,13
2013,Dec,5
2014,Jan,9
2014,Feb,9
2014,Mar,14
2014,Apr,8
2014,May,7
2014,Jun,7
2014,Jul,11
2014,Aug,9
2014,Sep,8
2014,Oct,10
2014,Nov,10
2014,Dec,7
2015,Jan,14
2015,Feb,5
2015,Mar,6
2015,Apr,8
2015,May,8
2015,Jun,8
2015,Jul,6
2015,Aug,8
2015,Sep,7
2015,Oct,8
2015,Nov,7
2015,Dec,7
2016,Jan,5
2016,Feb,11
2016,Mar,10
2016,Apr,6
2016,May,7
2016,Jun,9
2016,Jul,10
2016,Aug,13
2016,Sep,6
2016,Oct,5
2016,Nov,10
2016,Dec,48
2017,Jan,16
2017,Feb,37
2017,Mar,9
2017,Apr,11
2017,May,12
2017,Jun,11
2017,Jul,10
2017,Aug,10
2017,Sep,11
2017,Oct,11
2017,Nov,13
2017,Dec,7
2018,Jan,15
2018,Feb,8
2018,Mar,11
2018,Apr,10
2018,May,10
2018,Jun,7
2018,Jul,17
2018,Aug,12
2018,Sep,6
2018,Oct,9
2018,Nov,7
2018,Dec,9
2019,Jan,10
2019,Feb,13
2019,Mar,9
2019,Apr,11
2019,May,10
2019,Jun,10
2019,Jul,10
2019,Aug,9
2019,Sep,9
2019,Oct,10
2019,Nov,12
2019,Dec,8
2020,Jan,11
2020,Feb,12
2020,Mar,13
2020,Apr,13
2020,May,10
2020,Jun,11
2020,Jul,11
2020,Aug,12
2020,Sep,11
2020,Oct,10
2020,Nov,9
2020,Dec,9
2021,Jan,10
2021,Feb,8
2021,Mar,9
2021,Apr,13
2021,May,11
2021,Jun,8
2021,Jul,7
2021,Aug,11
2021,Sep,9
2021,Oct,11
2021,Nov,6
2021,Dec,8
2022,Jan,12
2022,Feb,10
2022,Mar,11
