CNAME:,ARAMARK CORP NEW
Google Trends Search Term:,aramark
Google Trends Suggestion:,food company
Google Trends URL:,/m/02twx1
Year,Month,SVI Data
2004,Jan,76
2004,Feb,69
2004,Mar,76
2004,Apr,70
2004,May,69
2004,Jun,75
2004,Jul,64
2004,Aug,92
2004,Sep,85
2004,Oct,71
2004,Nov,67
2004,Dec,63
2005,Jan,87
2005,Feb,84
2005,Mar,79
2005,Apr,89
2005,May,80
2005,Jun,91
2005,Jul,84
2005,Aug,90
2005,Sep,76
2005,Oct,88
2005,Nov,77
2005,Dec,63
2006,Jan,78
2006,Feb,87
2006,Mar,89
2006,Apr,84
2006,May,99
2006,Jun,89
2006,Jul,73
2006,Aug,100
2006,Sep,94
2006,Oct,88
2006,Nov,82
2006,Dec,73
2007,Jan,90
2007,Feb,90
2007,Mar,86
2007,Apr,78
2007,May,81
2007,Jun,82
2007,Jul,79
2007,Aug,84
2007,Sep,81
2007,Oct,93
2007,Nov,83
2007,Dec,66
2008,Jan,85
2008,Feb,89
2008,Mar,84
2008,Apr,96
2008,May,80
2008,Jun,90
2008,Jul,88
2008,Aug,81
2008,Sep,87
2008,Oct,91
2008,Nov,81
2008,Dec,63
2009,Jan,90
2009,Feb,90
2009,Mar,89
2009,Apr,78
2009,May,82
2009,Jun,85
2009,Jul,85
2009,Aug,79
2009,Sep,92
2009,Oct,87
2009,Nov,74
2009,Dec,68
2010,Jan,88
2010,Feb,80
2010,Mar,80
2010,Apr,72
2010,May,78
2010,Jun,79
2010,Jul,74
2010,Aug,78
2010,Sep,76
2010,Oct,76
2010,Nov,74
2010,Dec,68
2011,Jan,83
2011,Feb,84
2011,Mar,83
2011,Apr,71
2011,May,72
2011,Jun,80
2011,Jul,74
2011,Aug,80
2011,Sep,76
2011,Oct,79
2011,Nov,69
2011,Dec,64
2012,Jan,80
2012,Feb,71
2012,Mar,75
2012,Apr,67
2012,May,73
2012,Jun,72
2012,Jul,68
2012,Aug,77
2012,Sep,67
2012,Oct,72
2012,Nov,60
2012,Dec,53
2013,Jan,71
2013,Feb,69
2013,Mar,65
2013,Apr,64
2013,May,65
2013,Jun,62
2013,Jul,73
2013,Aug,73
2013,Sep,72
2013,Oct,72
2013,Nov,68
2013,Dec,68
2014,Jan,78
2014,Feb,77
2014,Mar,73
2014,Apr,72
2014,May,70
2014,Jun,70
2014,Jul,81
2014,Aug,75
2014,Sep,80
2014,Oct,73
2014,Nov,78
2014,Dec,66
2015,Jan,71
2015,Feb,75
2015,Mar,72
2015,Apr,75
2015,May,67
2015,Jun,80
2015,Jul,89
2015,Aug,89
2015,Sep,89
2015,Oct,81
2015,Nov,75
2015,Dec,67
2016,Jan,76
2016,Feb,76
2016,Mar,73
2016,Apr,70
2016,May,74
2016,Jun,68
2016,Jul,69
2016,Aug,78
2016,Sep,77
2016,Oct,71
2016,Nov,66
2016,Dec,57
2017,Jan,73
2017,Feb,70
2017,Mar,70
2017,Apr,66
2017,May,67
2017,Jun,70
2017,Jul,69
2017,Aug,81
2017,Sep,69
2017,Oct,75
2017,Nov,67
2017,Dec,55
2018,Jan,95
2018,Feb,84
2018,Mar,74
2018,Apr,74
2018,May,65
2018,Jun,72
2018,Jul,71
2018,Aug,82
2018,Sep,71
2018,Oct,71
2018,Nov,66
2018,Dec,61
2019,Jan,93
2019,Feb,92
2019,Mar,74
2019,Apr,68
2019,May,67
2019,Jun,67
2019,Jul,70
2019,Aug,82
2019,Sep,78
2019,Oct,79
2019,Nov,65
2019,Dec,64
2020,Jan,86
2020,Feb,78
2020,Mar,69
2020,Apr,53
2020,May,39
2020,Jun,47
2020,Jul,47
2020,Aug,46
2020,Sep,47
2020,Oct,48
2020,Nov,41
2020,Dec,39
2021,Jan,50
2021,Feb,53
2021,Mar,49
2021,Apr,47
2021,May,46
2021,Jun,51
2021,Jul,52
2021,Aug,62
2021,Sep,60
2021,Oct,59
2021,Nov,55
2021,Dec,53
2022,Jan,65
2022,Feb,66
2022,Mar,62
