CNAME:,WILLIS TOWERS WATSON PLC
Google Trends Search Term:,willis towers watson
Google Trends Suggestion:,insurance company
Google Trends URL:,/g/11c3q5gk9q
Year,Month,SVI Data
2004,Jan,31
2004,Feb,30
2004,Mar,26
2004,Apr,29
2004,May,16
2004,Jun,27
2004,Jul,35
2004,Aug,29
2004,Sep,22
2004,Oct,62
2004,Nov,44
2004,Dec,32
2005,Jan,31
2005,Feb,28
2005,Mar,28
2005,Apr,27
2005,May,27
2005,Jun,25
2005,Jul,21
2005,Aug,37
2005,Sep,28
2005,Oct,29
2005,Nov,45
2005,Dec,34
2006,Jan,25
2006,Feb,31
2006,Mar,33
2006,Apr,25
2006,May,36
2006,Jun,33
2006,Jul,25
2006,Aug,35
2006,Sep,23
2006,Oct,36
2006,Nov,38
2006,Dec,27
2007,Jan,34
2007,Feb,32
2007,Mar,24
2007,Apr,26
2007,May,34
2007,Jun,20
2007,Jul,20
2007,Aug,22
2007,Sep,24
2007,Oct,31
2007,Nov,25
2007,Dec,18
2008,Jan,24
2008,Feb,32
2008,Mar,17
2008,Apr,38
2008,May,19
2008,Jun,32
2008,Jul,29
2008,Aug,26
2008,Sep,23
2008,Oct,22
2008,Nov,30
2008,Dec,21
2009,Jan,22
2009,Feb,20
2009,Mar,29
2009,Apr,22
2009,May,24
2009,Jun,34
2009,Jul,32
2009,Aug,29
2009,Sep,32
2009,Oct,30
2009,Nov,28
2009,Dec,27
2010,Jan,57
2010,Feb,58
2010,Mar,65
2010,Apr,62
2010,May,58
2010,Jun,69
2010,Jul,70
2010,Aug,59
2010,Sep,65
2010,Oct,77
2010,Nov,69
2010,Dec,56
2011,Jan,71
2011,Feb,75
2011,Mar,81
2011,Apr,81
2011,May,72
2011,Jun,72
2011,Jul,70
2011,Aug,70
2011,Sep,75
2011,Oct,68
2011,Nov,64
2011,Dec,52
2012,Jan,70
2012,Feb,69
2012,Mar,70
2012,Apr,61
2012,May,66
2012,Jun,60
2012,Jul,62
2012,Aug,63
2012,Sep,64
2012,Oct,63
2012,Nov,55
2012,Dec,51
2013,Jan,64
2013,Feb,64
2013,Mar,59
2013,Apr,60
2013,May,59
2013,Jun,55
2013,Jul,58
2013,Aug,63
2013,Sep,73
2013,Oct,68
2013,Nov,63
2013,Dec,50
2014,Jan,65
2014,Feb,70
2014,Mar,62
2014,Apr,64
2014,May,73
2014,Jun,62
2014,Jul,61
2014,Aug,57
2014,Sep,65
2014,Oct,70
2014,Nov,63
2014,Dec,52
2015,Jan,68
2015,Feb,66
2015,Mar,71
2015,Apr,64
2015,May,64
2015,Jun,100
2015,Jul,99
2015,Aug,73
2015,Sep,72
2015,Oct,100
2015,Nov,90
2015,Dec,80
2016,Jan,86
2016,Feb,84
2016,Mar,72
2016,Apr,69
2016,May,71
2016,Jun,66
2016,Jul,57
2016,Aug,63
2016,Sep,76
2016,Oct,66
2016,Nov,63
2016,Dec,51
2017,Jan,60
2017,Feb,60
2017,Mar,59
2017,Apr,58
2017,May,64
2017,Jun,58
2017,Jul,52
2017,Aug,67
2017,Sep,60
2017,Oct,70
2017,Nov,61
2017,Dec,48
2018,Jan,64
2018,Feb,65
2018,Mar,58
2018,Apr,57
2018,May,59
2018,Jun,63
2018,Jul,58
2018,Aug,68
2018,Sep,55
2018,Oct,61
2018,Nov,55
2018,Dec,48
2019,Jan,58
2019,Feb,59
2019,Mar,81
2019,Apr,67
2019,May,57
2019,Jun,60
2019,Jul,65
2019,Aug,55
2019,Sep,60
2019,Oct,61
2019,Nov,51
2019,Dec,47
2020,Jan,52
2020,Feb,57
2020,Mar,91
2020,Apr,43
2020,May,43
2020,Jun,46
2020,Jul,47
2020,Aug,47
2020,Sep,45
2020,Oct,46
2020,Nov,41
2020,Dec,38
2021,Jan,41
2021,Feb,40
2021,Mar,43
2021,Apr,49
2021,May,43
2021,Jun,59
2021,Jul,69
2021,Aug,54
2021,Sep,49
2021,Oct,47
2021,Nov,44
2021,Dec,36
2022,Jan,45
2022,Feb,45
2022,Mar,44
