CNAME:,REINSURANCE GROUP OF AMERICA I
Google Trends Search Term:,reinsurance group of america
Google Trends Suggestion:,reinsurance company
Google Trends URL:,/m/03p31qx
Year,Month,SVI Data
2004,Jan,12
2004,Feb,18
2004,Mar,23
2004,Apr,12
2004,May,5
2004,Jun,5
2004,Jul,11
2004,Aug,10
2004,Sep,15
2004,Oct,10
2004,Nov,5
2004,Dec,14
2005,Jan,12
2005,Feb,17
2005,Mar,18
2005,Apr,8
2005,May,11
2005,Jun,4
2005,Jul,4
2005,Aug,21
2005,Sep,13
2005,Oct,6
2005,Nov,9
2005,Dec,6
2006,Jan,3
2006,Feb,14
2006,Mar,19
2006,Apr,5
2006,May,10
2006,Jun,15
2006,Jul,15
2006,Aug,11
2006,Sep,14
2006,Oct,15
2006,Nov,6
2006,Dec,14
2007,Jan,7
2007,Feb,12
2007,Mar,7
2007,Apr,12
2007,May,10
2007,Jun,7
2007,Jul,11
2007,Aug,9
2007,Sep,6
2007,Oct,11
2007,Nov,6
2007,Dec,10
2008,Jan,10
2008,Feb,9
2008,Mar,17
2008,Apr,15
2008,May,4
2008,Jun,12
2008,Jul,9
2008,Aug,100
2008,Sep,86
2008,Oct,25
2008,Nov,14
2008,Dec,15
2009,Jan,13
2009,Feb,28
2009,Mar,17
2009,Apr,22
2009,May,15
2009,Jun,15
2009,Jul,17
2009,Aug,15
2009,Sep,23
2009,Oct,17
2009,Nov,20
2009,Dec,15
2010,Jan,19
2010,Feb,15
2010,Mar,14
2010,Apr,21
2010,May,14
2010,Jun,20
2010,Jul,15
2010,Aug,7
2010,Sep,14
2010,Oct,18
2010,Nov,15
2010,Dec,6
2011,Jan,13
2011,Feb,14
2011,Mar,18
2011,Apr,10
2011,May,7
2011,Jun,13
2011,Jul,15
2011,Aug,10
2011,Sep,17
2011,Oct,11
2011,Nov,11
2011,Dec,9
2012,Jan,12
2012,Feb,11
2012,Mar,15
2012,Apr,12
2012,May,15
2012,Jun,15
2012,Jul,14
2012,Aug,12
2012,Sep,12
2012,Oct,11
2012,Nov,12
2012,Dec,9
2013,Jan,14
2013,Feb,10
2013,Mar,16
2013,Apr,15
2013,May,16
2013,Jun,9
2013,Jul,15
2013,Aug,11
2013,Sep,11
2013,Oct,14
2013,Nov,13
2013,Dec,11
2014,Jan,16
2014,Feb,17
2014,Mar,14
2014,Apr,14
2014,May,15
2014,Jun,10
2014,Jul,8
2014,Aug,14
2014,Sep,9
2014,Oct,19
2014,Nov,14
2014,Dec,9
2015,Jan,11
2015,Feb,15
2015,Mar,12
2015,Apr,13
2015,May,12
2015,Jun,13
2015,Jul,11
2015,Aug,10
2015,Sep,15
2015,Oct,16
2015,Nov,13
2015,Dec,8
2016,Jan,11
2016,Feb,11
2016,Mar,9
2016,Apr,10
2016,May,8
2016,Jun,10
2016,Jul,11
2016,Aug,12
2016,Sep,13
2016,Oct,7
2016,Nov,12
2016,Dec,9
2017,Jan,13
2017,Feb,15
2017,Mar,15
2017,Apr,11
2017,May,12
2017,Jun,13
2017,Jul,13
2017,Aug,11
2017,Sep,10
2017,Oct,9
2017,Nov,10
2017,Dec,10
2018,Jan,9
2018,Feb,12
2018,Mar,11
2018,Apr,10
2018,May,13
2018,Jun,12
2018,Jul,12
2018,Aug,12
2018,Sep,10
2018,Oct,12
2018,Nov,9
2018,Dec,7
2019,Jan,14
2019,Feb,13
2019,Mar,11
2019,Apr,14
2019,May,8
2019,Jun,11
2019,Jul,13
2019,Aug,11
2019,Sep,8
2019,Oct,15
2019,Nov,10
2019,Dec,8
2020,Jan,9
2020,Feb,8
2020,Mar,7
2020,Apr,6
2020,May,8
2020,Jun,9
2020,Jul,12
2020,Aug,8
2020,Sep,8
2020,Oct,5
2020,Nov,8
2020,Dec,5
2021,Jan,6
2021,Feb,8
2021,Mar,5
2021,Apr,7
2021,May,7
2021,Jun,7
2021,Jul,8
2021,Aug,5
2021,Sep,4
2021,Oct,8
2021,Nov,7
2021,Dec,4
2022,Jan,8
2022,Feb,10
2022,Mar,7
