CNAME:,AMPHENOL CORP
Google Trends Search Term:,amphenol
Google Trends Suggestion:,electronic connector manufacturing company
Google Trends URL:,/m/036y26
Year,Month,SVI Data
2004,Jan,87
2004,Feb,66
2004,Mar,94
2004,Apr,92
2004,May,63
2004,Jun,100
2004,Jul,60
2004,Aug,95
2004,Sep,66
2004,Oct,88
2004,Nov,60
2004,Dec,78
2005,Jan,63
2005,Feb,69
2005,Mar,53
2005,Apr,77
2005,May,69
2005,Jun,69
2005,Jul,65
2005,Aug,67
2005,Sep,64
2005,Oct,72
2005,Nov,59
2005,Dec,45
2006,Jan,50
2006,Feb,65
2006,Mar,72
2006,Apr,63
2006,May,66
2006,Jun,79
2006,Jul,73
2006,Aug,72
2006,Sep,52
2006,Oct,66
2006,Nov,56
2006,Dec,42
2007,Jan,65
2007,Feb,48
2007,Mar,65
2007,Apr,54
2007,May,57
2007,Jun,66
2007,Jul,56
2007,Aug,59
2007,Sep,44
2007,Oct,52
2007,Nov,45
2007,Dec,36
2008,Jan,60
2008,Feb,49
2008,Mar,51
2008,Apr,48
2008,May,50
2008,Jun,49
2008,Jul,49
2008,Aug,40
2008,Sep,43
2008,Oct,48
2008,Nov,45
2008,Dec,36
2009,Jan,44
2009,Feb,51
2009,Mar,49
2009,Apr,42
2009,May,42
2009,Jun,46
2009,Jul,48
2009,Aug,40
2009,Sep,37
2009,Oct,43
2009,Nov,36
2009,Dec,39
2010,Jan,40
2010,Feb,37
2010,Mar,42
2010,Apr,40
2010,May,35
2010,Jun,45
2010,Jul,31
2010,Aug,34
2010,Sep,37
2010,Oct,35
2010,Nov,32
2010,Dec,29
2011,Jan,34
2011,Feb,32
2011,Mar,37
2011,Apr,31
2011,May,32
2011,Jun,32
2011,Jul,28
2011,Aug,32
2011,Sep,28
2011,Oct,28
2011,Nov,24
2011,Dec,23
2012,Jan,30
2012,Feb,28
2012,Mar,26
2012,Apr,25
2012,May,25
2012,Jun,28
2012,Jul,25
2012,Aug,24
2012,Sep,21
2012,Oct,25
2012,Nov,20
2012,Dec,18
2013,Jan,22
2013,Feb,22
2013,Mar,24
2013,Apr,22
2013,May,23
2013,Jun,21
2013,Jul,20
2013,Aug,23
2013,Sep,21
2013,Oct,23
2013,Nov,22
2013,Dec,18
2014,Jan,23
2014,Feb,23
2014,Mar,23
2014,Apr,23
2014,May,23
2014,Jun,25
2014,Jul,24
2014,Aug,22
2014,Sep,25
2014,Oct,24
2014,Nov,20
2014,Dec,17
2015,Jan,20
2015,Feb,24
2015,Mar,23
2015,Apr,25
2015,May,21
2015,Jun,21
2015,Jul,25
2015,Aug,21
2015,Sep,23
2015,Oct,23
2015,Nov,24
2015,Dec,20
2016,Jan,18
2016,Feb,19
2016,Mar,23
2016,Apr,22
2016,May,21
2016,Jun,20
2016,Jul,19
2016,Aug,20
2016,Sep,19
2016,Oct,18
2016,Nov,17
2016,Dec,15
2017,Jan,18
2017,Feb,20
2017,Mar,19
2017,Apr,21
2017,May,21
2017,Jun,21
2017,Jul,19
2017,Aug,20
2017,Sep,19
2017,Oct,19
2017,Nov,16
2017,Dec,17
2018,Jan,17
2018,Feb,20
2018,Mar,18
2018,Apr,20
2018,May,20
2018,Jun,20
2018,Jul,20
2018,Aug,20
2018,Sep,19
2018,Oct,19
2018,Nov,16
2018,Dec,15
2019,Jan,20
2019,Feb,22
2019,Mar,20
2019,Apr,22
2019,May,23
2019,Jun,21
2019,Jul,19
2019,Aug,19
2019,Sep,18
2019,Oct,20
2019,Nov,18
2019,Dec,13
2020,Jan,18
2020,Feb,19
2020,Mar,16
2020,Apr,17
2020,May,16
2020,Jun,18
2020,Jul,17
2020,Aug,17
2020,Sep,16
2020,Oct,17
2020,Nov,15
2020,Dec,15
2021,Jan,15
2021,Feb,16
2021,Mar,18
2021,Apr,16
2021,May,17
2021,Jun,17
2021,Jul,15
2021,Aug,18
2021,Sep,16
2021,Oct,16
2021,Nov,17
2021,Dec,15
2022,Jan,16
2022,Feb,19
2022,Mar,19
