CNAME:,REGIS CORP
Google Trends Search Term:,regis corporation
Google Trends Suggestion:,company
Google Trends URL:,/m/09wbz1
Year,Month,SVI Data
2004,Jan,38
2004,Feb,45
2004,Mar,89
2004,Apr,63
2004,May,62
2004,Jun,75
2004,Jul,56
2004,Aug,80
2004,Sep,54
2004,Oct,87
2004,Nov,70
2004,Dec,94
2005,Jan,70
2005,Feb,82
2005,Mar,74
2005,Apr,66
2005,May,84
2005,Jun,78
2005,Jul,77
2005,Aug,72
2005,Sep,63
2005,Oct,74
2005,Nov,80
2005,Dec,66
2006,Jan,80
2006,Feb,76
2006,Mar,85
2006,Apr,92
2006,May,87
2006,Jun,83
2006,Jul,100
2006,Aug,86
2006,Sep,84
2006,Oct,73
2006,Nov,89
2006,Dec,92
2007,Jan,89
2007,Feb,82
2007,Mar,92
2007,Apr,93
2007,May,87
2007,Jun,75
2007,Jul,80
2007,Aug,83
2007,Sep,83
2007,Oct,65
2007,Nov,76
2007,Dec,63
2008,Jan,72
2008,Feb,69
2008,Mar,71
2008,Apr,68
2008,May,83
2008,Jun,75
2008,Jul,77
2008,Aug,76
2008,Sep,63
2008,Oct,68
2008,Nov,62
2008,Dec,72
2009,Jan,79
2009,Feb,72
2009,Mar,73
2009,Apr,67
2009,May,59
2009,Jun,76
2009,Jul,62
2009,Aug,74
2009,Sep,71
2009,Oct,68
2009,Nov,64
2009,Dec,73
2010,Jan,76
2010,Feb,72
2010,Mar,76
2010,Apr,60
2010,May,64
2010,Jun,61
2010,Jul,69
2010,Aug,62
2010,Sep,62
2010,Oct,62
2010,Nov,56
2010,Dec,58
2011,Jan,67
2011,Feb,72
2011,Mar,76
2011,Apr,67
2011,May,67
2011,Jun,63
2011,Jul,59
2011,Aug,68
2011,Sep,67
2011,Oct,57
2011,Nov,62
2011,Dec,63
2012,Jan,69
2012,Feb,72
2012,Mar,61
2012,Apr,58
2012,May,61
2012,Jun,63
2012,Jul,58
2012,Aug,63
2012,Sep,55
2012,Oct,60
2012,Nov,46
2012,Dec,53
2013,Jan,66
2013,Feb,58
2013,Mar,50
2013,Apr,49
2013,May,54
2013,Jun,46
2013,Jul,46
2013,Aug,54
2013,Sep,47
2013,Oct,47
2013,Nov,49
2013,Dec,47
2014,Jan,51
2014,Feb,59
2014,Mar,51
2014,Apr,50
2014,May,50
2014,Jun,54
2014,Jul,52
2014,Aug,50
2014,Sep,51
2014,Oct,47
2014,Nov,48
2014,Dec,46
2015,Jan,61
2015,Feb,59
2015,Mar,54
2015,Apr,48
2015,May,47
2015,Jun,49
2015,Jul,54
2015,Aug,56
2015,Sep,53
2015,Oct,46
2015,Nov,50
2015,Dec,49
2016,Jan,57
2016,Feb,52
2016,Mar,43
2016,Apr,43
2016,May,48
2016,Jun,48
2016,Jul,48
2016,Aug,48
2016,Sep,41
2016,Oct,41
2016,Nov,40
2016,Dec,36
2017,Jan,50
2017,Feb,43
2017,Mar,44
2017,Apr,42
2017,May,42
2017,Jun,38
2017,Jul,43
2017,Aug,47
2017,Sep,41
2017,Oct,37
2017,Nov,39
2017,Dec,36
2018,Jan,46
2018,Feb,43
2018,Mar,36
2018,Apr,33
2018,May,37
2018,Jun,37
2018,Jul,32
2018,Aug,38
2018,Sep,35
2018,Oct,27
2018,Nov,30
2018,Dec,29
2019,Jan,37
2019,Feb,29
2019,Mar,31
2019,Apr,30
2019,May,31
2019,Jun,27
2019,Jul,28
2019,Aug,28
2019,Sep,25
2019,Oct,25
2019,Nov,22
2019,Dec,22
2020,Jan,36
2020,Feb,19
2020,Mar,18
2020,Apr,14
2020,May,20
2020,Jun,21
2020,Jul,15
2020,Aug,13
2020,Sep,12
2020,Oct,12
2020,Nov,11
2020,Dec,8
2021,Jan,10
2021,Feb,12
2021,Mar,10
2021,Apr,11
2021,May,10
2021,Jun,8
2021,Jul,8
2021,Aug,8
2021,Sep,8
2021,Oct,7
2021,Nov,7
2021,Dec,8
2022,Jan,8
2022,Feb,7
2022,Mar,8
