CNAME:,SONIC CORP
Google Trends Search Term:,sonic drive-in
Google Trends Suggestion:,fast food restaurant company
Google Trends URL:,/m/01sgc7
Year,Month,SVI Data
2004,Jan,28
2004,Feb,28
2004,Mar,27
2004,Apr,28
2004,May,28
2004,Jun,36
2004,Jul,32
2004,Aug,28
2004,Sep,27
2004,Oct,27
2004,Nov,28
2004,Dec,31
2005,Jan,30
2005,Feb,30
2005,Mar,33
2005,Apr,35
2005,May,37
2005,Jun,39
2005,Jul,46
2005,Aug,38
2005,Sep,30
2005,Oct,32
2005,Nov,33
2005,Dec,35
2006,Jan,35
2006,Feb,37
2006,Mar,38
2006,Apr,35
2006,May,38
2006,Jun,41
2006,Jul,43
2006,Aug,39
2006,Sep,31
2006,Oct,34
2006,Nov,34
2006,Dec,35
2007,Jan,34
2007,Feb,36
2007,Mar,38
2007,Apr,38
2007,May,39
2007,Jun,47
2007,Jul,43
2007,Aug,40
2007,Sep,34
2007,Oct,34
2007,Nov,34
2007,Dec,35
2008,Jan,35
2008,Feb,33
2008,Mar,38
2008,Apr,41
2008,May,44
2008,Jun,51
2008,Jul,51
2008,Aug,42
2008,Sep,33
2008,Oct,33
2008,Nov,35
2008,Dec,34
2009,Jan,34
2009,Feb,34
2009,Mar,36
2009,Apr,39
2009,May,40
2009,Jun,53
2009,Jul,48
2009,Aug,41
2009,Sep,34
2009,Oct,30
2009,Nov,28
2009,Dec,26
2010,Jan,28
2010,Feb,27
2010,Mar,31
2010,Apr,34
2010,May,35
2010,Jun,35
2010,Jul,42
2010,Aug,40
2010,Sep,34
2010,Oct,33
2010,Nov,31
2010,Dec,30
2011,Jan,35
2011,Feb,36
2011,Mar,52
2011,Apr,52
2011,May,49
2011,Jun,53
2011,Jul,54
2011,Aug,50
2011,Sep,48
2011,Oct,42
2011,Nov,41
2011,Dec,39
2012,Jan,41
2012,Feb,42
2012,Mar,46
2012,Apr,46
2012,May,57
2012,Jun,59
2012,Jul,52
2012,Aug,45
2012,Sep,43
2012,Oct,39
2012,Nov,36
2012,Dec,34
2013,Jan,40
2013,Feb,40
2013,Mar,45
2013,Apr,48
2013,May,62
2013,Jun,66
2013,Jul,70
2013,Aug,58
2013,Sep,48
2013,Oct,41
2013,Nov,39
2013,Dec,38
2014,Jan,40
2014,Feb,43
2014,Mar,52
2014,Apr,52
2014,May,67
2014,Jun,68
2014,Jul,68
2014,Aug,60
2014,Sep,51
2014,Oct,45
2014,Nov,43
2014,Dec,45
2015,Jan,46
2015,Feb,44
2015,Mar,55
2015,Apr,57
2015,May,68
2015,Jun,74
2015,Jul,79
2015,Aug,69
2015,Sep,60
2015,Oct,53
2015,Nov,50
2015,Dec,49
2016,Jan,51
2016,Feb,53
2016,Mar,68
2016,Apr,70
2016,May,75
2016,Jun,80
2016,Jul,82
2016,Aug,70
2016,Sep,64
2016,Oct,57
2016,Nov,51
2016,Dec,50
2017,Jan,47
2017,Feb,53
2017,Mar,69
2017,Apr,73
2017,May,75
2017,Jun,85
2017,Jul,87
2017,Aug,73
2017,Sep,65
2017,Oct,56
2017,Nov,52
2017,Dec,51
2018,Jan,50
2018,Feb,53
2018,Mar,74
2018,Apr,73
2018,May,78
2018,Jun,94
2018,Jul,84
2018,Aug,77
2018,Sep,74
2018,Oct,63
2018,Nov,53
2018,Dec,58
2019,Jan,54
2019,Feb,60
2019,Mar,74
2019,Apr,80
2019,May,93
2019,Jun,98
2019,Jul,89
2019,Aug,83
2019,Sep,72
2019,Oct,62
2019,Nov,59
2019,Dec,59
2020,Jan,58
2020,Feb,77
2020,Mar,74
2020,Apr,81
2020,May,93
2020,Jun,90
2020,Jul,93
2020,Aug,85
2020,Sep,72
2020,Oct,71
2020,Nov,63
2020,Dec,59
2021,Jan,62
2021,Feb,66
2021,Mar,80
2021,Apr,86
2021,May,96
2021,Jun,100
2021,Jul,96
2021,Aug,80
2021,Sep,74
2021,Oct,65
2021,Nov,61
2021,Dec,64
2022,Jan,61
2022,Feb,62
2022,Mar,71
