CNAME:,MCCLATCHY CO
Google Trends Search Term:,mcclatchy
Google Trends Suggestion:,publishing company
Google Trends URL:,/m/03y7ml
Year,Month,SVI Data
2004,Jan,7
2004,Feb,13
2004,Mar,16
2004,Apr,6
2004,May,10
2004,Jun,19
2004,Jul,16
2004,Aug,27
2004,Sep,12
2004,Oct,9
2004,Nov,13
2004,Dec,18
2005,Jan,16
2005,Feb,9
2005,Mar,11
2005,Apr,22
2005,May,16
2005,Jun,9
2005,Jul,28
2005,Aug,11
2005,Sep,23
2005,Oct,9
2005,Nov,22
2005,Dec,19
2006,Jan,15
2006,Feb,7
2006,Mar,100
2006,Apr,43
2006,May,41
2006,Jun,47
2006,Jul,36
2006,Aug,43
2006,Sep,33
2006,Oct,40
2006,Nov,42
2006,Dec,26
2007,Jan,32
2007,Feb,37
2007,Mar,44
2007,Apr,64
2007,May,52
2007,Jun,45
2007,Jul,37
2007,Aug,42
2007,Sep,52
2007,Oct,47
2007,Nov,37
2007,Dec,38
2008,Jan,46
2008,Feb,41
2008,Mar,42
2008,Apr,47
2008,May,39
2008,Jun,77
2008,Jul,42
2008,Aug,45
2008,Sep,62
2008,Oct,62
2008,Nov,43
2008,Dec,46
2009,Jan,53
2009,Feb,76
2009,Mar,78
2009,Apr,47
2009,May,46
2009,Jun,40
2009,Jul,39
2009,Aug,36
2009,Sep,36
2009,Oct,40
2009,Nov,46
2009,Dec,37
2010,Jan,35
2010,Feb,34
2010,Mar,30
2010,Apr,33
2010,May,35
2010,Jun,26
2010,Jul,23
2010,Aug,17
2010,Sep,22
2010,Oct,20
2010,Nov,25
2010,Dec,19
2011,Jan,23
2011,Feb,22
2011,Mar,23
2011,Apr,25
2011,May,27
2011,Jun,19
2011,Jul,19
2011,Aug,21
2011,Sep,25
2011,Oct,20
2011,Nov,17
2011,Dec,19
2012,Jan,20
2012,Feb,22
2012,Mar,18
2012,Apr,19
2012,May,19
2012,Jun,17
2012,Jul,18
2012,Aug,18
2012,Sep,26
2012,Oct,27
2012,Nov,18
2012,Dec,14
2013,Jan,18
2013,Feb,16
2013,Mar,16
2013,Apr,20
2013,May,19
2013,Jun,23
2013,Jul,19
2013,Aug,19
2013,Sep,20
2013,Oct,19
2013,Nov,17
2013,Dec,12
2014,Jan,18
2014,Feb,17
2014,Mar,17
2014,Apr,18
2014,May,14
2014,Jun,14
2014,Jul,13
2014,Aug,15
2014,Sep,17
2014,Oct,13
2014,Nov,13
2014,Dec,11
2015,Jan,11
2015,Feb,11
2015,Mar,14
2015,Apr,15
2015,May,12
2015,Jun,11
2015,Jul,13
2015,Aug,16
2015,Sep,13
2015,Oct,15
2015,Nov,12
2015,Dec,14
2016,Jan,10
2016,Feb,11
2016,Mar,15
2016,Apr,15
2016,May,10
2016,Jun,14
2016,Jul,13
2016,Aug,12
2016,Sep,18
2016,Oct,13
2016,Nov,11
2016,Dec,10
2017,Jan,17
2017,Feb,14
2017,Mar,27
2017,Apr,16
2017,May,22
2017,Jun,15
2017,Jul,29
2017,Aug,19
2017,Sep,14
2017,Oct,13
2017,Nov,14
2017,Dec,11
2018,Jan,23
2018,Feb,15
2018,Mar,14
2018,Apr,41
2018,May,14
2018,Jun,19
2018,Jul,15
2018,Aug,17
2018,Sep,16
2018,Oct,16
2018,Nov,13
2018,Dec,22
2019,Jan,13
2019,Feb,18
2019,Mar,14
2019,Apr,16
2019,May,12
2019,Jun,10
2019,Jul,11
2019,Aug,11
2019,Sep,9
2019,Oct,10
2019,Nov,15
2019,Dec,10
2020,Jan,14
2020,Feb,42
2020,Mar,12
2020,Apr,11
2020,May,10
2020,Jun,14
2020,Jul,18
2020,Aug,9
2020,Sep,8
2020,Oct,7
2020,Nov,5
2020,Dec,4
2021,Jan,4
2021,Feb,4
2021,Mar,5
2021,Apr,5
2021,May,5
2021,Jun,5
2021,Jul,4
2021,Aug,5
2021,Sep,5
2021,Oct,5
2021,Nov,6
2021,Dec,4
2022,Jan,4
2022,Feb,5
2022,Mar,5
