CNAME:,DISCOVERY COMMUNICATIONS INC
Google Trends Search Term:,discovery
Google Trends Suggestion:,mass media company
Google Trends URL:,/m/033709
Year,Month,SVI Data
2004,Jan,54
2004,Feb,41
2004,Mar,45
2004,Apr,39
2004,May,33
2004,Jun,39
2004,Jul,39
2004,Aug,34
2004,Sep,32
2004,Oct,40
2004,Nov,35
2004,Dec,46
2005,Jan,48
2005,Feb,38
2005,Mar,37
2005,Apr,38
2005,May,35
2005,Jun,45
2005,Jul,50
2005,Aug,33
2005,Sep,32
2005,Oct,29
2005,Nov,33
2005,Dec,39
2006,Jan,36
2006,Feb,35
2006,Mar,34
2006,Apr,32
2006,May,29
2006,Jun,29
2006,Jul,32
2006,Aug,30
2006,Sep,40
2006,Oct,33
2006,Nov,43
2006,Dec,54
2007,Jan,47
2007,Feb,43
2007,Mar,56
2007,Apr,55
2007,May,39
2007,Jun,43
2007,Jul,45
2007,Aug,41
2007,Sep,38
2007,Oct,36
2007,Nov,43
2007,Dec,47
2008,Jan,38
2008,Feb,36
2008,Mar,35
2008,Apr,35
2008,May,35
2008,Jun,34
2008,Jul,32
2008,Aug,29
2008,Sep,31
2008,Oct,32
2008,Nov,34
2008,Dec,35
2009,Jan,32
2009,Feb,30
2009,Mar,31
2009,Apr,34
2009,May,31
2009,Jun,31
2009,Jul,29
2009,Aug,32
2009,Sep,31
2009,Oct,30
2009,Nov,29
2009,Dec,30
2010,Jan,29
2010,Feb,33
2010,Mar,45
2010,Apr,42
2010,May,31
2010,Jun,27
2010,Jul,27
2010,Aug,30
2010,Sep,46
2010,Oct,26
2010,Nov,27
2010,Dec,26
2011,Jan,32
2011,Feb,28
2011,Mar,21
2011,Apr,22
2011,May,21
2011,Jun,29
2011,Jul,21
2011,Aug,25
2011,Sep,26
2011,Oct,29
2011,Nov,30
2011,Dec,43
2012,Jan,27
2012,Feb,25
2012,Mar,26
2012,Apr,25
2012,May,24
2012,Jun,18
2012,Jul,24
2012,Aug,27
2012,Sep,20
2012,Oct,29
2012,Nov,23
2012,Dec,29
2013,Jan,23
2013,Feb,21
2013,Mar,16
2013,Apr,16
2013,May,25
2013,Jun,36
2013,Jul,22
2013,Aug,33
2013,Sep,20
2013,Oct,15
2013,Nov,16
2013,Dec,19
2014,Jan,23
2014,Feb,14
2014,Mar,14
2014,Apr,13
2014,May,13
2014,Jun,12
2014,Jul,12
2014,Aug,18
2014,Sep,11
2014,Oct,11
2014,Nov,17
2014,Dec,15
2015,Jan,12
2015,Feb,12
2015,Mar,10
2015,Apr,10
2015,May,10
2015,Jun,10
2015,Jul,13
2015,Aug,10
2015,Sep,10
2015,Oct,10
2015,Nov,10
2015,Dec,10
2016,Jan,10
2016,Feb,9
2016,Mar,9
2016,Apr,8
2016,May,8
2016,Jun,9
2016,Jul,7
2016,Aug,7
2016,Sep,10
2016,Oct,7
2016,Nov,7
2016,Dec,7
2017,Jan,8
2017,Feb,7
2017,Mar,8
2017,Apr,7
2017,May,7
2017,Jun,7
2017,Jul,12
2017,Aug,8
2017,Sep,6
2017,Oct,7
2017,Nov,7
2017,Dec,7
2018,Jan,8
2018,Feb,7
2018,Mar,7
2018,Apr,6
2018,May,6
2018,Jun,7
2018,Jul,11
2018,Aug,7
2018,Sep,6
2018,Oct,7
2018,Nov,6
2018,Dec,6
2019,Jan,6
2019,Feb,6
2019,Mar,6
2019,Apr,6
2019,May,5
2019,Jun,6
2019,Jul,9
2019,Aug,8
2019,Sep,6
2019,Oct,6
2019,Nov,6
2019,Dec,6
2020,Jan,6
2020,Feb,6
2020,Mar,5
2020,Apr,6
2020,May,6
2020,Jun,6
2020,Jul,5
2020,Aug,8
2020,Sep,5
2020,Oct,5
2020,Nov,5
2020,Dec,24
2021,Jan,100
2021,Feb,54
2021,Mar,38
2021,Apr,30
2021,May,29
2021,Jun,23
2021,Jul,25
2021,Aug,19
2021,Sep,15
2021,Oct,15
2021,Nov,18
2021,Dec,16
2022,Jan,19
2022,Feb,19
2022,Mar,17
