CNAME:,PERKINELMER INC
Google Trends Search Term:,perkinelmer
Google Trends Suggestion:,corporation
Google Trends URL:,/m/06m_p2
Year,Month,SVI Data
2004,Jan,80
2004,Feb,99
2004,Mar,76
2004,Apr,100
2004,May,89
2004,Jun,74
2004,Jul,63
2004,Aug,91
2004,Sep,75
2004,Oct,82
2004,Nov,53
2004,Dec,39
2005,Jan,66
2005,Feb,74
2005,Mar,72
2005,Apr,69
2005,May,52
2005,Jun,79
2005,Jul,66
2005,Aug,58
2005,Sep,55
2005,Oct,72
2005,Nov,62
2005,Dec,56
2006,Jan,55
2006,Feb,51
2006,Mar,63
2006,Apr,42
2006,May,67
2006,Jun,61
2006,Jul,60
2006,Aug,52
2006,Sep,37
2006,Oct,54
2006,Nov,42
2006,Dec,37
2007,Jan,42
2007,Feb,53
2007,Mar,48
2007,Apr,45
2007,May,49
2007,Jun,43
2007,Jul,36
2007,Aug,45
2007,Sep,42
2007,Oct,44
2007,Nov,43
2007,Dec,34
2008,Jan,37
2008,Feb,42
2008,Mar,41
2008,Apr,46
2008,May,41
2008,Jun,37
2008,Jul,40
2008,Aug,32
2008,Sep,37
2008,Oct,38
2008,Nov,29
2008,Dec,29
2009,Jan,32
2009,Feb,34
2009,Mar,35
2009,Apr,39
2009,May,32
2009,Jun,32
2009,Jul,36
2009,Aug,35
2009,Sep,37
2009,Oct,36
2009,Nov,26
2009,Dec,25
2010,Jan,29
2010,Feb,35
2010,Mar,34
2010,Apr,34
2010,May,33
2010,Jun,40
2010,Jul,29
2010,Aug,32
2010,Sep,30
2010,Oct,28
2010,Nov,25
2010,Dec,23
2011,Jan,25
2011,Feb,26
2011,Mar,30
2011,Apr,28
2011,May,26
2011,Jun,29
2011,Jul,22
2011,Aug,27
2011,Sep,27
2011,Oct,23
2011,Nov,21
2011,Dec,22
2012,Jan,23
2012,Feb,23
2012,Mar,25
2012,Apr,22
2012,May,21
2012,Jun,19
2012,Jul,19
2012,Aug,22
2012,Sep,21
2012,Oct,20
2012,Nov,18
2012,Dec,14
2013,Jan,19
2013,Feb,19
2013,Mar,20
2013,Apr,21
2013,May,20
2013,Jun,20
2013,Jul,17
2013,Aug,21
2013,Sep,19
2013,Oct,21
2013,Nov,17
2013,Dec,14
2014,Jan,19
2014,Feb,22
2014,Mar,21
2014,Apr,20
2014,May,20
2014,Jun,20
2014,Jul,22
2014,Aug,18
2014,Sep,19
2014,Oct,19
2014,Nov,15
2014,Dec,16
2015,Jan,19
2015,Feb,19
2015,Mar,20
2015,Apr,20
2015,May,18
2015,Jun,22
2015,Jul,18
2015,Aug,20
2015,Sep,19
2015,Oct,18
2015,Nov,18
2015,Dec,15
2016,Jan,14
2016,Feb,16
2016,Mar,17
2016,Apr,15
2016,May,16
2016,Jun,14
2016,Jul,15
2016,Aug,16
2016,Sep,15
2016,Oct,14
2016,Nov,13
2016,Dec,12
2017,Jan,15
2017,Feb,14
2017,Mar,15
2017,Apr,13
2017,May,14
2017,Jun,17
2017,Jul,15
2017,Aug,17
2017,Sep,15
2017,Oct,16
2017,Nov,13
2017,Dec,12
2018,Jan,13
2018,Feb,13
2018,Mar,14
2018,Apr,13
2018,May,13
2018,Jun,14
2018,Jul,14
2018,Aug,14
2018,Sep,14
2018,Oct,15
2018,Nov,13
2018,Dec,10
2019,Jan,13
2019,Feb,15
2019,Mar,14
2019,Apr,14
2019,May,12
2019,Jun,12
2019,Jul,12
2019,Aug,12
2019,Sep,12
2019,Oct,14
2019,Nov,14
2019,Dec,10
2020,Jan,13
2020,Feb,14
2020,Mar,12
2020,Apr,11
2020,May,11
2020,Jun,12
2020,Jul,12
2020,Aug,14
2020,Sep,12
2020,Oct,14
2020,Nov,12
2020,Dec,10
2021,Jan,11
2021,Feb,14
2021,Mar,12
2021,Apr,14
2021,May,11
2021,Jun,12
2021,Jul,14
2021,Aug,13
2021,Sep,13
2021,Oct,10
2021,Nov,13
2021,Dec,10
2022,Jan,13
2022,Feb,13
2022,Mar,14
