CNAME:,ETSY INC
Google Trends Search Term:,etsy
Google Trends Suggestion:,company
Google Trends URL:,/m/0rzjz20
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,1
2006,Jun,1
2006,Jul,1
2006,Aug,1
2006,Sep,1
2006,Oct,1
2006,Nov,1
2006,Dec,1
2007,Jan,2
2007,Feb,2
2007,Mar,2
2007,Apr,2
2007,May,2
2007,Jun,3
2007,Jul,3
2007,Aug,3
2007,Sep,3
2007,Oct,4
2007,Nov,5
2007,Dec,5
2008,Jan,5
2008,Feb,6
2008,Mar,6
2008,Apr,6
2008,May,7
2008,Jun,8
2008,Jul,8
2008,Aug,9
2008,Sep,8
2008,Oct,9
2008,Nov,11
2008,Dec,12
2009,Jan,11
2009,Feb,11
2009,Mar,12
2009,Apr,11
2009,May,12
2009,Jun,11
2009,Jul,12
2009,Aug,12
2009,Sep,12
2009,Oct,13
2009,Nov,14
2009,Dec,15
2010,Jan,14
2010,Feb,14
2010,Mar,13
2010,Apr,14
2010,May,14
2010,Jun,14
2010,Jul,15
2010,Aug,16
2010,Sep,19
2010,Oct,21
2010,Nov,25
2010,Dec,27
2011,Jan,29
2011,Feb,29
2011,Mar,31
2011,Apr,31
2011,May,30
2011,Jun,32
2011,Jul,35
2011,Aug,38
2011,Sep,39
2011,Oct,40
2011,Nov,46
2011,Dec,48
2012,Jan,48
2012,Feb,47
2012,Mar,45
2012,Apr,46
2012,May,46
2012,Jun,48
2012,Jul,53
2012,Aug,55
2012,Sep,54
2012,Oct,55
2012,Nov,65
2012,Dec,69
2013,Jan,66
2013,Feb,62
2013,Mar,61
2013,Apr,58
2013,May,55
2013,Jun,56
2013,Jul,57
2013,Aug,62
2013,Sep,59
2013,Oct,58
2013,Nov,64
2013,Dec,68
2014,Jan,59
2014,Feb,57
2014,Mar,58
2014,Apr,59
2014,May,61
2014,Jun,57
2014,Jul,60
2014,Aug,60
2014,Sep,60
2014,Oct,58
2014,Nov,67
2014,Dec,73
2015,Jan,57
2015,Feb,58
2015,Mar,58
2015,Apr,57
2015,May,55
2015,Jun,56
2015,Jul,59
2015,Aug,59
2015,Sep,57
2015,Oct,57
2015,Nov,65
2015,Dec,69
2016,Jan,50
2016,Feb,50
2016,Mar,48
2016,Apr,49
2016,May,50
2016,Jun,49
2016,Jul,49
2016,Aug,52
2016,Sep,50
2016,Oct,49
2016,Nov,56
2016,Dec,61
2017,Jan,48
2017,Feb,46
2017,Mar,47
2017,Apr,46
2017,May,48
2017,Jun,46
2017,Jul,46
2017,Aug,48
2017,Sep,45
2017,Oct,47
2017,Nov,58
2017,Dec,58
2018,Jan,45
2018,Feb,44
2018,Mar,43
2018,Apr,47
2018,May,43
2018,Jun,43
2018,Jul,44
2018,Aug,44
2018,Sep,44
2018,Oct,43
2018,Nov,57
2018,Dec,56
2019,Jan,46
2019,Feb,46
2019,Mar,43
2019,Apr,45
2019,May,52
2019,Jun,47
2019,Jul,46
2019,Aug,47
2019,Sep,49
2019,Oct,46
2019,Nov,56
2019,Dec,60
2020,Jan,49
2020,Feb,48
2020,Mar,40
2020,Apr,72
2020,May,82
2020,Jun,75
2020,Jul,80
2020,Aug,79
2020,Sep,76
2020,Oct,76
2020,Nov,91
2020,Dec,100
2021,Jan,79
2021,Feb,77
2021,Mar,73
2021,Apr,69
2021,May,66
2021,Jun,66
2021,Jul,63
2021,Aug,64
2021,Sep,69
2021,Oct,70
2021,Nov,93
2021,Dec,88
2022,Jan,75
2022,Feb,76
2022,Mar,74
