CNAME:,DILLARD S INC
Google Trends Search Term:,dillard's
Google Trends Suggestion:,department store company
Google Trends URL:,/m/057my7
Year,Month,SVI Data
2004,Jan,24
2004,Feb,22
2004,Mar,27
2004,Apr,27
2004,May,25
2004,Jun,28
2004,Jul,27
2004,Aug,27
2004,Sep,26
2004,Oct,28
2004,Nov,35
2004,Dec,47
2005,Jan,32
2005,Feb,33
2005,Mar,32
2005,Apr,35
2005,May,35
2005,Jun,32
2005,Jul,34
2005,Aug,35
2005,Sep,37
2005,Oct,44
2005,Nov,44
2005,Dec,60
2006,Jan,35
2006,Feb,40
2006,Mar,39
2006,Apr,42
2006,May,37
2006,Jun,38
2006,Jul,41
2006,Aug,42
2006,Sep,46
2006,Oct,40
2006,Nov,46
2006,Dec,60
2007,Jan,42
2007,Feb,44
2007,Mar,46
2007,Apr,44
2007,May,42
2007,Jun,39
2007,Jul,41
2007,Aug,41
2007,Sep,43
2007,Oct,40
2007,Nov,54
2007,Dec,77
2008,Jan,41
2008,Feb,45
2008,Mar,48
2008,Apr,47
2008,May,45
2008,Jun,42
2008,Jul,47
2008,Aug,48
2008,Sep,48
2008,Oct,52
2008,Nov,69
2008,Dec,95
2009,Jan,62
2009,Feb,58
2009,Mar,56
2009,Apr,54
2009,May,47
2009,Jun,37
2009,Jul,39
2009,Aug,41
2009,Sep,44
2009,Oct,41
2009,Nov,50
2009,Dec,73
2010,Jan,49
2010,Feb,48
2010,Mar,49
2010,Apr,45
2010,May,44
2010,Jun,34
2010,Jul,39
2010,Aug,40
2010,Sep,48
2010,Oct,44
2010,Nov,55
2010,Dec,75
2011,Jan,68
2011,Feb,68
2011,Mar,65
2011,Apr,63
2011,May,61
2011,Jun,56
2011,Jul,64
2011,Aug,64
2011,Sep,67
2011,Oct,58
2011,Nov,76
2011,Dec,100
2012,Jan,75
2012,Feb,73
2012,Mar,71
2012,Apr,68
2012,May,65
2012,Jun,57
2012,Jul,62
2012,Aug,62
2012,Sep,68
2012,Oct,59
2012,Nov,79
2012,Dec,96
2013,Jan,75
2013,Feb,67
2013,Mar,70
2013,Apr,65
2013,May,64
2013,Jun,56
2013,Jul,61
2013,Aug,60
2013,Sep,61
2013,Oct,54
2013,Nov,70
2013,Dec,96
2014,Jan,70
2014,Feb,65
2014,Mar,58
2014,Apr,58
2014,May,59
2014,Jun,52
2014,Jul,55
2014,Aug,56
2014,Sep,58
2014,Oct,51
2014,Nov,76
2014,Dec,94
2015,Jan,66
2015,Feb,61
2015,Mar,59
2015,Apr,58
2015,May,54
2015,Jun,51
2015,Jul,53
2015,Aug,56
2015,Sep,55
2015,Oct,48
2015,Nov,67
2015,Dec,83
2016,Jan,65
2016,Feb,55
2016,Mar,53
2016,Apr,52
2016,May,52
2016,Jun,47
2016,Jul,52
2016,Aug,49
2016,Sep,54
2016,Oct,45
2016,Nov,59
2016,Dec,82
2017,Jan,60
2017,Feb,52
2017,Mar,51
2017,Apr,50
2017,May,48
2017,Jun,45
2017,Jul,51
2017,Aug,50
2017,Sep,50
2017,Oct,46
2017,Nov,62
2017,Dec,81
2018,Jan,61
2018,Feb,49
2018,Mar,53
2018,Apr,50
2018,May,48
2018,Jun,44
2018,Jul,45
2018,Aug,49
2018,Sep,53
2018,Oct,44
2018,Nov,60
2018,Dec,79
2019,Jan,65
2019,Feb,54
2019,Mar,52
2019,Apr,49
2019,May,51
2019,Jun,46
2019,Jul,48
2019,Aug,48
2019,Sep,51
2019,Oct,44
2019,Nov,57
2019,Dec,79
2020,Jan,62
2020,Feb,51
2020,Mar,37
2020,Apr,34
2020,May,47
2020,Jun,43
2020,Jul,40
2020,Aug,37
2020,Sep,44
2020,Oct,42
2020,Nov,51
2020,Dec,75
2021,Jan,56
2021,Feb,46
2021,Mar,52
2021,Apr,54
2021,May,58
2021,Jun,53
2021,Jul,53
2021,Aug,49
2021,Sep,58
2021,Oct,55
2021,Nov,70
2021,Dec,89
2022,Jan,61
2022,Feb,59
2022,Mar,57
