CNAME:,BANK OF AMERICA CORP
Google Trends Search Term:,bank of america
Google Trends Suggestion:,financial services company
Google Trends URL:,/m/01yx7f
Year,Month,SVI Data
2004,Jan,22
2004,Feb,21
2004,Mar,22
2004,Apr,23
2004,May,24
2004,Jun,29
2004,Jul,32
2004,Aug,33
2004,Sep,33
2004,Oct,32
2004,Nov,32
2004,Dec,37
2005,Jan,36
2005,Feb,37
2005,Mar,39
2005,Apr,42
2005,May,43
2005,Jun,50
2005,Jul,51
2005,Aug,56
2005,Sep,49
2005,Oct,50
2005,Nov,50
2005,Dec,54
2006,Jan,52
2006,Feb,51
2006,Mar,53
2006,Apr,55
2006,May,56
2006,Jun,60
2006,Jul,63
2006,Aug,64
2006,Sep,61
2006,Oct,64
2006,Nov,63
2006,Dec,68
2007,Jan,68
2007,Feb,70
2007,Mar,71
2007,Apr,71
2007,May,72
2007,Jun,77
2007,Jul,78
2007,Aug,82
2007,Sep,78
2007,Oct,76
2007,Nov,75
2007,Dec,77
2008,Jan,75
2008,Feb,73
2008,Mar,76
2008,Apr,77
2008,May,82
2008,Jun,81
2008,Jul,89
2008,Aug,85
2008,Sep,86
2008,Oct,84
2008,Nov,76
2008,Dec,85
2009,Jan,83
2009,Feb,84
2009,Mar,85
2009,Apr,82
2009,May,81
2009,Jun,84
2009,Jul,89
2009,Aug,88
2009,Sep,85
2009,Oct,84
2009,Nov,83
2009,Dec,86
2010,Jan,89
2010,Feb,79
2010,Mar,82
2010,Apr,83
2010,May,80
2010,Jun,76
2010,Jul,75
2010,Aug,79
2010,Sep,74
2010,Oct,79
2010,Nov,75
2010,Dec,82
2011,Jan,88
2011,Feb,90
2011,Mar,90
2011,Apr,89
2011,May,88
2011,Jun,94
2011,Jul,100
2011,Aug,98
2011,Sep,100
2011,Oct,97
2011,Nov,94
2011,Dec,89
2012,Jan,87
2012,Feb,84
2012,Mar,82
2012,Apr,80
2012,May,80
2012,Jun,83
2012,Jul,85
2012,Aug,85
2012,Sep,86
2012,Oct,86
2012,Nov,84
2012,Dec,85
2013,Jan,82
2013,Feb,84
2013,Mar,77
2013,Apr,79
2013,May,78
2013,Jun,77
2013,Jul,80
2013,Aug,79
2013,Sep,73
2013,Oct,68
2013,Nov,68
2013,Dec,72
2014,Jan,69
2014,Feb,70
2014,Mar,67
2014,Apr,65
2014,May,67
2014,Jun,66
2014,Jul,66
2014,Aug,66
2014,Sep,64
2014,Oct,60
2014,Nov,60
2014,Dec,60
2015,Jan,60
2015,Feb,57
2015,Mar,60
2015,Apr,56
2015,May,59
2015,Jun,59
2015,Jul,63
2015,Aug,61
2015,Sep,57
2015,Oct,56
2015,Nov,52
2015,Dec,55
2016,Jan,50
2016,Feb,50
2016,Mar,50
2016,Apr,48
2016,May,48
2016,Jun,49
2016,Jul,50
2016,Aug,50
2016,Sep,46
2016,Oct,46
2016,Nov,46
2016,Dec,46
2017,Jan,45
2017,Feb,44
2017,Mar,45
2017,Apr,44
2017,May,46
2017,Jun,48
2017,Jul,49
2017,Aug,49
2017,Sep,47
2017,Oct,47
2017,Nov,46
2017,Dec,47
2018,Jan,46
2018,Feb,45
2018,Mar,45
2018,Apr,43
2018,May,43
2018,Jun,46
2018,Jul,45
2018,Aug,46
2018,Sep,41
2018,Oct,41
2018,Nov,40
2018,Dec,40
2019,Jan,39
2019,Feb,41
2019,Mar,40
2019,Apr,41
2019,May,40
2019,Jun,42
2019,Jul,42
2019,Aug,42
2019,Sep,39
2019,Oct,38
2019,Nov,37
2019,Dec,37
2020,Jan,37
2020,Feb,37
2020,Mar,37
2020,Apr,49
2020,May,45
2020,Jun,46
2020,Jul,50
2020,Aug,43
2020,Sep,42
2020,Oct,43
2020,Nov,35
2020,Dec,39
2021,Jan,41
2021,Feb,39
2021,Mar,43
2021,Apr,38
2021,May,38
2021,Jun,38
2021,Jul,37
2021,Aug,36
2021,Sep,34
2021,Oct,33
2021,Nov,31
2021,Dec,32
2022,Jan,34
2022,Feb,34
2022,Mar,33
