CNAME:,ACADEMY SPORTS & OUTDOORS INC
Google Trends Search Term:,academy sports + outdoors
Google Trends Suggestion:,corporation
Google Trends URL:,/g/11r_j9jln
Year,Month,SVI Data
2004,Jan,10
2004,Feb,8
2004,Mar,9
2004,Apr,10
2004,May,11
2004,Jun,11
2004,Jul,11
2004,Aug,11
2004,Sep,10
2004,Oct,11
2004,Nov,12
2004,Dec,17
2005,Jan,11
2005,Feb,10
2005,Mar,11
2005,Apr,11
2005,May,13
2005,Jun,15
2005,Jul,12
2005,Aug,13
2005,Sep,11
2005,Oct,12
2005,Nov,15
2005,Dec,20
2006,Jan,13
2006,Feb,13
2006,Mar,14
2006,Apr,12
2006,May,14
2006,Jun,16
2006,Jul,16
2006,Aug,16
2006,Sep,16
2006,Oct,14
2006,Nov,18
2006,Dec,28
2007,Jan,17
2007,Feb,16
2007,Mar,17
2007,Apr,16
2007,May,19
2007,Jun,20
2007,Jul,19
2007,Aug,20
2007,Sep,18
2007,Oct,16
2007,Nov,23
2007,Dec,27
2008,Jan,18
2008,Feb,17
2008,Mar,19
2008,Apr,18
2008,May,21
2008,Jun,23
2008,Jul,21
2008,Aug,22
2008,Sep,19
2008,Oct,20
2008,Nov,25
2008,Dec,31
2009,Jan,20
2009,Feb,20
2009,Mar,20
2009,Apr,20
2009,May,20
2009,Jun,22
2009,Jul,21
2009,Aug,22
2009,Sep,20
2009,Oct,19
2009,Nov,24
2009,Dec,34
2010,Jan,19
2010,Feb,20
2010,Mar,18
2010,Apr,19
2010,May,20
2010,Jun,22
2010,Jul,22
2010,Aug,26
2010,Sep,24
2010,Oct,23
2010,Nov,32
2010,Dec,41
2011,Jan,31
2011,Feb,32
2011,Mar,30
2011,Apr,31
2011,May,35
2011,Jun,44
2011,Jul,40
2011,Aug,42
2011,Sep,37
2011,Oct,36
2011,Nov,49
2011,Dec,62
2012,Jan,42
2012,Feb,42
2012,Mar,41
2012,Apr,42
2012,May,44
2012,Jun,50
2012,Jul,47
2012,Aug,51
2012,Sep,46
2012,Oct,42
2012,Nov,62
2012,Dec,79
2013,Jan,54
2013,Feb,49
2013,Mar,49
2013,Apr,43
2013,May,45
2013,Jun,53
2013,Jul,52
2013,Aug,57
2013,Sep,47
2013,Oct,42
2013,Nov,64
2013,Dec,78
2014,Jan,47
2014,Feb,46
2014,Mar,47
2014,Apr,44
2014,May,50
2014,Jun,58
2014,Jul,54
2014,Aug,59
2014,Sep,47
2014,Oct,44
2014,Nov,69
2014,Dec,82
2015,Jan,46
2015,Feb,45
2015,Mar,46
2015,Apr,45
2015,May,48
2015,Jun,57
2015,Jul,62
2015,Aug,63
2015,Sep,51
2015,Oct,48
2015,Nov,74
2015,Dec,90
2016,Jan,55
2016,Feb,53
2016,Mar,53
2016,Apr,51
2016,May,55
2016,Jun,67
2016,Jul,67
2016,Aug,61
2016,Sep,52
2016,Oct,50
2016,Nov,80
2016,Dec,88
2017,Jan,50
2017,Feb,49
2017,Mar,52
2017,Apr,52
2017,May,54
2017,Jun,65
2017,Jul,62
2017,Aug,62
2017,Sep,52
2017,Oct,51
2017,Nov,82
2017,Dec,86
2018,Jan,48
2018,Feb,49
2018,Mar,55
2018,Apr,51
2018,May,54
2018,Jun,63
2018,Jul,62
2018,Aug,63
2018,Sep,49
2018,Oct,47
2018,Nov,80
2018,Dec,86
2019,Jan,49
2019,Feb,51
2019,Mar,55
2019,Apr,50
2019,May,57
2019,Jun,64
2019,Jul,60
2019,Aug,63
2019,Sep,51
2019,Oct,52
2019,Nov,75
2019,Dec,87
2020,Jan,49
2020,Feb,51
2020,Mar,66
2020,Apr,85
2020,May,98
2020,Jun,100
2020,Jul,81
2020,Aug,70
2020,Sep,63
2020,Oct,61
2020,Nov,83
2020,Dec,99
2021,Jan,67
2021,Feb,59
2021,Mar,70
2021,Apr,67
2021,May,68
2021,Jun,80
2021,Jul,73
2021,Aug,70
2021,Sep,61
2021,Oct,60
2021,Nov,85
2021,Dec,91
2022,Jan,54
2022,Feb,57
2022,Mar,63
