CNAME:,ZYNGA INC
Google Trends Search Term:,zynga
Google Trends Suggestion:,video game developer
Google Trends URL:,/m/05p4w4b
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,1
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,1
2004,Oct,1
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,1
2005,Mar,1
2005,Apr,1
2005,May,1
2005,Jun,0
2005,Jul,1
2005,Aug,1
2005,Sep,0
2005,Oct,1
2005,Nov,1
2005,Dec,2
2006,Jan,1
2006,Feb,0
2006,Mar,0
2006,Apr,1
2006,May,0
2006,Jun,1
2006,Jul,0
2006,Aug,1
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,1
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,0
2007,Aug,0
2007,Sep,0
2007,Oct,1
2007,Nov,0
2007,Dec,0
2008,Jan,1
2008,Feb,1
2008,Mar,1
2008,Apr,1
2008,May,1
2008,Jun,1
2008,Jul,4
2008,Aug,5
2008,Sep,5
2008,Oct,5
2008,Nov,6
2008,Dec,7
2009,Jan,9
2009,Feb,11
2009,Mar,13
2009,Apr,15
2009,May,16
2009,Jun,18
2009,Jul,20
2009,Aug,23
2009,Sep,25
2009,Oct,36
2009,Nov,35
2009,Dec,41
2010,Jan,34
2010,Feb,34
2010,Mar,33
2010,Apr,36
2010,May,40
2010,Jun,44
2010,Jul,41
2010,Aug,33
2010,Sep,47
2010,Oct,40
2010,Nov,32
2010,Dec,38
2011,Jan,36
2011,Feb,41
2011,Mar,47
2011,Apr,38
2011,May,41
2011,Jun,55
2011,Jul,58
2011,Aug,42
2011,Sep,42
2011,Oct,42
2011,Nov,50
2011,Dec,85
2012,Jan,55
2012,Feb,62
2012,Mar,55
2012,Apr,58
2012,May,85
2012,Jun,84
2012,Jul,99
2012,Aug,87
2012,Sep,65
2012,Oct,100
2012,Nov,85
2012,Dec,99
2013,Jan,99
2013,Feb,99
2013,Mar,92
2013,Apr,83
2013,May,71
2013,Jun,80
2013,Jul,89
2013,Aug,56
2013,Sep,53
2013,Oct,51
2013,Nov,48
2013,Dec,46
2014,Jan,45
2014,Feb,46
2014,Mar,44
2014,Apr,43
2014,May,42
2014,Jun,39
2014,Jul,38
2014,Aug,35
2014,Sep,33
2014,Oct,29
2014,Nov,29
2014,Dec,23
2015,Jan,24
2015,Feb,25
2015,Mar,24
2015,Apr,24
2015,May,24
2015,Jun,17
2015,Jul,16
2015,Aug,17
2015,Sep,15
2015,Oct,15
2015,Nov,14
2015,Dec,13
2016,Jan,12
2016,Feb,15
2016,Mar,13
2016,Apr,11
2016,May,12
2016,Jun,11
2016,Jul,11
2016,Aug,11
2016,Sep,10
2016,Oct,11
2016,Nov,10
2016,Dec,10
2017,Jan,9
2017,Feb,10
2017,Mar,9
2017,Apr,8
2017,May,10
2017,Jun,10
2017,Jul,9
2017,Aug,11
2017,Sep,7
2017,Oct,9
2017,Nov,10
2017,Dec,8
2018,Jan,10
2018,Feb,10
2018,Mar,9
2018,Apr,7
2018,May,9
2018,Jun,9
2018,Jul,7
2018,Aug,9
2018,Sep,7
2018,Oct,8
2018,Nov,7
2018,Dec,6
2019,Jan,7
2019,Feb,9
2019,Mar,8
2019,Apr,8
2019,May,10
2019,Jun,8
2019,Jul,9
2019,Aug,7
2019,Sep,7
2019,Oct,8
2019,Nov,5
2019,Dec,9
2020,Jan,13
2020,Feb,14
2020,Mar,11
2020,Apr,13
2020,May,15
2020,Jun,16
2020,Jul,13
2020,Aug,12
2020,Sep,8
2020,Oct,9
2020,Nov,10
2020,Dec,9
2021,Jan,10
2021,Feb,19
2021,Mar,10
2021,Apr,9
2021,May,9
2021,Jun,8
2021,Jul,7
2021,Aug,10
2021,Sep,7
2021,Oct,7
2021,Nov,9
2021,Dec,7
2022,Jan,17
2022,Feb,6
2022,Mar,6
