CNAME:,COGNIZANT TECHNOLOGY SOLUTIONS
Google Trends Search Term:,cognizant
Google Trends Suggestion:,information technology company
Google Trends URL:,/m/03bf9h
Year,Month,SVI Data
2004,Jan,30
2004,Feb,32
2004,Mar,30
2004,Apr,28
2004,May,25
2004,Jun,42
2004,Jul,41
2004,Aug,30
2004,Sep,24
2004,Oct,34
2004,Nov,28
2004,Dec,29
2005,Jan,36
2005,Feb,29
2005,Mar,30
2005,Apr,30
2005,May,31
2005,Jun,32
2005,Jul,36
2005,Aug,33
2005,Sep,23
2005,Oct,32
2005,Nov,32
2005,Dec,31
2006,Jan,35
2006,Feb,36
2006,Mar,36
2006,Apr,29
2006,May,33
2006,Jun,40
2006,Jul,32
2006,Aug,33
2006,Sep,41
2006,Oct,31
2006,Nov,36
2006,Dec,30
2007,Jan,33
2007,Feb,41
2007,Mar,38
2007,Apr,41
2007,May,46
2007,Jun,38
2007,Jul,33
2007,Aug,44
2007,Sep,40
2007,Oct,42
2007,Nov,38
2007,Dec,44
2008,Jan,41
2008,Feb,43
2008,Mar,46
2008,Apr,43
2008,May,47
2008,Jun,47
2008,Jul,45
2008,Aug,39
2008,Sep,45
2008,Oct,44
2008,Nov,42
2008,Dec,40
2009,Jan,49
2009,Feb,48
2009,Mar,48
2009,Apr,44
2009,May,41
2009,Jun,42
2009,Jul,49
2009,Aug,50
2009,Sep,50
2009,Oct,55
2009,Nov,56
2009,Dec,57
2010,Jan,54
2010,Feb,63
2010,Mar,64
2010,Apr,61
2010,May,56
2010,Jun,54
2010,Jul,52
2010,Aug,62
2010,Sep,58
2010,Oct,60
2010,Nov,51
2010,Dec,54
2011,Jan,55
2011,Feb,64
2011,Mar,62
2011,Apr,59
2011,May,59
2011,Jun,58
2011,Jul,58
2011,Aug,60
2011,Sep,60
2011,Oct,56
2011,Nov,55
2011,Dec,52
2012,Jan,56
2012,Feb,58
2012,Mar,62
2012,Apr,57
2012,May,67
2012,Jun,68
2012,Jul,56
2012,Aug,63
2012,Sep,66
2012,Oct,60
2012,Nov,60
2012,Dec,57
2013,Jan,66
2013,Feb,69
2013,Mar,62
2013,Apr,67
2013,May,67
2013,Jun,56
2013,Jul,65
2013,Aug,67
2013,Sep,66
2013,Oct,81
2013,Nov,70
2013,Dec,70
2014,Jan,73
2014,Feb,81
2014,Mar,86
2014,Apr,77
2014,May,76
2014,Jun,80
2014,Jul,87
2014,Aug,88
2014,Sep,100
2014,Oct,90
2014,Nov,87
2014,Dec,80
2015,Jan,87
2015,Feb,94
2015,Mar,94
2015,Apr,92
2015,May,84
2015,Jun,88
2015,Jul,85
2015,Aug,90
2015,Sep,86
2015,Oct,92
2015,Nov,88
2015,Dec,79
2016,Jan,73
2016,Feb,85
2016,Mar,84
2016,Apr,77
2016,May,72
2016,Jun,74
2016,Jul,68
2016,Aug,73
2016,Sep,84
2016,Oct,92
2016,Nov,81
2016,Dec,68
2017,Jan,76
2017,Feb,88
2017,Mar,93
2017,Apr,81
2017,May,99
2017,Jun,82
2017,Jul,71
2017,Aug,81
2017,Sep,82
2017,Oct,85
2017,Nov,81
2017,Dec,67
2018,Jan,83
2018,Feb,86
2018,Mar,86
2018,Apr,81
2018,May,81
2018,Jun,77
2018,Jul,76
2018,Aug,83
2018,Sep,82
2018,Oct,87
2018,Nov,80
2018,Dec,70
2019,Jan,82
2019,Feb,99
2019,Mar,82
2019,Apr,79
2019,May,94
2019,Jun,84
2019,Jul,78
2019,Aug,82
2019,Sep,89
2019,Oct,88
2019,Nov,82
2019,Dec,67
2020,Jan,74
2020,Feb,86
2020,Mar,84
2020,Apr,97
2020,May,73
2020,Jun,72
2020,Jul,73
2020,Aug,63
2020,Sep,64
2020,Oct,61
2020,Nov,52
2020,Dec,50
2021,Jan,59
2021,Feb,61
2021,Mar,58
2021,Apr,55
2021,May,49
2021,Jun,56
2021,Jul,53
2021,Aug,52
2021,Sep,61
2021,Oct,62
2021,Nov,55
2021,Dec,48
2022,Jan,51
2022,Feb,56
2022,Mar,53
