CNAME:,BOOKS A MILLION INC
Google Trends Search Term:,books-a-million
Google Trends Suggestion:,bookstore company
Google Trends URL:,/m/05kbvt
Year,Month,SVI Data
2004,Jan,57
2004,Feb,39
2004,Mar,40
2004,Apr,39
2004,May,47
2004,Jun,59
2004,Jul,55
2004,Aug,51
2004,Sep,44
2004,Oct,47
2004,Nov,61
2004,Dec,83
2005,Jan,57
2005,Feb,49
2005,Mar,49
2005,Apr,49
2005,May,57
2005,Jun,64
2005,Jul,65
2005,Aug,61
2005,Sep,52
2005,Oct,54
2005,Nov,59
2005,Dec,84
2006,Jan,67
2006,Feb,52
2006,Mar,51
2006,Apr,47
2006,May,54
2006,Jun,56
2006,Jul,57
2006,Aug,62
2006,Sep,54
2006,Oct,52
2006,Nov,63
2006,Dec,86
2007,Jan,62
2007,Feb,56
2007,Mar,53
2007,Apr,52
2007,May,55
2007,Jun,67
2007,Jul,77
2007,Aug,65
2007,Sep,62
2007,Oct,54
2007,Nov,64
2007,Dec,89
2008,Jan,64
2008,Feb,58
2008,Mar,53
2008,Apr,52
2008,May,56
2008,Jun,59
2008,Jul,67
2008,Aug,64
2008,Sep,61
2008,Oct,58
2008,Nov,69
2008,Dec,100
2009,Jan,72
2009,Feb,58
2009,Mar,60
2009,Apr,53
2009,May,60
2009,Jun,54
2009,Jul,54
2009,Aug,59
2009,Sep,52
2009,Oct,46
2009,Nov,60
2009,Dec,75
2010,Jan,59
2010,Feb,46
2010,Mar,43
2010,Apr,42
2010,May,44
2010,Jun,47
2010,Jul,47
2010,Aug,47
2010,Sep,46
2010,Oct,45
2010,Nov,52
2010,Dec,73
2011,Jan,64
2011,Feb,54
2011,Mar,49
2011,Apr,46
2011,May,52
2011,Jun,57
2011,Jul,66
2011,Aug,66
2011,Sep,64
2011,Oct,57
2011,Nov,71
2011,Dec,96
2012,Jan,71
2012,Feb,59
2012,Mar,56
2012,Apr,52
2012,May,56
2012,Jun,58
2012,Jul,55
2012,Aug,58
2012,Sep,54
2012,Oct,48
2012,Nov,55
2012,Dec,73
2013,Jan,53
2013,Feb,46
2013,Mar,45
2013,Apr,42
2013,May,43
2013,Jun,48
2013,Jul,47
2013,Aug,50
2013,Sep,45
2013,Oct,40
2013,Nov,48
2013,Dec,76
2014,Jan,49
2014,Feb,43
2014,Mar,41
2014,Apr,39
2014,May,44
2014,Jun,48
2014,Jul,46
2014,Aug,48
2014,Sep,40
2014,Oct,38
2014,Nov,46
2014,Dec,66
2015,Jan,46
2015,Feb,39
2015,Mar,38
2015,Apr,36
2015,May,39
2015,Jun,42
2015,Jul,45
2015,Aug,46
2015,Sep,40
2015,Oct,38
2015,Nov,46
2015,Dec,68
2016,Jan,44
2016,Feb,38
2016,Mar,36
2016,Apr,35
2016,May,39
2016,Jun,40
2016,Jul,43
2016,Aug,43
2016,Sep,37
2016,Oct,34
2016,Nov,43
2016,Dec,66
2017,Jan,39
2017,Feb,34
2017,Mar,33
2017,Apr,32
2017,May,35
2017,Jun,38
2017,Jul,36
2017,Aug,39
2017,Sep,33
2017,Oct,32
2017,Nov,39
2017,Dec,60
2018,Jan,36
2018,Feb,33
2018,Mar,33
2018,Apr,31
2018,May,30
2018,Jun,34
2018,Jul,36
2018,Aug,37
2018,Sep,32
2018,Oct,30
2018,Nov,38
2018,Dec,61
2019,Jan,35
2019,Feb,32
2019,Mar,32
2019,Apr,30
2019,May,30
2019,Jun,33
2019,Jul,35
2019,Aug,34
2019,Sep,29
2019,Oct,28
2019,Nov,33
2019,Dec,55
2020,Jan,32
2020,Feb,29
2020,Mar,26
2020,Apr,25
2020,May,34
2020,Jun,35
2020,Jul,32
2020,Aug,34
2020,Sep,31
2020,Oct,31
2020,Nov,35
2020,Dec,60
2021,Jan,39
2021,Feb,37
2021,Mar,38
2021,Apr,37
2021,May,39
2021,Jun,43
2021,Jul,42
2021,Aug,37
2021,Sep,32
2021,Oct,32
2021,Nov,40
2021,Dec,64
2022,Jan,40
2022,Feb,36
2022,Mar,33
