CNAME:,CYBEX INTERNATIONAL INC
Google Trends Search Term:,cybex international
Google Trends Suggestion:,fitness company
Google Trends URL:,/m/03p1x_y
Year,Month,SVI Data
2004,Jan,66
2004,Feb,60
2004,Mar,88
2004,Apr,67
2004,May,46
2004,Jun,51
2004,Jul,64
2004,Aug,51
2004,Sep,52
2004,Oct,50
2004,Nov,58
2004,Dec,55
2005,Jan,88
2005,Feb,77
2005,Mar,84
2005,Apr,44
2005,May,31
2005,Jun,61
2005,Jul,55
2005,Aug,79
2005,Sep,76
2005,Oct,54
2005,Nov,71
2005,Dec,61
2006,Jan,80
2006,Feb,71
2006,Mar,63
2006,Apr,43
2006,May,46
2006,Jun,36
2006,Jul,59
2006,Aug,61
2006,Sep,42
2006,Oct,63
2006,Nov,62
2006,Dec,66
2007,Jan,100
2007,Feb,60
2007,Mar,65
2007,Apr,69
2007,May,48
2007,Jun,40
2007,Jul,49
2007,Aug,58
2007,Sep,44
2007,Oct,45
2007,Nov,61
2007,Dec,57
2008,Jan,76
2008,Feb,59
2008,Mar,47
2008,Apr,48
2008,May,42
2008,Jun,31
2008,Jul,40
2008,Aug,34
2008,Sep,35
2008,Oct,37
2008,Nov,47
2008,Dec,32
2009,Jan,44
2009,Feb,46
2009,Mar,45
2009,Apr,43
2009,May,37
2009,Jun,30
2009,Jul,24
2009,Aug,27
2009,Sep,37
2009,Oct,32
2009,Nov,34
2009,Dec,30
2010,Jan,38
2010,Feb,33
2010,Mar,36
2010,Apr,40
2010,May,31
2010,Jun,27
2010,Jul,25
2010,Aug,26
2010,Sep,32
2010,Oct,32
2010,Nov,32
2010,Dec,31
2011,Jan,49
2011,Feb,43
2011,Mar,34
2011,Apr,35
2011,May,38
2011,Jun,31
2011,Jul,30
2011,Aug,28
2011,Sep,31
2011,Oct,29
2011,Nov,36
2011,Dec,42
2012,Jan,41
2012,Feb,32
2012,Mar,34
2012,Apr,26
2012,May,27
2012,Jun,26
2012,Jul,28
2012,Aug,25
2012,Sep,25
2012,Oct,25
2012,Nov,25
2012,Dec,21
2013,Jan,35
2013,Feb,40
2013,Mar,27
2013,Apr,26
2013,May,21
2013,Jun,24
2013,Jul,29
2013,Aug,22
2013,Sep,25
2013,Oct,24
2013,Nov,26
2013,Dec,24
2014,Jan,37
2014,Feb,33
2014,Mar,31
2014,Apr,23
2014,May,24
2014,Jun,21
2014,Jul,24
2014,Aug,28
2014,Sep,24
2014,Oct,26
2014,Nov,22
2014,Dec,26
2015,Jan,28
2015,Feb,32
2015,Mar,23
2015,Apr,19
2015,May,26
2015,Jun,22
2015,Jul,22
2015,Aug,26
2015,Sep,29
2015,Oct,24
2015,Nov,26
2015,Dec,22
2016,Jan,32
2016,Feb,31
2016,Mar,24
2016,Apr,28
2016,May,23
2016,Jun,23
2016,Jul,21
2016,Aug,19
2016,Sep,20
2016,Oct,23
2016,Nov,22
2016,Dec,23
2017,Jan,30
2017,Feb,27
2017,Mar,24
2017,Apr,21
2017,May,19
2017,Jun,23
2017,Jul,22
2017,Aug,21
2017,Sep,19
2017,Oct,21
2017,Nov,19
2017,Dec,23
2018,Jan,24
2018,Feb,28
2018,Mar,23
2018,Apr,24
2018,May,20
2018,Jun,22
2018,Jul,17
2018,Aug,23
2018,Sep,21
2018,Oct,20
2018,Nov,22
2018,Dec,21
2019,Jan,28
2019,Feb,24
2019,Mar,21
2019,Apr,18
2019,May,17
2019,Jun,17
2019,Jul,18
2019,Aug,17
2019,Sep,21
2019,Oct,16
2019,Nov,17
2019,Dec,17
2020,Jan,23
2020,Feb,22
2020,Mar,27
2020,Apr,21
2020,May,21
2020,Jun,18
2020,Jul,20
2020,Aug,21
2020,Sep,18
2020,Oct,19
2020,Nov,21
2020,Dec,21
2021,Jan,20
2021,Feb,20
2021,Mar,16
2021,Apr,16
2021,May,13
2021,Jun,14
2021,Jul,14
2021,Aug,12
2021,Sep,13
2021,Oct,14
2021,Nov,16
2021,Dec,11
2022,Jan,18
2022,Feb,18
2022,Mar,15
