CNAME:,BORDERFREE, INC
Google Trends Search Term:,borderfree inc
Google Trends Suggestion:,company
Google Trends URL:,/g/1pzhhryml
Year,Month,SVI Data
2004,Jan,0
2004,Feb,48
2004,Mar,0
2004,Apr,24
2004,May,0
2004,Jun,44
2004,Jul,45
2004,Aug,41
2004,Sep,19
2004,Oct,40
2004,Nov,41
2004,Dec,18
2005,Jan,0
2005,Feb,0
2005,Mar,43
2005,Apr,82
2005,May,29
2005,Jun,15
2005,Jul,30
2005,Aug,28
2005,Sep,13
2005,Oct,12
2005,Nov,25
2005,Dec,59
2006,Jan,32
2006,Feb,22
2006,Mar,19
2006,Apr,10
2006,May,0
2006,Jun,20
2006,Jul,20
2006,Aug,9
2006,Sep,18
2006,Oct,33
2006,Nov,16
2006,Dec,17
2007,Jan,0
2007,Feb,23
2007,Mar,21
2007,Apr,21
2007,May,13
2007,Jun,20
2007,Jul,6
2007,Aug,6
2007,Sep,6
2007,Oct,6
2007,Nov,0
2007,Dec,0
2008,Jan,10
2008,Feb,5
2008,Mar,0
2008,Apr,5
2008,May,10
2008,Jun,5
2008,Jul,0
2008,Aug,5
2008,Sep,5
2008,Oct,4
2008,Nov,5
2008,Dec,9
2009,Jan,4
2009,Feb,5
2009,Mar,0
2009,Apr,0
2009,May,4
2009,Jun,13
2009,Jul,9
2009,Aug,13
2009,Sep,4
2009,Oct,0
2009,Nov,8
2009,Dec,16
2010,Jan,11
2010,Feb,8
2010,Mar,7
2010,Apr,4
2010,May,4
2010,Jun,12
2010,Jul,0
2010,Aug,3
2010,Sep,0
2010,Oct,0
2010,Nov,12
2010,Dec,9
2011,Jan,7
2011,Feb,3
2011,Mar,2
2011,Apr,2
2011,May,2
2011,Jun,5
2011,Jul,7
2011,Aug,0
2011,Sep,9
2011,Oct,2
2011,Nov,8
2011,Dec,8
2012,Jan,4
2012,Feb,6
2012,Mar,13
2012,Apr,12
2012,May,5
2012,Jun,6
2012,Jul,7
2012,Aug,2
2012,Sep,4
2012,Oct,2
2012,Nov,10
2012,Dec,3
2013,Jan,6
2013,Feb,0
2013,Mar,8
2013,Apr,19
2013,May,34
2013,Jun,30
2013,Jul,36
2013,Aug,31
2013,Sep,24
2013,Oct,42
2013,Nov,36
2013,Dec,42
2014,Jan,31
2014,Feb,59
2014,Mar,100
2014,Apr,51
2014,May,51
2014,Jun,43
2014,Jul,45
2014,Aug,46
2014,Sep,43
2014,Oct,41
2014,Nov,57
2014,Dec,58
2015,Jan,37
2015,Feb,33
2015,Mar,51
2015,Apr,41
2015,May,92
2015,Jun,58
2015,Jul,33
2015,Aug,37
2015,Sep,32
2015,Oct,40
2015,Nov,31
2015,Dec,30
2016,Jan,24
2016,Feb,25
2016,Mar,31
2016,Apr,24
2016,May,23
2016,Jun,33
2016,Jul,35
2016,Aug,30
2016,Sep,40
2016,Oct,34
2016,Nov,26
2016,Dec,33
2017,Jan,24
2017,Feb,21
2017,Mar,23
2017,Apr,26
2017,May,30
2017,Jun,29
2017,Jul,13
2017,Aug,23
2017,Sep,35
2017,Oct,22
2017,Nov,36
2017,Dec,28
2018,Jan,30
2018,Feb,24
2018,Mar,14
2018,Apr,19
2018,May,21
2018,Jun,16
2018,Jul,18
2018,Aug,15
2018,Sep,18
2018,Oct,14
2018,Nov,24
2018,Dec,26
2019,Jan,19
2019,Feb,31
2019,Mar,16
2019,Apr,22
2019,May,19
2019,Jun,20
2019,Jul,18
2019,Aug,16
2019,Sep,18
2019,Oct,22
2019,Nov,19
2019,Dec,31
2020,Jan,9
2020,Feb,15
2020,Mar,8
2020,Apr,8
2020,May,15
2020,Jun,28
2020,Jul,19
2020,Aug,28
2020,Sep,22
2020,Oct,18
2020,Nov,11
2020,Dec,17
2021,Jan,13
2021,Feb,15
2021,Mar,7
2021,Apr,9
2021,May,11
2021,Jun,18
2021,Jul,8
2021,Aug,8
2021,Sep,11
2021,Oct,9
2021,Nov,11
2021,Dec,10
2022,Jan,15
2022,Feb,7
2022,Mar,8
