CNAME:,TAPESTRY INC
Google Trends Search Term:,tapestry
Google Trends Suggestion:,company
Google Trends URL:,/m/03p1tw4
Year,Month,SVI Data
2004,Jan,25
2004,Feb,24
2004,Mar,29
2004,Apr,25
2004,May,26
2004,Jun,25
2004,Jul,26
2004,Aug,27
2004,Sep,24
2004,Oct,25
2004,Nov,38
2004,Dec,58
2005,Jan,29
2005,Feb,32
2005,Mar,34
2005,Apr,33
2005,May,36
2005,Jun,32
2005,Jul,33
2005,Aug,35
2005,Sep,30
2005,Oct,34
2005,Nov,49
2005,Dec,65
2006,Jan,39
2006,Feb,38
2006,Mar,39
2006,Apr,42
2006,May,44
2006,Jun,44
2006,Jul,45
2006,Aug,45
2006,Sep,45
2006,Oct,44
2006,Nov,62
2006,Dec,99
2007,Jan,48
2007,Feb,47
2007,Mar,47
2007,Apr,46
2007,May,47
2007,Jun,46
2007,Jul,45
2007,Aug,45
2007,Sep,45
2007,Oct,45
2007,Nov,74
2007,Dec,100
2008,Jan,49
2008,Feb,46
2008,Mar,53
2008,Apr,51
2008,May,54
2008,Jun,45
2008,Jul,44
2008,Aug,44
2008,Sep,40
2008,Oct,44
2008,Nov,62
2008,Dec,86
2009,Jan,43
2009,Feb,42
2009,Mar,44
2009,Apr,40
2009,May,43
2009,Jun,39
2009,Jul,40
2009,Aug,42
2009,Sep,39
2009,Oct,42
2009,Nov,60
2009,Dec,80
2010,Jan,44
2010,Feb,44
2010,Mar,44
2010,Apr,41
2010,May,44
2010,Jun,37
2010,Jul,41
2010,Aug,43
2010,Sep,41
2010,Oct,42
2010,Nov,63
2010,Dec,83
2011,Jan,50
2011,Feb,55
2011,Mar,51
2011,Apr,51
2011,May,51
2011,Jun,46
2011,Jul,49
2011,Aug,48
2011,Sep,49
2011,Oct,50
2011,Nov,78
2011,Dec,95
2012,Jan,55
2012,Feb,55
2012,Mar,54
2012,Apr,50
2012,May,54
2012,Jun,45
2012,Jul,48
2012,Aug,49
2012,Sep,47
2012,Oct,46
2012,Nov,70
2012,Dec,86
2013,Jan,48
2013,Feb,51
2013,Mar,51
2013,Apr,44
2013,May,48
2013,Jun,40
2013,Jul,38
2013,Aug,38
2013,Sep,38
2013,Oct,34
2013,Nov,51
2013,Dec,66
2014,Jan,36
2014,Feb,35
2014,Mar,33
2014,Apr,32
2014,May,33
2014,Jun,30
2014,Jul,30
2014,Aug,27
2014,Sep,27
2014,Oct,25
2014,Nov,38
2014,Dec,48
2015,Jan,27
2015,Feb,25
2015,Mar,24
2015,Apr,23
2015,May,23
2015,Jun,21
2015,Jul,22
2015,Aug,21
2015,Sep,22
2015,Oct,20
2015,Nov,32
2015,Dec,39
2016,Jan,23
2016,Feb,22
2016,Mar,21
2016,Apr,21
2016,May,22
2016,Jun,21
2016,Jul,18
2016,Aug,19
2016,Sep,19
2016,Oct,18
2016,Nov,30
2016,Dec,35
2017,Jan,19
2017,Feb,17
2017,Mar,18
2017,Apr,17
2017,May,23
2017,Jun,18
2017,Jul,17
2017,Aug,17
2017,Sep,17
2017,Oct,19
2017,Nov,30
2017,Dec,32
2018,Jan,18
2018,Feb,17
2018,Mar,18
2018,Apr,16
2018,May,20
2018,Jun,19
2018,Jul,17
2018,Aug,17
2018,Sep,18
2018,Oct,16
2018,Nov,29
2018,Dec,33
2019,Jan,19
2019,Feb,18
2019,Mar,19
2019,Apr,17
2019,May,20
2019,Jun,20
2019,Jul,18
2019,Aug,17
2019,Sep,18
2019,Oct,17
2019,Nov,29
2019,Dec,38
2020,Jan,20
2020,Feb,20
2020,Mar,17
2020,Apr,21
2020,May,32
2020,Jun,29
2020,Jul,29
2020,Aug,26
2020,Sep,27
2020,Oct,31
2020,Nov,52
2020,Dec,58
2021,Jan,32
2021,Feb,32
2021,Mar,34
2021,Apr,41
2021,May,40
2021,Jun,34
2021,Jul,34
2021,Aug,32
2021,Sep,35
2021,Oct,35
2021,Nov,57
2021,Dec,59
2022,Jan,40
2022,Feb,38
2022,Mar,37
