CNAME:,PEPSICO INC
Google Trends Search Term:,pepsico
Google Trends Suggestion:,food company
Google Trends URL:,/m/04htfd
Year,Month,SVI Data
2004,Jan,52
2004,Feb,88
2004,Mar,65
2004,Apr,66
2004,May,69
2004,Jun,56
2004,Jul,66
2004,Aug,46
2004,Sep,50
2004,Oct,47
2004,Nov,57
2004,Dec,51
2005,Jan,48
2005,Feb,68
2005,Mar,58
2005,Apr,59
2005,May,64
2005,Jun,56
2005,Jul,56
2005,Aug,45
2005,Sep,51
2005,Oct,49
2005,Nov,49
2005,Dec,40
2006,Jan,47
2006,Feb,68
2006,Mar,63
2006,Apr,58
2006,May,56
2006,Jun,57
2006,Jul,54
2006,Aug,53
2006,Sep,48
2006,Oct,49
2006,Nov,44
2006,Dec,37
2007,Jan,42
2007,Feb,55
2007,Mar,51
2007,Apr,53
2007,May,50
2007,Jun,52
2007,Jul,51
2007,Aug,44
2007,Sep,49
2007,Oct,49
2007,Nov,44
2007,Dec,38
2008,Jan,45
2008,Feb,62
2008,Mar,55
2008,Apr,58
2008,May,60
2008,Jun,57
2008,Jul,56
2008,Aug,50
2008,Sep,54
2008,Oct,56
2008,Nov,51
2008,Dec,49
2009,Jan,54
2009,Feb,58
2009,Mar,50
2009,Apr,54
2009,May,55
2009,Jun,49
2009,Jul,52
2009,Aug,45
2009,Sep,47
2009,Oct,45
2009,Nov,41
2009,Dec,35
2010,Jan,47
2010,Feb,53
2010,Mar,49
2010,Apr,50
2010,May,49
2010,Jun,49
2010,Jul,44
2010,Aug,44
2010,Sep,44
2010,Oct,43
2010,Nov,39
2010,Dec,37
2011,Jan,43
2011,Feb,53
2011,Mar,49
2011,Apr,43
2011,May,48
2011,Jun,45
2011,Jul,53
2011,Aug,41
2011,Sep,46
2011,Oct,42
2011,Nov,42
2011,Dec,42
2012,Jan,47
2012,Feb,53
2012,Mar,57
2012,Apr,58
2012,May,56
2012,Jun,48
2012,Jul,46
2012,Aug,45
2012,Sep,42
2012,Oct,43
2012,Nov,43
2012,Dec,40
2013,Jan,46
2013,Feb,49
2013,Mar,61
2013,Apr,56
2013,May,53
2013,Jun,45
2013,Jul,50
2013,Aug,46
2013,Sep,40
2013,Oct,40
2013,Nov,35
2013,Dec,31
2014,Jan,43
2014,Feb,46
2014,Mar,48
2014,Apr,42
2014,May,40
2014,Jun,36
2014,Jul,43
2014,Aug,38
2014,Sep,39
2014,Oct,38
2014,Nov,34
2014,Dec,29
2015,Jan,38
2015,Feb,39
2015,Mar,38
2015,Apr,46
2015,May,39
2015,Jun,42
2015,Jul,44
2015,Aug,45
2015,Sep,43
2015,Oct,62
2015,Nov,43
2015,Dec,45
2016,Jan,41
2016,Feb,44
2016,Mar,39
2016,Apr,50
2016,May,45
2016,Jun,46
2016,Jul,43
2016,Aug,67
2016,Sep,44
2016,Oct,39
2016,Nov,46
2016,Dec,34
2017,Jan,40
2017,Feb,42
2017,Mar,41
2017,Apr,100
2017,May,47
2017,Jun,52
2017,Jul,47
2017,Aug,44
2017,Sep,60
2017,Oct,40
2017,Nov,35
2017,Dec,32
2018,Jan,42
2018,Feb,53
2018,Mar,40
2018,Apr,40
2018,May,42
2018,Jun,45
2018,Jul,48
2018,Aug,47
2018,Sep,43
2018,Oct,43
2018,Nov,36
2018,Dec,34
2019,Jan,46
2019,Feb,49
2019,Mar,41
2019,Apr,42
2019,May,44
2019,Jun,40
2019,Jul,42
2019,Aug,40
2019,Sep,39
2019,Oct,38
2019,Nov,36
2019,Dec,34
2020,Jan,39
2020,Feb,46
2020,Mar,38
2020,Apr,34
2020,May,33
2020,Jun,41
2020,Jul,39
2020,Aug,38
2020,Sep,35
2020,Oct,33
2020,Nov,29
2020,Dec,29
2021,Jan,32
2021,Feb,40
2021,Mar,43
2021,Apr,41
2021,May,37
2021,Jun,37
2021,Jul,36
2021,Aug,35
2021,Sep,36
2021,Oct,36
2021,Nov,32
2021,Dec,32
2022,Jan,36
2022,Feb,42
2022,Mar,54
