CNAME:,INTUITIVE SURGICAL INC
Google Trends Search Term:,intuitive
Google Trends Suggestion:,corporation
Google Trends URL:,/m/0b221y
Year,Month,SVI Data
2004,Jan,8
2004,Feb,8
2004,Mar,19
2004,Apr,18
2004,May,17
2004,Jun,17
2004,Jul,28
2004,Aug,35
2004,Sep,21
2004,Oct,22
2004,Nov,19
2004,Dec,31
2005,Jan,12
2005,Feb,18
2005,Mar,20
2005,Apr,33
2005,May,25
2005,Jun,35
2005,Jul,44
2005,Aug,43
2005,Sep,30
2005,Oct,30
2005,Nov,48
2005,Dec,40
2006,Jan,39
2006,Feb,55
2006,Mar,39
2006,Apr,33
2006,May,39
2006,Jun,22
2006,Jul,41
2006,Aug,31
2006,Sep,35
2006,Oct,30
2006,Nov,19
2006,Dec,28
2007,Jan,30
2007,Feb,48
2007,Mar,41
2007,Apr,38
2007,May,37
2007,Jun,30
2007,Jul,64
2007,Aug,57
2007,Sep,52
2007,Oct,100
2007,Nov,57
2007,Dec,60
2008,Jan,55
2008,Feb,57
2008,Mar,58
2008,Apr,72
2008,May,50
2008,Jun,52
2008,Jul,50
2008,Aug,37
2008,Sep,63
2008,Oct,51
2008,Nov,35
2008,Dec,41
2009,Jan,48
2009,Feb,52
2009,Mar,41
2009,Apr,56
2009,May,45
2009,Jun,35
2009,Jul,55
2009,Aug,55
2009,Sep,52
2009,Oct,46
2009,Nov,41
2009,Dec,44
2010,Jan,50
2010,Feb,42
2010,Mar,51
2010,Apr,59
2010,May,54
2010,Jun,52
2010,Jul,48
2010,Aug,51
2010,Sep,39
2010,Oct,46
2010,Nov,36
2010,Dec,40
2011,Jan,49
2011,Feb,53
2011,Mar,48
2011,Apr,44
2011,May,37
2011,Jun,36
2011,Jul,50
2011,Aug,38
2011,Sep,47
2011,Oct,47
2011,Nov,44
2011,Dec,37
2012,Jan,46
2012,Feb,41
2012,Mar,46
2012,Apr,51
2012,May,41
2012,Jun,39
2012,Jul,37
2012,Aug,40
2012,Sep,42
2012,Oct,46
2012,Nov,34
2012,Dec,38
2013,Jan,46
2013,Feb,44
2013,Mar,56
2013,Apr,49
2013,May,51
2013,Jun,41
2013,Jul,52
2013,Aug,37
2013,Sep,38
2013,Oct,39
2013,Nov,31
2013,Dec,31
2014,Jan,41
2014,Feb,38
2014,Mar,35
2014,Apr,57
2014,May,39
2014,Jun,32
2014,Jul,39
2014,Aug,28
2014,Sep,30
2014,Oct,33
2014,Nov,27
2014,Dec,25
2015,Jan,30
2015,Feb,31
2015,Mar,30
2015,Apr,35
2015,May,26
2015,Jun,24
2015,Jul,27
2015,Aug,25
2015,Sep,22
2015,Oct,28
2015,Nov,24
2015,Dec,21
2016,Jan,30
2016,Feb,26
2016,Mar,29
2016,Apr,35
2016,May,22
2016,Jun,24
2016,Jul,33
2016,Aug,24
2016,Sep,24
2016,Oct,29
2016,Nov,25
2016,Dec,26
2017,Jan,32
2017,Feb,27
2017,Mar,30
2017,Apr,42
2017,May,40
2017,Jun,42
2017,Jul,39
2017,Aug,34
2017,Sep,43
2017,Oct,65
2017,Nov,45
2017,Dec,38
2018,Jan,47
2018,Feb,42
2018,Mar,36
2018,Apr,44
2018,May,38
2018,Jun,46
2018,Jul,56
2018,Aug,56
2018,Sep,50
2018,Oct,50
2018,Nov,47
2018,Dec,43
2019,Jan,54
2019,Feb,47
2019,Mar,42
2019,Apr,58
2019,May,45
2019,Jun,42
2019,Jul,47
2019,Aug,44
2019,Sep,46
2019,Oct,51
2019,Nov,39
2019,Dec,37
2020,Jan,55
2020,Feb,56
2020,Mar,56
2020,Apr,50
2020,May,38
2020,Jun,50
2020,Jul,48
2020,Aug,41
2020,Sep,45
2020,Oct,46
2020,Nov,35
2020,Dec,38
2021,Jan,48
2021,Feb,57
2021,Mar,43
2021,Apr,47
2021,May,39
2021,Jun,42
2021,Jul,44
2021,Aug,63
2021,Sep,56
2021,Oct,69
2021,Nov,53
2021,Dec,43
2022,Jan,55
2022,Feb,50
2022,Mar,54
