CNAME:,STEEL DYNAMICS INC
Google Trends Search Term:,steel dynamics
Google Trends Suggestion:,company
Google Trends URL:,/m/03p377h
Year,Month,SVI Data
2004,Jan,0
2004,Feb,19
2004,Mar,99
2004,Apr,75
2004,May,26
2004,Jun,79
2004,Jul,36
2004,Aug,41
2004,Sep,31
2004,Oct,16
2004,Nov,66
2004,Dec,51
2005,Jan,6
2005,Feb,47
2005,Mar,29
2005,Apr,33
2005,May,41
2005,Jun,30
2005,Jul,60
2005,Aug,62
2005,Sep,21
2005,Oct,29
2005,Nov,35
2005,Dec,28
2006,Jan,46
2006,Feb,48
2006,Mar,58
2006,Apr,53
2006,May,46
2006,Jun,20
2006,Jul,28
2006,Aug,58
2006,Sep,22
2006,Oct,37
2006,Nov,23
2006,Dec,40
2007,Jan,29
2007,Feb,52
2007,Mar,39
2007,Apr,42
2007,May,18
2007,Jun,66
2007,Jul,64
2007,Aug,34
2007,Sep,47
2007,Oct,82
2007,Nov,62
2007,Dec,53
2008,Jan,65
2008,Feb,61
2008,Mar,67
2008,Apr,76
2008,May,57
2008,Jun,60
2008,Jul,51
2008,Aug,69
2008,Sep,54
2008,Oct,100
2008,Nov,65
2008,Dec,47
2009,Jan,58
2009,Feb,54
2009,Mar,84
2009,Apr,71
2009,May,62
2009,Jun,49
2009,Jul,69
2009,Aug,59
2009,Sep,67
2009,Oct,53
2009,Nov,33
2009,Dec,33
2010,Jan,53
2010,Feb,39
2010,Mar,38
2010,Apr,45
2010,May,44
2010,Jun,26
2010,Jul,35
2010,Aug,33
2010,Sep,36
2010,Oct,24
2010,Nov,30
2010,Dec,21
2011,Jan,28
2011,Feb,32
2011,Mar,34
2011,Apr,36
2011,May,27
2011,Jun,29
2011,Jul,36
2011,Aug,35
2011,Sep,23
2011,Oct,32
2011,Nov,35
2011,Dec,21
2012,Jan,42
2012,Feb,32
2012,Mar,28
2012,Apr,29
2012,May,36
2012,Jun,34
2012,Jul,29
2012,Aug,55
2012,Sep,34
2012,Oct,29
2012,Nov,25
2012,Dec,22
2013,Jan,24
2013,Feb,24
2013,Mar,34
2013,Apr,27
2013,May,28
2013,Jun,22
2013,Jul,18
2013,Aug,34
2013,Sep,27
2013,Oct,34
2013,Nov,20
2013,Dec,28
2014,Jan,31
2014,Feb,29
2014,Mar,22
2014,Apr,28
2014,May,22
2014,Jun,23
2014,Jul,44
2014,Aug,32
2014,Sep,34
2014,Oct,30
2014,Nov,21
2014,Dec,26
2015,Jan,30
2015,Feb,37
2015,Mar,32
2015,Apr,30
2015,May,34
2015,Jun,30
2015,Jul,40
2015,Aug,33
2015,Sep,26
2015,Oct,28
2015,Nov,18
2015,Dec,26
2016,Jan,32
2016,Feb,21
2016,Mar,29
2016,Apr,32
2016,May,28
2016,Jun,33
2016,Jul,31
2016,Aug,36
2016,Sep,29
2016,Oct,29
2016,Nov,30
2016,Dec,38
2017,Jan,46
2017,Feb,42
2017,Mar,31
2017,Apr,34
2017,May,34
2017,Jun,25
2017,Jul,26
2017,Aug,36
2017,Sep,30
2017,Oct,29
2017,Nov,32
2017,Dec,37
2018,Jan,40
2018,Feb,33
2018,Mar,51
2018,Apr,46
2018,May,39
2018,Jun,41
2018,Jul,44
2018,Aug,33
2018,Sep,32
2018,Oct,39
2018,Nov,77
2018,Dec,46
2019,Jan,51
2019,Feb,41
2019,Mar,49
2019,Apr,37
2019,May,38
2019,Jun,43
2019,Jul,58
2019,Aug,42
2019,Sep,43
2019,Oct,40
2019,Nov,42
2019,Dec,42
2020,Jan,55
2020,Feb,44
2020,Mar,57
2020,Apr,48
2020,May,42
2020,Jun,46
2020,Jul,54
2020,Aug,69
2020,Sep,44
2020,Oct,48
2020,Nov,40
2020,Dec,61
2021,Jan,55
2021,Feb,64
2021,Mar,69
2021,Apr,70
2021,May,77
2021,Jun,66
2021,Jul,55
2021,Aug,69
2021,Sep,67
2021,Oct,62
2021,Nov,53
2021,Dec,57
2022,Jan,69
2022,Feb,80
2022,Mar,87
