CNAME:,NSTAR
Google Trends Search Term:,nstar
Google Trends Suggestion:,utilities company
Google Trends URL:,/m/0381ql
Year,Month,SVI Data
2004,Jan,33
2004,Feb,30
2004,Mar,33
2004,Apr,35
2004,May,49
2004,Jun,39
2004,Jul,46
2004,Aug,52
2004,Sep,46
2004,Oct,34
2004,Nov,43
2004,Dec,32
2005,Jan,42
2005,Feb,40
2005,Mar,42
2005,Apr,35
2005,May,59
2005,Jun,59
2005,Jul,51
2005,Aug,65
2005,Sep,56
2005,Oct,56
2005,Nov,46
2005,Dec,42
2006,Jan,54
2006,Feb,47
2006,Mar,46
2006,Apr,44
2006,May,45
2006,Jun,44
2006,Jul,55
2006,Aug,65
2006,Sep,59
2006,Oct,57
2006,Nov,43
2006,Dec,44
2007,Jan,44
2007,Feb,41
2007,Mar,36
2007,Apr,37
2007,May,35
2007,Jun,40
2007,Jul,41
2007,Aug,50
2007,Sep,42
2007,Oct,40
2007,Nov,43
2007,Dec,32
2008,Jan,32
2008,Feb,29
2008,Mar,30
2008,Apr,30
2008,May,33
2008,Jun,35
2008,Jul,38
2008,Aug,41
2008,Sep,36
2008,Oct,35
2008,Nov,27
2008,Dec,30
2009,Jan,33
2009,Feb,27
2009,Mar,30
2009,Apr,27
2009,May,27
2009,Jun,33
2009,Jul,28
2009,Aug,32
2009,Sep,29
2009,Oct,29
2009,Nov,27
2009,Dec,24
2010,Jan,28
2010,Feb,24
2010,Mar,26
2010,Apr,28
2010,May,23
2010,Jun,31
2010,Jul,29
2010,Aug,32
2010,Sep,27
2010,Oct,34
2010,Nov,29
2010,Dec,27
2011,Jan,31
2011,Feb,29
2011,Mar,27
2011,Apr,28
2011,May,28
2011,Jun,31
2011,Jul,33
2011,Aug,70
2011,Sep,40
2011,Oct,55
2011,Nov,39
2011,Dec,29
2012,Jan,28
2012,Feb,28
2012,Mar,32
2012,Apr,30
2012,May,28
2012,Jun,36
2012,Jul,32
2012,Aug,31
2012,Sep,29
2012,Oct,60
2012,Nov,35
2012,Dec,26
2013,Jan,27
2013,Feb,100
2013,Mar,31
2013,Apr,27
2013,May,33
2013,Jun,38
2013,Jul,37
2013,Aug,35
2013,Sep,34
2013,Oct,35
2013,Nov,31
2013,Dec,27
2014,Jan,34
2014,Feb,34
2014,Mar,35
2014,Apr,30
2014,May,32
2014,Jun,31
2014,Jul,35
2014,Aug,31
2014,Sep,36
2014,Oct,33
2014,Nov,34
2014,Dec,32
2015,Jan,46
2015,Feb,37
2015,Mar,23
2015,Apr,18
2015,May,16
2015,Jun,15
2015,Jul,12
2015,Aug,12
2015,Sep,10
2015,Oct,7
2015,Nov,7
2015,Dec,6
2016,Jan,7
2016,Feb,8
2016,Mar,5
2016,Apr,5
2016,May,5
2016,Jun,4
2016,Jul,5
2016,Aug,4
2016,Sep,4
2016,Oct,4
2016,Nov,4
2016,Dec,4
2017,Jan,4
2017,Feb,4
2017,Mar,4
2017,Apr,3
2017,May,3
2017,Jun,4
2017,Jul,3
2017,Aug,3
2017,Sep,3
2017,Oct,4
2017,Nov,3
2017,Dec,3
2018,Jan,4
2018,Feb,3
2018,Mar,9
2018,Apr,3
2018,May,2
2018,Jun,2
2018,Jul,2
2018,Aug,3
2018,Sep,2
2018,Oct,2
2018,Nov,2
2018,Dec,2
2019,Jan,2
2019,Feb,2
2019,Mar,2
2019,Apr,2
2019,May,2
2019,Jun,2
2019,Jul,3
2019,Aug,2
2019,Sep,2
2019,Oct,3
2019,Nov,2
2019,Dec,2
2020,Jan,2
2020,Feb,2
2020,Mar,1
2020,Apr,1
2020,May,1
2020,Jun,2
2020,Jul,1
2020,Aug,2
2020,Sep,1
2020,Oct,2
2020,Nov,1
2020,Dec,2
2021,Jan,1
2021,Feb,1
2021,Mar,1
2021,Apr,1
2021,May,1
2021,Jun,2
2021,Jul,1
2021,Aug,2
2021,Sep,1
2021,Oct,2
2021,Nov,1
2021,Dec,1
2022,Jan,2
2022,Feb,1
2022,Mar,1
