CNAME:,FOREST LABORATORIES INC
Google Trends Search Term:,forest laboratories
Google Trends Suggestion:,pharmaceutical industry company
Google Trends URL:,/m/03p25kp
Year,Month,SVI Data
2004,Jan,53
2004,Feb,59
2004,Mar,47
2004,Apr,93
2004,May,98
2004,Jun,100
2004,Jul,41
2004,Aug,68
2004,Sep,83
2004,Oct,67
2004,Nov,44
2004,Dec,72
2005,Jan,63
2005,Feb,61
2005,Mar,56
2005,Apr,70
2005,May,85
2005,Jun,78
2005,Jul,59
2005,Aug,38
2005,Sep,43
2005,Oct,48
2005,Nov,60
2005,Dec,25
2006,Jan,45
2006,Feb,23
2006,Mar,50
2006,Apr,43
2006,May,23
2006,Jun,49
2006,Jul,39
2006,Aug,44
2006,Sep,44
2006,Oct,40
2006,Nov,15
2006,Dec,35
2007,Jan,33
2007,Feb,33
2007,Mar,40
2007,Apr,42
2007,May,35
2007,Jun,43
2007,Jul,41
2007,Aug,35
2007,Sep,41
2007,Oct,33
2007,Nov,39
2007,Dec,30
2008,Jan,44
2008,Feb,57
2008,Mar,40
2008,Apr,39
2008,May,32
2008,Jun,49
2008,Jul,51
2008,Aug,31
2008,Sep,32
2008,Oct,29
2008,Nov,38
2008,Dec,52
2009,Jan,43
2009,Feb,62
2009,Mar,58
2009,Apr,49
2009,May,55
2009,Jun,53
2009,Jul,44
2009,Aug,57
2009,Sep,54
2009,Oct,48
2009,Nov,47
2009,Dec,48
2010,Jan,47
2010,Feb,42
2010,Mar,53
2010,Apr,54
2010,May,59
2010,Jun,44
2010,Jul,41
2010,Aug,55
2010,Sep,50
2010,Oct,42
2010,Nov,38
2010,Dec,35
2011,Jan,35
2011,Feb,43
2011,Mar,27
2011,Apr,51
2011,May,44
2011,Jun,44
2011,Jul,35
2011,Aug,36
2011,Sep,34
2011,Oct,30
2011,Nov,26
2011,Dec,32
2012,Jan,28
2012,Feb,29
2012,Mar,32
2012,Apr,27
2012,May,24
2012,Jun,31
2012,Jul,28
2012,Aug,37
2012,Sep,28
2012,Oct,24
2012,Nov,22
2012,Dec,22
2013,Jan,24
2013,Feb,22
2013,Mar,30
2013,Apr,31
2013,May,32
2013,Jun,33
2013,Jul,33
2013,Aug,30
2013,Sep,30
2013,Oct,27
2013,Nov,32
2013,Dec,24
2014,Jan,39
2014,Feb,56
2014,Mar,29
2014,Apr,32
2014,May,21
2014,Jun,39
2014,Jul,31
2014,Aug,24
2014,Sep,19
2014,Oct,24
2014,Nov,13
2014,Dec,14
2015,Jan,20
2015,Feb,12
2015,Mar,15
2015,Apr,13
2015,May,9
2015,Jun,15
2015,Jul,14
2015,Aug,13
2015,Sep,12
2015,Oct,8
2015,Nov,10
2015,Dec,6
2016,Jan,6
2016,Feb,6
2016,Mar,5
2016,Apr,7
2016,May,3
2016,Jun,3
2016,Jul,2
2016,Aug,4
2016,Sep,5
2016,Oct,3
2016,Nov,4
2016,Dec,2
2017,Jan,3
2017,Feb,4
2017,Mar,4
2017,Apr,3
2017,May,3
2017,Jun,4
2017,Jul,5
2017,Aug,3
2017,Sep,5
2017,Oct,2
2017,Nov,1
2017,Dec,2
2018,Jan,3
2018,Feb,5
2018,Mar,3
2018,Apr,2
2018,May,2
2018,Jun,0
2018,Jul,3
2018,Aug,2
2018,Sep,2
2018,Oct,1
2018,Nov,1
2018,Dec,1
2019,Jan,3
2019,Feb,2
2019,Mar,2
2019,Apr,1
2019,May,2
2019,Jun,3
2019,Jul,2
2019,Aug,2
2019,Sep,1
2019,Oct,2
2019,Nov,1
2019,Dec,1
2020,Jan,2
2020,Feb,2
2020,Mar,2
2020,Apr,2
2020,May,1
2020,Jun,1
2020,Jul,1
2020,Aug,1
2020,Sep,1
2020,Oct,1
2020,Nov,0
2020,Dec,1
2021,Jan,2
2021,Feb,0
2021,Mar,2
2021,Apr,2
2021,May,1
2021,Jun,1
2021,Jul,1
2021,Aug,1
2021,Sep,1
2021,Oct,1
2021,Nov,1
2021,Dec,1
2022,Jan,2
2022,Feb,2
2022,Mar,0
