CNAME:,FINISAR CORP
Google Trends Search Term:,finisar
Google Trends Suggestion:,corporation
Google Trends URL:,/m/03dzpt_
Year,Month,SVI Data
2004,Jan,82
2004,Feb,37
2004,Mar,47
2004,Apr,54
2004,May,93
2004,Jun,45
2004,Jul,34
2004,Aug,67
2004,Sep,69
2004,Oct,36
2004,Nov,52
2004,Dec,56
2005,Jan,57
2005,Feb,43
2005,Mar,51
2005,Apr,50
2005,May,52
2005,Jun,61
2005,Jul,49
2005,Aug,43
2005,Sep,53
2005,Oct,37
2005,Nov,63
2005,Dec,69
2006,Jan,45
2006,Feb,63
2006,Mar,98
2006,Apr,49
2006,May,51
2006,Jun,100
2006,Jul,63
2006,Aug,55
2006,Sep,41
2006,Oct,42
2006,Nov,48
2006,Dec,34
2007,Jan,59
2007,Feb,39
2007,Mar,60
2007,Apr,43
2007,May,38
2007,Jun,49
2007,Jul,39
2007,Aug,36
2007,Sep,58
2007,Oct,49
2007,Nov,49
2007,Dec,29
2008,Jan,47
2008,Feb,56
2008,Mar,50
2008,Apr,33
2008,May,59
2008,Jun,37
2008,Jul,45
2008,Aug,37
2008,Sep,37
2008,Oct,43
2008,Nov,36
2008,Dec,30
2009,Jan,58
2009,Feb,38
2009,Mar,40
2009,Apr,19
2009,May,40
2009,Jun,46
2009,Jul,55
2009,Aug,43
2009,Sep,50
2009,Oct,40
2009,Nov,31
2009,Dec,34
2010,Jan,26
2010,Feb,34
2010,Mar,30
2010,Apr,33
2010,May,29
2010,Jun,46
2010,Jul,34
2010,Aug,31
2010,Sep,35
2010,Oct,35
2010,Nov,28
2010,Dec,32
2011,Jan,35
2011,Feb,30
2011,Mar,59
2011,Apr,28
2011,May,25
2011,Jun,28
2011,Jul,27
2011,Aug,27
2011,Sep,36
2011,Oct,25
2011,Nov,21
2011,Dec,18
2012,Jan,27
2012,Feb,23
2012,Mar,21
2012,Apr,23
2012,May,26
2012,Jun,18
2012,Jul,19
2012,Aug,17
2012,Sep,23
2012,Oct,16
2012,Nov,14
2012,Dec,20
2013,Jan,21
2013,Feb,16
2013,Mar,18
2013,Apr,22
2013,May,21
2013,Jun,27
2013,Jul,23
2013,Aug,28
2013,Sep,25
2013,Oct,24
2013,Nov,12
2013,Dec,17
2014,Jan,21
2014,Feb,22
2014,Mar,22
2014,Apr,19
2014,May,21
2014,Jun,29
2014,Jul,22
2014,Aug,17
2014,Sep,21
2014,Oct,18
2014,Nov,16
2014,Dec,19
2015,Jan,17
2015,Feb,20
2015,Mar,20
2015,Apr,15
2015,May,17
2015,Jun,21
2015,Jul,16
2015,Aug,20
2015,Sep,17
2015,Oct,15
2015,Nov,12
2015,Dec,13
2016,Jan,13
2016,Feb,11
2016,Mar,15
2016,Apr,15
2016,May,17
2016,Jun,22
2016,Jul,8
2016,Aug,15
2016,Sep,17
2016,Oct,13
2016,Nov,16
2016,Dec,21
2017,Jan,19
2017,Feb,23
2017,Mar,26
2017,Apr,24
2017,May,19
2017,Jun,31
2017,Jul,16
2017,Aug,25
2017,Sep,26
2017,Oct,26
2017,Nov,21
2017,Dec,89
2018,Jan,40
2018,Feb,26
2018,Mar,37
2018,Apr,33
2018,May,24
2018,Jun,22
2018,Jul,22
2018,Aug,23
2018,Sep,24
2018,Oct,22
2018,Nov,38
2018,Dec,19
2019,Jan,21
2019,Feb,18
2019,Mar,17
2019,Apr,22
2019,May,24
2019,Jun,18
2019,Jul,22
2019,Aug,18
2019,Sep,23
2019,Oct,19
2019,Nov,13
2019,Dec,11
2020,Jan,9
2020,Feb,14
2020,Mar,10
2020,Apr,8
2020,May,10
2020,Jun,9
2020,Jul,10
2020,Aug,11
2020,Sep,8
2020,Oct,9
2020,Nov,7
2020,Dec,6
2021,Jan,9
2021,Feb,6
2021,Mar,7
2021,Apr,6
2021,May,7
2021,Jun,8
2021,Jul,5
2021,Aug,7
2021,Sep,7
2021,Oct,5
2021,Nov,6
2021,Dec,8
2022,Jan,5
2022,Feb,6
2022,Mar,7
