CNAME:,HALLIBURTON CO
Google Trends Search Term:,halliburton
Google Trends Suggestion:,corporation
Google Trends URL:,/m/01cvy3
Year,Month,SVI Data
2004,Jan,51
2004,Feb,62
2004,Mar,44
2004,Apr,64
2004,May,55
2004,Jun,65
2004,Jul,68
2004,Aug,60
2004,Sep,64
2004,Oct,100
2004,Nov,62
2004,Dec,29
2005,Jan,34
2005,Feb,30
2005,Mar,28
2005,Apr,28
2005,May,26
2005,Jun,24
2005,Jul,29
2005,Aug,30
2005,Sep,57
2005,Oct,33
2005,Nov,28
2005,Dec,26
2006,Jan,24
2006,Feb,32
2006,Mar,31
2006,Apr,31
2006,May,28
2006,Jun,25
2006,Jul,30
2006,Aug,24
2006,Sep,31
2006,Oct,24
2006,Nov,24
2006,Dec,18
2007,Jan,26
2007,Feb,22
2007,Mar,44
2007,Apr,28
2007,May,27
2007,Jun,27
2007,Jul,29
2007,Aug,23
2007,Sep,24
2007,Oct,21
2007,Nov,19
2007,Dec,23
2008,Jan,22
2008,Feb,22
2008,Mar,21
2008,Apr,23
2008,May,24
2008,Jun,25
2008,Jul,26
2008,Aug,22
2008,Sep,21
2008,Oct,22
2008,Nov,21
2008,Dec,18
2009,Jan,21
2009,Feb,20
2009,Mar,17
2009,Apr,17
2009,May,17
2009,Jun,16
2009,Jul,17
2009,Aug,16
2009,Sep,19
2009,Oct,21
2009,Nov,17
2009,Dec,17
2010,Jan,18
2010,Feb,21
2010,Mar,20
2010,Apr,20
2010,May,32
2010,Jun,26
2010,Jul,22
2010,Aug,22
2010,Sep,20
2010,Oct,21
2010,Nov,22
2010,Dec,22
2011,Jan,22
2011,Feb,23
2011,Mar,22
2011,Apr,22
2011,May,23
2011,Jun,23
2011,Jul,25
2011,Aug,29
2011,Sep,29
2011,Oct,27
2011,Nov,25
2011,Dec,23
2012,Jan,27
2012,Feb,24
2012,Mar,24
2012,Apr,24
2012,May,23
2012,Jun,23
2012,Jul,22
2012,Aug,23
2012,Sep,24
2012,Oct,24
2012,Nov,20
2012,Dec,16
2013,Jan,22
2013,Feb,23
2013,Mar,23
2013,Apr,24
2013,May,23
2013,Jun,22
2013,Jul,30
2013,Aug,26
2013,Sep,24
2013,Oct,23
2013,Nov,20
2013,Dec,19
2014,Jan,25
2014,Feb,23
2014,Mar,23
2014,Apr,24
2014,May,24
2014,Jun,30
2014,Jul,29
2014,Aug,28
2014,Sep,29
2014,Oct,28
2014,Nov,44
2014,Dec,27
2015,Jan,29
2015,Feb,23
2015,Mar,20
2015,Apr,22
2015,May,17
2015,Jun,18
2015,Jul,20
2015,Aug,18
2015,Sep,21
2015,Oct,17
2015,Nov,17
2015,Dec,15
2016,Jan,16
2016,Feb,15
2016,Mar,14
2016,Apr,20
2016,May,17
2016,Jun,12
2016,Jul,12
2016,Aug,12
2016,Sep,12
2016,Oct,13
2016,Nov,11
2016,Dec,12
2017,Jan,15
2017,Feb,12
2017,Mar,14
2017,Apr,12
2017,May,13
2017,Jun,14
2017,Jul,14
2017,Aug,13
2017,Sep,13
2017,Oct,13
2017,Nov,11
2017,Dec,11
2018,Jan,13
2018,Feb,12
2018,Mar,12
2018,Apr,12
2018,May,12
2018,Jun,13
2018,Jul,14
2018,Aug,14
2018,Sep,12
2018,Oct,12
2018,Nov,11
2018,Dec,13
2019,Jan,13
2019,Feb,13
2019,Mar,11
2019,Apr,12
2019,May,13
2019,Jun,13
2019,Jul,11
2019,Aug,12
2019,Sep,11
2019,Oct,11
2019,Nov,8
2019,Dec,12
2020,Jan,10
2020,Feb,9
2020,Mar,15
2020,Apr,14
2020,May,10
2020,Jun,7
2020,Jul,7
2020,Aug,6
2020,Sep,6
2020,Oct,7
2020,Nov,6
2020,Dec,5
2021,Jan,6
2021,Feb,6
2021,Mar,5
2021,Apr,5
2021,May,5
2021,Jun,5
2021,Jul,5
2021,Aug,7
2021,Sep,5
2021,Oct,6
2021,Nov,6
2021,Dec,5
2022,Jan,6
2022,Feb,8
2022,Mar,7
