CNAME:,REALOGY HOLDINGS CORP
Google Trends Search Term:,realogy
Google Trends Suggestion:,company
Google Trends URL:,/m/0kqm98
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,3
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,2
2005,Dec,2
2006,Jan,2
2006,Feb,10
2006,Mar,2
2006,Apr,17
2006,May,16
2006,Jun,25
2006,Jul,34
2006,Aug,76
2006,Sep,42
2006,Oct,38
2006,Nov,41
2006,Dec,60
2007,Jan,57
2007,Feb,20
2007,Mar,42
2007,Apr,69
2007,May,37
2007,Jun,48
2007,Jul,40
2007,Aug,41
2007,Sep,31
2007,Oct,31
2007,Nov,32
2007,Dec,34
2008,Jan,38
2008,Feb,57
2008,Mar,50
2008,Apr,49
2008,May,32
2008,Jun,34
2008,Jul,28
2008,Aug,41
2008,Sep,30
2008,Oct,48
2008,Nov,38
2008,Dec,75
2009,Jan,49
2009,Feb,79
2009,Mar,50
2009,Apr,35
2009,May,30
2009,Jun,38
2009,Jul,23
2009,Aug,31
2009,Sep,31
2009,Oct,30
2009,Nov,24
2009,Dec,32
2010,Jan,25
2010,Feb,22
2010,Mar,33
2010,Apr,34
2010,May,24
2010,Jun,30
2010,Jul,18
2010,Aug,23
2010,Sep,22
2010,Oct,18
2010,Nov,18
2010,Dec,17
2011,Jan,25
2011,Feb,28
2011,Mar,28
2011,Apr,18
2011,May,21
2011,Jun,26
2011,Jul,21
2011,Aug,25
2011,Sep,31
2011,Oct,25
2011,Nov,21
2011,Dec,11
2012,Jan,20
2012,Feb,20
2012,Mar,18
2012,Apr,18
2012,May,25
2012,Jun,23
2012,Jul,19
2012,Aug,24
2012,Sep,23
2012,Oct,64
2012,Nov,26
2012,Dec,22
2013,Jan,24
2013,Feb,24
2013,Mar,22
2013,Apr,27
2013,May,20
2013,Jun,22
2013,Jul,27
2013,Aug,23
2013,Sep,21
2013,Oct,23
2013,Nov,23
2013,Dec,18
2014,Jan,19
2014,Feb,21
2014,Mar,20
2014,Apr,25
2014,May,21
2014,Jun,21
2014,Jul,32
2014,Aug,22
2014,Sep,22
2014,Oct,19
2014,Nov,24
2014,Dec,20
2015,Jan,19
2015,Feb,24
2015,Mar,22
2015,Apr,14
2015,May,18
2015,Jun,19
2015,Jul,25
2015,Aug,18
2015,Sep,25
2015,Oct,16
2015,Nov,17
2015,Dec,16
2016,Jan,19
2016,Feb,19
2016,Mar,19
2016,Apr,17
2016,May,18
2016,Jun,19
2016,Jul,16
2016,Aug,20
2016,Sep,12
2016,Oct,15
2016,Nov,21
2016,Dec,13
2017,Jan,18
2017,Feb,26
2017,Mar,21
2017,Apr,23
2017,May,19
2017,Jun,26
2017,Jul,21
2017,Aug,24
2017,Sep,19
2017,Oct,21
2017,Nov,26
2017,Dec,12
2018,Jan,27
2018,Feb,25
2018,Mar,25
2018,Apr,21
2018,May,21
2018,Jun,19
2018,Jul,25
2018,Aug,32
2018,Sep,22
2018,Oct,23
2018,Nov,25
2018,Dec,19
2019,Jan,23
2019,Feb,24
2019,Mar,34
2019,Apr,23
2019,May,35
2019,Jun,30
2019,Jul,100
2019,Aug,40
2019,Sep,38
2019,Oct,30
2019,Nov,26
2019,Dec,20
2020,Jan,27
2020,Feb,27
2020,Mar,28
2020,Apr,24
2020,May,22
2020,Jun,24
2020,Jul,25
2020,Aug,25
2020,Sep,19
2020,Oct,19
2020,Nov,16
2020,Dec,21
2021,Jan,20
2021,Feb,18
2021,Mar,21
2021,Apr,22
2021,May,20
2021,Jun,20
2021,Jul,18
2021,Aug,17
2021,Sep,16
2021,Oct,18
2021,Nov,19
2021,Dec,16
2022,Jan,22
2022,Feb,21
2022,Mar,21
