CNAME:,CIGNA CORP
Google Trends Search Term:,cigna
Google Trends Suggestion:,insurance company
Google Trends URL:,/m/02twsr
Year,Month,SVI Data
2004,Jan,70
2004,Feb,64
2004,Mar,63
2004,Apr,58
2004,May,54
2004,Jun,67
2004,Jul,65
2004,Aug,66
2004,Sep,63
2004,Oct,63
2004,Nov,61
2004,Dec,51
2005,Jan,70
2005,Feb,63
2005,Mar,59
2005,Apr,55
2005,May,55
2005,Jun,60
2005,Jul,55
2005,Aug,58
2005,Sep,55
2005,Oct,54
2005,Nov,59
2005,Dec,50
2006,Jan,64
2006,Feb,55
2006,Mar,55
2006,Apr,47
2006,May,56
2006,Jun,56
2006,Jul,57
2006,Aug,60
2006,Sep,54
2006,Oct,61
2006,Nov,61
2006,Dec,49
2007,Jan,63
2007,Feb,58
2007,Mar,57
2007,Apr,58
2007,May,61
2007,Jun,60
2007,Jul,58
2007,Aug,63
2007,Sep,55
2007,Oct,65
2007,Nov,68
2007,Dec,55
2008,Jan,68
2008,Feb,58
2008,Mar,57
2008,Apr,57
2008,May,54
2008,Jun,55
2008,Jul,56
2008,Aug,56
2008,Sep,54
2008,Oct,60
2008,Nov,59
2008,Dec,49
2009,Jan,57
2009,Feb,52
2009,Mar,51
2009,Apr,50
2009,May,48
2009,Jun,52
2009,Jul,55
2009,Aug,58
2009,Sep,58
2009,Oct,59
2009,Nov,61
2009,Dec,50
2010,Jan,62
2010,Feb,55
2010,Mar,55
2010,Apr,52
2010,May,50
2010,Jun,55
2010,Jul,49
2010,Aug,51
2010,Sep,51
2010,Oct,51
2010,Nov,54
2010,Dec,43
2011,Jan,55
2011,Feb,53
2011,Mar,51
2011,Apr,50
2011,May,49
2011,Jun,53
2011,Jul,52
2011,Aug,52
2011,Sep,52
2011,Oct,58
2011,Nov,57
2011,Dec,44
2012,Jan,61
2012,Feb,52
2012,Mar,50
2012,Apr,49
2012,May,49
2012,Jun,50
2012,Jul,49
2012,Aug,53
2012,Sep,47
2012,Oct,59
2012,Nov,58
2012,Dec,44
2013,Jan,66
2013,Feb,52
2013,Mar,52
2013,Apr,56
2013,May,52
2013,Jun,52
2013,Jul,57
2013,Aug,56
2013,Sep,52
2013,Oct,72
2013,Nov,68
2013,Dec,59
2014,Jan,75
2014,Feb,64
2014,Mar,65
2014,Apr,62
2014,May,64
2014,Jun,62
2014,Jul,68
2014,Aug,61
2014,Sep,67
2014,Oct,76
2014,Nov,76
2014,Dec,71
2015,Jan,78
2015,Feb,70
2015,Mar,72
2015,Apr,66
2015,May,61
2015,Jun,79
2015,Jul,91
2015,Aug,75
2015,Sep,70
2015,Oct,79
2015,Nov,83
2015,Dec,73
2016,Jan,74
2016,Feb,67
2016,Mar,62
2016,Apr,56
2016,May,59
2016,Jun,61
2016,Jul,58
2016,Aug,64
2016,Sep,63
2016,Oct,68
2016,Nov,74
2016,Dec,65
2017,Jan,82
2017,Feb,74
2017,Mar,68
2017,Apr,62
2017,May,66
2017,Jun,67
2017,Jul,66
2017,Aug,72
2017,Sep,63
2017,Oct,77
2017,Nov,84
2017,Dec,69
2018,Jan,89
2018,Feb,78
2018,Mar,77
2018,Apr,69
2018,May,66
2018,Jun,70
2018,Jul,74
2018,Aug,75
2018,Sep,71
2018,Oct,86
2018,Nov,82
2018,Dec,72
2019,Jan,94
2019,Feb,83
2019,Mar,79
2019,Apr,77
2019,May,75
2019,Jun,72
2019,Jul,78
2019,Aug,80
2019,Sep,76
2019,Oct,89
2019,Nov,87
2019,Dec,76
2020,Jan,97
2020,Feb,84
2020,Mar,65
2020,Apr,50
2020,May,52
2020,Jun,69
2020,Jul,75
2020,Aug,71
2020,Sep,75
2020,Oct,84
2020,Nov,80
2020,Dec,77
2021,Jan,83
2021,Feb,82
2021,Mar,83
2021,Apr,77
2021,May,73
2021,Jun,78
2021,Jul,80
2021,Aug,81
2021,Sep,82
2021,Oct,85
2021,Nov,92
2021,Dec,89
2022,Jan,100
2022,Feb,94
2022,Mar,93
