CNAME:,TE CONNECTIVITY LTD
Google Trends Search Term:,te connectivity
Google Trends Suggestion:,consumer electronics company
Google Trends URL:,/m/03p3r1q
Year,Month,SVI Data
2004,Jan,63
2004,Feb,56
2004,Mar,42
2004,Apr,52
2004,May,58
2004,Jun,46
2004,Jul,56
2004,Aug,58
2004,Sep,57
2004,Oct,74
2004,Nov,49
2004,Dec,52
2005,Jan,54
2005,Feb,58
2005,Mar,58
2005,Apr,53
2005,May,56
2005,Jun,69
2005,Jul,58
2005,Aug,60
2005,Sep,63
2005,Oct,57
2005,Nov,69
2005,Dec,69
2006,Jan,59
2006,Feb,58
2006,Mar,68
2006,Apr,57
2006,May,66
2006,Jun,69
2006,Jul,58
2006,Aug,81
2006,Sep,66
2006,Oct,71
2006,Nov,66
2006,Dec,65
2007,Jan,69
2007,Feb,70
2007,Mar,65
2007,Apr,68
2007,May,68
2007,Jun,63
2007,Jul,72
2007,Aug,70
2007,Sep,71
2007,Oct,67
2007,Nov,69
2007,Dec,54
2008,Jan,69
2008,Feb,67
2008,Mar,69
2008,Apr,71
2008,May,74
2008,Jun,69
2008,Jul,68
2008,Aug,67
2008,Sep,59
2008,Oct,62
2008,Nov,59
2008,Dec,61
2009,Jan,71
2009,Feb,66
2009,Mar,74
2009,Apr,65
2009,May,62
2009,Jun,69
2009,Jul,72
2009,Aug,61
2009,Sep,69
2009,Oct,65
2009,Nov,64
2009,Dec,58
2010,Jan,61
2010,Feb,71
2010,Mar,72
2010,Apr,63
2010,May,69
2010,Jun,70
2010,Jul,73
2010,Aug,69
2010,Sep,71
2010,Oct,67
2010,Nov,61
2010,Dec,65
2011,Jan,64
2011,Feb,66
2011,Mar,74
2011,Apr,78
2011,May,76
2011,Jun,71
2011,Jul,82
2011,Aug,87
2011,Sep,86
2011,Oct,87
2011,Nov,91
2011,Dec,86
2012,Jan,100
2012,Feb,98
2012,Mar,98
2012,Apr,100
2012,May,98
2012,Jun,97
2012,Jul,99
2012,Aug,97
2012,Sep,88
2012,Oct,91
2012,Nov,88
2012,Dec,80
2013,Jan,83
2013,Feb,83
2013,Mar,82
2013,Apr,85
2013,May,76
2013,Jun,80
2013,Jul,80
2013,Aug,78
2013,Sep,75
2013,Oct,81
2013,Nov,79
2013,Dec,82
2014,Jan,82
2014,Feb,86
2014,Mar,83
2014,Apr,86
2014,May,87
2014,Jun,87
2014,Jul,86
2014,Aug,79
2014,Sep,77
2014,Oct,79
2014,Nov,74
2014,Dec,70
2015,Jan,74
2015,Feb,73
2015,Mar,78
2015,Apr,69
2015,May,69
2015,Jun,72
2015,Jul,72
2015,Aug,70
2015,Sep,68
2015,Oct,71
2015,Nov,65
2015,Dec,60
2016,Jan,66
2016,Feb,65
2016,Mar,64
2016,Apr,65
2016,May,64
2016,Jun,62
2016,Jul,63
2016,Aug,57
2016,Sep,63
2016,Oct,59
2016,Nov,59
2016,Dec,56
2017,Jan,60
2017,Feb,58
2017,Mar,60
2017,Apr,59
2017,May,57
2017,Jun,54
2017,Jul,55
2017,Aug,57
2017,Sep,55
2017,Oct,60
2017,Nov,57
2017,Dec,56
2018,Jan,63
2018,Feb,58
2018,Mar,58
2018,Apr,57
2018,May,59
2018,Jun,57
2018,Jul,55
2018,Aug,57
2018,Sep,59
2018,Oct,61
2018,Nov,55
2018,Dec,55
2019,Jan,61
2019,Feb,64
2019,Mar,61
2019,Apr,60
2019,May,61
2019,Jun,54
2019,Jul,55
2019,Aug,58
2019,Sep,55
2019,Oct,56
2019,Nov,54
2019,Dec,51
2020,Jan,53
2020,Feb,55
2020,Mar,53
2020,Apr,53
2020,May,52
2020,Jun,54
2020,Jul,53
2020,Aug,52
2020,Sep,52
2020,Oct,52
2020,Nov,50
2020,Dec,49
2021,Jan,50
2021,Feb,54
2021,Mar,53
2021,Apr,52
2021,May,50
2021,Jun,51
2021,Jul,50
2021,Aug,50
2021,Sep,47
2021,Oct,48
2021,Nov,52
2021,Dec,50
2022,Jan,55
2022,Feb,56
2022,Mar,54
