CNAME:,HUNTSMAN CORP NEW
Google Trends Search Term:,huntsman corporation
Google Trends Suggestion:,chemical industry company
Google Trends URL:,/m/04s01v
Year,Month,SVI Data
2004,Jan,17
2004,Feb,25
2004,Mar,17
2004,Apr,14
2004,May,20
2004,Jun,17
2004,Jul,16
2004,Aug,17
2004,Sep,15
2004,Oct,26
2004,Nov,16
2004,Dec,14
2005,Jan,22
2005,Feb,26
2005,Mar,17
2005,Apr,16
2005,May,21
2005,Jun,17
2005,Jul,23
2005,Aug,18
2005,Sep,18
2005,Oct,17
2005,Nov,12
2005,Dec,13
2006,Jan,18
2006,Feb,25
2006,Mar,14
2006,Apr,14
2006,May,21
2006,Jun,15
2006,Jul,17
2006,Aug,14
2006,Sep,17
2006,Oct,13
2006,Nov,13
2006,Dec,10
2007,Jan,18
2007,Feb,18
2007,Mar,16
2007,Apr,13
2007,May,14
2007,Jun,19
2007,Jul,27
2007,Aug,16
2007,Sep,12
2007,Oct,16
2007,Nov,12
2007,Dec,13
2008,Jan,12
2008,Feb,14
2008,Mar,14
2008,Apr,12
2008,May,15
2008,Jun,24
2008,Jul,19
2008,Aug,13
2008,Sep,18
2008,Oct,24
2008,Nov,17
2008,Dec,21
2009,Jan,17
2009,Feb,14
2009,Mar,14
2009,Apr,10
2009,May,19
2009,Jun,19
2009,Jul,11
2009,Aug,12
2009,Sep,10
2009,Oct,12
2009,Nov,10
2009,Dec,11
2010,Jan,13
2010,Feb,11
2010,Mar,11
2010,Apr,10
2010,May,12
2010,Jun,10
2010,Jul,7
2010,Aug,12
2010,Sep,12
2010,Oct,12
2010,Nov,10
2010,Dec,12
2011,Jan,11
2011,Feb,13
2011,Mar,12
2011,Apr,13
2011,May,24
2011,Jun,43
2011,Jul,18
2011,Aug,37
2011,Sep,41
2011,Oct,28
2011,Nov,36
2011,Dec,47
2012,Jan,100
2012,Feb,14
2012,Mar,16
2012,Apr,13
2012,May,13
2012,Jun,16
2012,Jul,9
2012,Aug,15
2012,Sep,13
2012,Oct,11
2012,Nov,12
2012,Dec,8
2013,Jan,10
2013,Feb,10
2013,Mar,8
2013,Apr,8
2013,May,8
2013,Jun,8
2013,Jul,7
2013,Aug,8
2013,Sep,10
2013,Oct,8
2013,Nov,9
2013,Dec,7
2014,Jan,7
2014,Feb,7
2014,Mar,7
2014,Apr,9
2014,May,8
2014,Jun,9
2014,Jul,9
2014,Aug,7
2014,Sep,8
2014,Oct,10
2014,Nov,8
2014,Dec,7
2015,Jan,9
2015,Feb,10
2015,Mar,8
2015,Apr,9
2015,May,8
2015,Jun,9
2015,Jul,9
2015,Aug,8
2015,Sep,10
2015,Oct,9
2015,Nov,12
2015,Dec,8
2016,Jan,9
2016,Feb,12
2016,Mar,12
2016,Apr,44
2016,May,31
2016,Jun,17
2016,Jul,13
2016,Aug,16
2016,Sep,17
2016,Oct,16
2016,Nov,14
2016,Dec,13
2017,Jan,10
2017,Feb,17
2017,Mar,12
2017,Apr,9
2017,May,13
2017,Jun,11
2017,Jul,11
2017,Aug,9
2017,Sep,9
2017,Oct,9
2017,Nov,7
2017,Dec,6
2018,Jan,8
2018,Feb,9
2018,Mar,8
2018,Apr,6
2018,May,7
2018,Jun,7
2018,Jul,9
2018,Aug,8
2018,Sep,10
2018,Oct,10
2018,Nov,7
2018,Dec,6
2019,Jan,8
2019,Feb,7
2019,Mar,7
2019,Apr,6
2019,May,6
2019,Jun,8
2019,Jul,6
2019,Aug,8
2019,Sep,8
2019,Oct,7
2019,Nov,9
2019,Dec,6
2020,Jan,8
2020,Feb,7
2020,Mar,5
2020,Apr,5
2020,May,6
2020,Jun,7
2020,Jul,7
2020,Aug,5
2020,Sep,6
2020,Oct,5
2020,Nov,4
2020,Dec,4
2021,Jan,5
2021,Feb,6
2021,Mar,6
2021,Apr,7
2021,May,5
2021,Jun,7
2021,Jul,5
2021,Aug,5
2021,Sep,5
2021,Oct,6
2021,Nov,5
2021,Dec,4
2022,Jan,5
2022,Feb,5
2022,Mar,7
