CNAME:,STATE STREET CORP
Google Trends Search Term:,state street corporation
Google Trends Suggestion:,financial services company
Google Trends URL:,/m/06nlq
Year,Month,SVI Data
2004,Jan,88
2004,Feb,100
2004,Mar,80
2004,Apr,77
2004,May,68
2004,Jun,74
2004,Jul,78
2004,Aug,84
2004,Sep,63
2004,Oct,78
2004,Nov,77
2004,Dec,86
2005,Jan,88
2005,Feb,84
2005,Mar,73
2005,Apr,67
2005,May,69
2005,Jun,70
2005,Jul,71
2005,Aug,79
2005,Sep,64
2005,Oct,59
2005,Nov,67
2005,Dec,67
2006,Jan,62
2006,Feb,61
2006,Mar,58
2006,Apr,57
2006,May,54
2006,Jun,73
2006,Jul,64
2006,Aug,63
2006,Sep,52
2006,Oct,64
2006,Nov,58
2006,Dec,55
2007,Jan,62
2007,Feb,75
2007,Mar,62
2007,Apr,59
2007,May,65
2007,Jun,59
2007,Jul,69
2007,Aug,80
2007,Sep,71
2007,Oct,78
2007,Nov,73
2007,Dec,64
2008,Jan,71
2008,Feb,67
2008,Mar,71
2008,Apr,73
2008,May,69
2008,Jun,73
2008,Jul,75
2008,Aug,66
2008,Sep,78
2008,Oct,74
2008,Nov,61
2008,Dec,70
2009,Jan,86
2009,Feb,66
2009,Mar,68
2009,Apr,59
2009,May,62
2009,Jun,65
2009,Jul,56
2009,Aug,63
2009,Sep,60
2009,Oct,69
2009,Nov,59
2009,Dec,48
2010,Jan,57
2010,Feb,59
2010,Mar,61
2010,Apr,60
2010,May,55
2010,Jun,58
2010,Jul,59
2010,Aug,49
2010,Sep,48
2010,Oct,53
2010,Nov,48
2010,Dec,53
2011,Jan,48
2011,Feb,53
2011,Mar,54
2011,Apr,55
2011,May,51
2011,Jun,57
2011,Jul,55
2011,Aug,50
2011,Sep,48
2011,Oct,52
2011,Nov,48
2011,Dec,42
2012,Jan,47
2012,Feb,44
2012,Mar,49
2012,Apr,51
2012,May,46
2012,Jun,47
2012,Jul,46
2012,Aug,46
2012,Sep,45
2012,Oct,49
2012,Nov,43
2012,Dec,37
2013,Jan,46
2013,Feb,42
2013,Mar,45
2013,Apr,45
2013,May,40
2013,Jun,45
2013,Jul,48
2013,Aug,46
2013,Sep,39
2013,Oct,47
2013,Nov,45
2013,Dec,39
2014,Jan,48
2014,Feb,45
2014,Mar,48
2014,Apr,51
2014,May,46
2014,Jun,49
2014,Jul,51
2014,Aug,41
2014,Sep,42
2014,Oct,46
2014,Nov,42
2014,Dec,45
2015,Jan,44
2015,Feb,42
2015,Mar,51
2015,Apr,51
2015,May,47
2015,Jun,54
2015,Jul,52
2015,Aug,48
2015,Sep,49
2015,Oct,50
2015,Nov,39
2015,Dec,48
2016,Jan,46
2016,Feb,48
2016,Mar,55
2016,Apr,53
2016,May,44
2016,Jun,48
2016,Jul,46
2016,Aug,45
2016,Sep,43
2016,Oct,44
2016,Nov,41
2016,Dec,41
2017,Jan,48
2017,Feb,43
2017,Mar,50
2017,Apr,45
2017,May,45
2017,Jun,47
2017,Jul,45
2017,Aug,44
2017,Sep,40
2017,Oct,45
2017,Nov,41
2017,Dec,37
2018,Jan,43
2018,Feb,43
2018,Mar,42
2018,Apr,42
2018,May,43
2018,Jun,47
2018,Jul,50
2018,Aug,45
2018,Sep,43
2018,Oct,49
2018,Nov,36
2018,Dec,41
2019,Jan,47
2019,Feb,43
2019,Mar,40
2019,Apr,42
2019,May,39
2019,Jun,43
2019,Jul,40
2019,Aug,37
2019,Sep,41
2019,Oct,41
2019,Nov,34
2019,Dec,34
2020,Jan,38
2020,Feb,41
2020,Mar,34
2020,Apr,29
2020,May,29
2020,Jun,33
2020,Jul,34
2020,Aug,31
2020,Sep,29
2020,Oct,27
2020,Nov,24
2020,Dec,28
2021,Jan,32
2021,Feb,30
2021,Mar,30
2021,Apr,34
2021,May,32
2021,Jun,32
2021,Jul,32
2021,Aug,33
2021,Sep,40
2021,Oct,33
2021,Nov,38
2021,Dec,31
2022,Jan,34
2022,Feb,33
2022,Mar,36
