CNAME:,SPRINKLR INC
Google Trends Search Term:,sprinklr
Google Trends Suggestion:,company
Google Trends URL:,/m/01270tg8
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,8
2004,Apr,6
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,4
2005,Apr,0
2005,May,0
2005,Jun,8
2005,Jul,12
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,3
2006,Jul,3
2006,Aug,0
2006,Sep,0
2006,Oct,2
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,2
2007,May,0
2007,Jun,2
2007,Jul,0
2007,Aug,2
2007,Sep,0
2007,Oct,0
2007,Nov,0
2007,Dec,0
2008,Jan,0
2008,Feb,3
2008,Mar,0
2008,Apr,0
2008,May,1
2008,Jun,3
2008,Jul,0
2008,Aug,0
2008,Sep,0
2008,Oct,1
2008,Nov,0
2008,Dec,1
2009,Jan,1
2009,Feb,0
2009,Mar,1
2009,Apr,1
2009,May,3
2009,Jun,0
2009,Jul,0
2009,Aug,1
2009,Sep,1
2009,Oct,2
2009,Nov,0
2009,Dec,0
2010,Jan,0
2010,Feb,1
2010,Mar,2
2010,Apr,0
2010,May,0
2010,Jun,2
2010,Jul,1
2010,Aug,0
2010,Sep,2
2010,Oct,2
2010,Nov,2
2010,Dec,4
2011,Jan,4
2011,Feb,3
2011,Mar,5
2011,Apr,2
2011,May,4
2011,Jun,3
2011,Jul,4
2011,Aug,3
2011,Sep,2
2011,Oct,2
2011,Nov,4
2011,Dec,3
2012,Jan,4
2012,Feb,8
2012,Mar,7
2012,Apr,7
2012,May,11
2012,Jun,7
2012,Jul,8
2012,Aug,10
2012,Sep,9
2012,Oct,10
2012,Nov,10
2012,Dec,6
2013,Jan,6
2013,Feb,8
2013,Mar,12
2013,Apr,13
2013,May,13
2013,Jun,12
2013,Jul,15
2013,Aug,15
2013,Sep,9
2013,Oct,11
2013,Nov,17
2013,Dec,16
2014,Jan,21
2014,Feb,25
2014,Mar,22
2014,Apr,29
2014,May,34
2014,Jun,34
2014,Jul,28
2014,Aug,34
2014,Sep,36
2014,Oct,35
2014,Nov,30
2014,Dec,28
2015,Jan,36
2015,Feb,50
2015,Mar,51
2015,Apr,84
2015,May,56
2015,Jun,68
2015,Jul,56
2015,Aug,53
2015,Sep,48
2015,Oct,52
2015,Nov,41
2015,Dec,51
2016,Jan,53
2016,Feb,49
2016,Mar,57
2016,Apr,57
2016,May,45
2016,Jun,58
2016,Jul,64
2016,Aug,61
2016,Sep,52
2016,Oct,59
2016,Nov,44
2016,Dec,38
2017,Jan,63
2017,Feb,61
2017,Mar,64
2017,Apr,60
2017,May,63
2017,Jun,61
2017,Jul,46
2017,Aug,50
2017,Sep,47
2017,Oct,53
2017,Nov,39
2017,Dec,35
2018,Jan,40
2018,Feb,40
2018,Mar,43
2018,Apr,41
2018,May,49
2018,Jun,42
2018,Jul,37
2018,Aug,42
2018,Sep,37
2018,Oct,42
2018,Nov,33
2018,Dec,31
2019,Jan,39
2019,Feb,37
2019,Mar,41
2019,Apr,44
2019,May,50
2019,Jun,42
2019,Jul,41
2019,Aug,41
2019,Sep,42
2019,Oct,44
2019,Nov,43
2019,Dec,38
2020,Jan,41
2020,Feb,49
2020,Mar,34
2020,Apr,42
2020,May,37
2020,Jun,34
2020,Jul,43
2020,Aug,35
2020,Sep,41
2020,Oct,28
2020,Nov,25
2020,Dec,24
2021,Jan,31
2021,Feb,35
2021,Mar,40
2021,Apr,36
2021,May,37
2021,Jun,100
2021,Jul,51
2021,Aug,41
2021,Sep,41
2021,Oct,39
2021,Nov,42
2021,Dec,36
2022,Jan,33
2022,Feb,34
2022,Mar,40
