CNAME:,LEVEL 3 COMMUNICATIONS INC
Google Trends Search Term:,level 3 communications
Google Trends Suggestion:,telecommunications company
Google Trends URL:,/m/061c4p
Year,Month,SVI Data
2004,Jan,53
2004,Feb,70
2004,Mar,55
2004,Apr,55
2004,May,46
2004,Jun,54
2004,Jul,54
2004,Aug,46
2004,Sep,61
2004,Oct,53
2004,Nov,37
2004,Dec,37
2005,Jan,55
2005,Feb,42
2005,Mar,56
2005,Apr,44
2005,May,34
2005,Jun,39
2005,Jul,48
2005,Aug,42
2005,Sep,39
2005,Oct,100
2005,Nov,52
2005,Dec,38
2006,Jan,38
2006,Feb,36
2006,Mar,43
2006,Apr,40
2006,May,47
2006,Jun,61
2006,Jul,42
2006,Aug,39
2006,Sep,56
2006,Oct,63
2006,Nov,32
2006,Dec,45
2007,Jan,47
2007,Feb,43
2007,Mar,40
2007,Apr,47
2007,May,36
2007,Jun,44
2007,Jul,41
2007,Aug,51
2007,Sep,42
2007,Oct,45
2007,Nov,37
2007,Dec,44
2008,Jan,40
2008,Feb,43
2008,Mar,44
2008,Apr,36
2008,May,40
2008,Jun,36
2008,Jul,38
2008,Aug,37
2008,Sep,33
2008,Oct,35
2008,Nov,34
2008,Dec,36
2009,Jan,30
2009,Feb,39
2009,Mar,43
2009,Apr,31
2009,May,28
2009,Jun,35
2009,Jul,31
2009,Aug,25
2009,Sep,24
2009,Oct,32
2009,Nov,20
2009,Dec,27
2010,Jan,26
2010,Feb,27
2010,Mar,27
2010,Apr,25
2010,May,22
2010,Jun,29
2010,Jul,27
2010,Aug,29
2010,Sep,28
2010,Oct,25
2010,Nov,35
2010,Dec,33
2011,Jan,30
2011,Feb,33
2011,Mar,26
2011,Apr,46
2011,May,30
2011,Jun,31
2011,Jul,31
2011,Aug,28
2011,Sep,31
2011,Oct,36
2011,Nov,30
2011,Dec,25
2012,Jan,27
2012,Feb,29
2012,Mar,27
2012,Apr,28
2012,May,30
2012,Jun,30
2012,Jul,31
2012,Aug,31
2012,Sep,32
2012,Oct,34
2012,Nov,36
2012,Dec,34
2013,Jan,35
2013,Feb,41
2013,Mar,32
2013,Apr,35
2013,May,33
2013,Jun,30
2013,Jul,33
2013,Aug,31
2013,Sep,26
2013,Oct,31
2013,Nov,34
2013,Dec,33
2014,Jan,43
2014,Feb,45
2014,Mar,43
2014,Apr,39
2014,May,45
2014,Jun,51
2014,Jul,44
2014,Aug,38
2014,Sep,36
2014,Oct,37
2014,Nov,37
2014,Dec,33
2015,Jan,38
2015,Feb,39
2015,Mar,37
2015,Apr,38
2015,May,39
2015,Jun,44
2015,Jul,41
2015,Aug,49
2015,Sep,39
2015,Oct,34
2015,Nov,39
2015,Dec,33
2016,Jan,32
2016,Feb,32
2016,Mar,30
2016,Apr,33
2016,May,33
2016,Jun,36
2016,Jul,34
2016,Aug,36
2016,Sep,29
2016,Oct,75
2016,Nov,46
2016,Dec,30
2017,Jan,31
2017,Feb,32
2017,Mar,33
2017,Apr,28
2017,May,28
2017,Jun,29
2017,Jul,25
2017,Aug,31
2017,Sep,29
2017,Oct,38
2017,Nov,39
2017,Dec,24
2018,Jan,26
2018,Feb,23
2018,Mar,24
2018,Apr,21
2018,May,21
2018,Jun,23
2018,Jul,19
2018,Aug,17
2018,Sep,17
2018,Oct,15
2018,Nov,14
2018,Dec,15
2019,Jan,17
2019,Feb,17
2019,Mar,15
2019,Apr,15
2019,May,12
2019,Jun,15
2019,Jul,15
2019,Aug,13
2019,Sep,12
2019,Oct,13
2019,Nov,11
2019,Dec,10
2020,Jan,11
2020,Feb,10
2020,Mar,12
2020,Apr,9
2020,May,8
2020,Jun,11
2020,Jul,10
2020,Aug,13
2020,Sep,12
2020,Oct,9
2020,Nov,8
2020,Dec,8
2021,Jan,7
2021,Feb,8
2021,Mar,8
2021,Apr,8
2021,May,7
2021,Jun,8
2021,Jul,7
2021,Aug,7
2021,Sep,6
2021,Oct,7
2021,Nov,8
2021,Dec,6
2022,Jan,6
2022,Feb,7
2022,Mar,7
