CNAME:,FRONTIER GROUP HOLDINGS INC
Google Trends Search Term:,frontier airlines
Google Trends Suggestion:,international airline
Google Trends URL:,/m/015q60
Year,Month,SVI Data
2004,Jan,48
2004,Feb,45
2004,Mar,44
2004,Apr,50
2004,May,52
2004,Jun,62
2004,Jul,58
2004,Aug,48
2004,Sep,48
2004,Oct,47
2004,Nov,44
2004,Dec,42
2005,Jan,49
2005,Feb,49
2005,Mar,52
2005,Apr,53
2005,May,58
2005,Jun,61
2005,Jul,59
2005,Aug,54
2005,Sep,47
2005,Oct,50
2005,Nov,46
2005,Dec,44
2006,Jan,57
2006,Feb,58
2006,Mar,61
2006,Apr,56
2006,May,58
2006,Jun,65
2006,Jul,62
2006,Aug,57
2006,Sep,52
2006,Oct,50
2006,Nov,48
2006,Dec,60
2007,Jan,57
2007,Feb,56
2007,Mar,58
2007,Apr,57
2007,May,61
2007,Jun,64
2007,Jul,63
2007,Aug,59
2007,Sep,53
2007,Oct,51
2007,Nov,43
2007,Dec,47
2008,Jan,55
2008,Feb,54
2008,Mar,54
2008,Apr,61
2008,May,55
2008,Jun,54
2008,Jul,50
2008,Aug,44
2008,Sep,37
2008,Oct,37
2008,Nov,34
2008,Dec,39
2009,Jan,39
2009,Feb,39
2009,Mar,39
2009,Apr,36
2009,May,34
2009,Jun,39
2009,Jul,48
2009,Aug,41
2009,Sep,34
2009,Oct,36
2009,Nov,32
2009,Dec,32
2010,Jan,34
2010,Feb,35
2010,Mar,40
2010,Apr,34
2010,May,38
2010,Jun,38
2010,Jul,36
2010,Aug,39
2010,Sep,37
2010,Oct,46
2010,Nov,42
2010,Dec,45
2011,Jan,64
2011,Feb,64
2011,Mar,62
2011,Apr,61
2011,May,65
2011,Jun,72
2011,Jul,77
2011,Aug,72
2011,Sep,65
2011,Oct,60
2011,Nov,61
2011,Dec,57
2012,Jan,68
2012,Feb,63
2012,Mar,57
2012,Apr,56
2012,May,56
2012,Jun,62
2012,Jul,55
2012,Aug,55
2012,Sep,48
2012,Oct,51
2012,Nov,50
2012,Dec,49
2013,Jan,57
2013,Feb,53
2013,Mar,52
2013,Apr,50
2013,May,53
2013,Jun,54
2013,Jul,53
2013,Aug,50
2013,Sep,46
2013,Oct,46
2013,Nov,46
2013,Dec,49
2014,Jan,56
2014,Feb,54
2014,Mar,52
2014,Apr,52
2014,May,71
2014,Jun,66
2014,Jul,67
2014,Aug,67
2014,Sep,74
2014,Oct,66
2014,Nov,63
2014,Dec,65
2015,Jan,74
2015,Feb,74
2015,Mar,75
2015,Apr,69
2015,May,73
2015,Jun,82
2015,Jul,83
2015,Aug,82
2015,Sep,100
2015,Oct,83
2015,Nov,76
2015,Dec,75
2016,Jan,86
2016,Feb,77
2016,Mar,76
2016,Apr,71
2016,May,75
2016,Jun,77
2016,Jul,77
2016,Aug,71
2016,Sep,67
2016,Oct,67
2016,Nov,66
2016,Dec,70
2017,Jan,77
2017,Feb,74
2017,Mar,76
2017,Apr,71
2017,May,77
2017,Jun,85
2017,Jul,94
2017,Aug,84
2017,Sep,75
2017,Oct,79
2017,Nov,79
2017,Dec,76
2018,Jan,94
2018,Feb,86
2018,Mar,84
2018,Apr,84
2018,May,80
2018,Jun,91
2018,Jul,91
2018,Aug,90
2018,Sep,79
2018,Oct,78
2018,Nov,78
2018,Dec,76
2019,Jan,94
2019,Feb,90
2019,Mar,87
2019,Apr,81
2019,May,88
2019,Jun,93
2019,Jul,93
2019,Aug,93
2019,Sep,84
2019,Oct,81
2019,Nov,88
2019,Dec,83
2020,Jan,90
2020,Feb,82
2020,Mar,65
2020,Apr,23
2020,May,32
2020,Jun,45
2020,Jul,36
2020,Aug,33
2020,Sep,35
2020,Oct,34
2020,Nov,30
2020,Dec,30
2021,Jan,33
2021,Feb,43
2021,Mar,56
2021,Apr,54
2021,May,53
2021,Jun,63
2021,Jul,68
2021,Aug,60
2021,Sep,50
2021,Oct,58
2021,Nov,58
2021,Dec,59
2022,Jan,61
2022,Feb,80
2022,Mar,80
