CNAME:,AETNA INC PA
Google Trends Search Term:,aetna
Google Trends Suggestion:,managed care company
Google Trends URL:,/m/0kg8x
Year,Month,SVI Data
2004,Jan,72
2004,Feb,64
2004,Mar,62
2004,Apr,60
2004,May,57
2004,Jun,70
2004,Jul,68
2004,Aug,70
2004,Sep,69
2004,Oct,71
2004,Nov,67
2004,Dec,61
2005,Jan,77
2005,Feb,78
2005,Mar,75
2005,Apr,64
2005,May,72
2005,Jun,78
2005,Jul,77
2005,Aug,75
2005,Sep,73
2005,Oct,81
2005,Nov,91
2005,Dec,75
2006,Jan,100
2006,Feb,83
2006,Mar,86
2006,Apr,79
2006,May,85
2006,Jun,87
2006,Jul,86
2006,Aug,84
2006,Sep,80
2006,Oct,93
2006,Nov,88
2006,Dec,75
2007,Jan,95
2007,Feb,84
2007,Mar,88
2007,Apr,82
2007,May,87
2007,Jun,84
2007,Jul,84
2007,Aug,90
2007,Sep,83
2007,Oct,91
2007,Nov,86
2007,Dec,74
2008,Jan,90
2008,Feb,84
2008,Mar,82
2008,Apr,80
2008,May,78
2008,Jun,82
2008,Jul,84
2008,Aug,81
2008,Sep,78
2008,Oct,84
2008,Nov,81
2008,Dec,80
2009,Jan,91
2009,Feb,87
2009,Mar,82
2009,Apr,76
2009,May,74
2009,Jun,79
2009,Jul,83
2009,Aug,81
2009,Sep,84
2009,Oct,89
2009,Nov,92
2009,Dec,75
2010,Jan,89
2010,Feb,75
2010,Mar,82
2010,Apr,71
2010,May,66
2010,Jun,73
2010,Jul,64
2010,Aug,67
2010,Sep,66
2010,Oct,71
2010,Nov,73
2010,Dec,64
2011,Jan,96
2011,Feb,93
2011,Mar,88
2011,Apr,77
2011,May,72
2011,Jun,77
2011,Jul,74
2011,Aug,82
2011,Sep,79
2011,Oct,83
2011,Nov,84
2011,Dec,72
2012,Jan,90
2012,Feb,77
2012,Mar,76
2012,Apr,75
2012,May,70
2012,Jun,77
2012,Jul,73
2012,Aug,82
2012,Sep,75
2012,Oct,82
2012,Nov,78
2012,Dec,69
2013,Jan,94
2013,Feb,80
2013,Mar,78
2013,Apr,77
2013,May,74
2013,Jun,71
2013,Jul,76
2013,Aug,75
2013,Sep,76
2013,Oct,92
2013,Nov,83
2013,Dec,75
2014,Jan,98
2014,Feb,85
2014,Mar,86
2014,Apr,79
2014,May,75
2014,Jun,77
2014,Jul,81
2014,Aug,78
2014,Sep,82
2014,Oct,90
2014,Nov,91
2014,Dec,84
2015,Jan,96
2015,Feb,85
2015,Mar,84
2015,Apr,81
2015,May,76
2015,Jun,92
2015,Jul,94
2015,Aug,84
2015,Sep,85
2015,Oct,92
2015,Nov,95
2015,Dec,84
2016,Jan,81
2016,Feb,75
2016,Mar,70
2016,Apr,64
2016,May,64
2016,Jun,70
2016,Jul,69
2016,Aug,86
2016,Sep,67
2016,Oct,76
2016,Nov,76
2016,Dec,69
2017,Jan,91
2017,Feb,74
2017,Mar,76
2017,Apr,68
2017,May,76
2017,Jun,72
2017,Jul,74
2017,Aug,82
2017,Sep,71
2017,Oct,90
2017,Nov,88
2017,Dec,89
2018,Jan,95
2018,Feb,80
2018,Mar,72
2018,Apr,74
2018,May,70
2018,Jun,73
2018,Jul,76
2018,Aug,75
2018,Sep,75
2018,Oct,92
2018,Nov,86
2018,Dec,73
2019,Jan,96
2019,Feb,83
2019,Mar,77
2019,Apr,77
2019,May,76
2019,Jun,77
2019,Jul,82
2019,Aug,78
2019,Sep,77
2019,Oct,89
2019,Nov,86
2019,Dec,70
2020,Jan,91
2020,Feb,81
2020,Mar,64
2020,Apr,48
2020,May,50
2020,Jun,64
2020,Jul,67
2020,Aug,62
2020,Sep,64
2020,Oct,73
2020,Nov,70
2020,Dec,68
2021,Jan,73
2021,Feb,67
2021,Mar,68
2021,Apr,66
2021,May,62
2021,Jun,65
2021,Jul,65
2021,Aug,68
2021,Sep,69
2021,Oct,77
2021,Nov,82
2021,Dec,77
2022,Jan,89
2022,Feb,81
2022,Mar,83
