CNAME:,CUBIC CORP
Google Trends Search Term:,cubic corporation
Google Trends Suggestion:,public transport company
Google Trends URL:,/m/04n4v9d
Year,Month,SVI Data
2004,Jan,89
2004,Feb,43
2004,Mar,28
2004,Apr,100
2004,May,72
2004,Jun,93
2004,Jul,66
2004,Aug,41
2004,Sep,48
2004,Oct,58
2004,Nov,41
2004,Dec,41
2005,Jan,43
2005,Feb,68
2005,Mar,19
2005,Apr,59
2005,May,43
2005,Jun,37
2005,Jul,47
2005,Aug,53
2005,Sep,32
2005,Oct,41
2005,Nov,39
2005,Dec,24
2006,Jan,40
2006,Feb,58
2006,Mar,52
2006,Apr,36
2006,May,45
2006,Jun,41
2006,Jul,40
2006,Aug,48
2006,Sep,67
2006,Oct,28
2006,Nov,20
2006,Dec,28
2007,Jan,39
2007,Feb,50
2007,Mar,31
2007,Apr,34
2007,May,33
2007,Jun,37
2007,Jul,32
2007,Aug,23
2007,Sep,37
2007,Oct,46
2007,Nov,26
2007,Dec,23
2008,Jan,42
2008,Feb,38
2008,Mar,32
2008,Apr,26
2008,May,27
2008,Jun,28
2008,Jul,35
2008,Aug,32
2008,Sep,44
2008,Oct,37
2008,Nov,30
2008,Dec,24
2009,Jan,35
2009,Feb,36
2009,Mar,36
2009,Apr,26
2009,May,33
2009,Jun,34
2009,Jul,40
2009,Aug,38
2009,Sep,36
2009,Oct,33
2009,Nov,36
2009,Dec,29
2010,Jan,39
2010,Feb,45
2010,Mar,37
2010,Apr,36
2010,May,27
2010,Jun,33
2010,Jul,40
2010,Aug,39
2010,Sep,40
2010,Oct,45
2010,Nov,42
2010,Dec,42
2011,Jan,47
2011,Feb,53
2011,Mar,42
2011,Apr,44
2011,May,46
2011,Jun,46
2011,Jul,41
2011,Aug,43
2011,Sep,33
2011,Oct,42
2011,Nov,35
2011,Dec,32
2012,Jan,34
2012,Feb,29
2012,Mar,28
2012,Apr,28
2012,May,34
2012,Jun,30
2012,Jul,27
2012,Aug,32
2012,Sep,27
2012,Oct,30
2012,Nov,21
2012,Dec,23
2013,Jan,34
2013,Feb,30
2013,Mar,23
2013,Apr,23
2013,May,23
2013,Jun,23
2013,Jul,24
2013,Aug,20
2013,Sep,23
2013,Oct,31
2013,Nov,23
2013,Dec,22
2014,Jan,25
2014,Feb,28
2014,Mar,29
2014,Apr,26
2014,May,30
2014,Jun,29
2014,Jul,27
2014,Aug,30
2014,Sep,29
2014,Oct,27
2014,Nov,25
2014,Dec,27
2015,Jan,26
2015,Feb,27
2015,Mar,26
2015,Apr,28
2015,May,34
2015,Jun,24
2015,Jul,24
2015,Aug,28
2015,Sep,38
2015,Oct,32
2015,Nov,30
2015,Dec,34
2016,Jan,27
2016,Feb,29
2016,Mar,23
2016,Apr,21
2016,May,28
2016,Jun,22
2016,Jul,20
2016,Aug,25
2016,Sep,23
2016,Oct,24
2016,Nov,20
2016,Dec,20
2017,Jan,21
2017,Feb,22
2017,Mar,23
2017,Apr,20
2017,May,25
2017,Jun,19
2017,Jul,16
2017,Aug,21
2017,Sep,22
2017,Oct,23
2017,Nov,25
2017,Dec,19
2018,Jan,27
2018,Feb,26
2018,Mar,31
2018,Apr,37
2018,May,25
2018,Jun,20
2018,Jul,21
2018,Aug,21
2018,Sep,22
2018,Oct,23
2018,Nov,22
2018,Dec,16
2019,Jan,22
2019,Feb,26
2019,Mar,24
2019,Apr,24
2019,May,24
2019,Jun,22
2019,Jul,17
2019,Aug,20
2019,Sep,20
2019,Oct,20
2019,Nov,20
2019,Dec,17
2020,Jan,20
2020,Feb,20
2020,Mar,20
2020,Apr,25
2020,May,20
2020,Jun,21
2020,Jul,20
2020,Aug,20
2020,Sep,32
2020,Oct,21
2020,Nov,18
2020,Dec,13
2021,Jan,19
2021,Feb,28
2021,Mar,22
2021,Apr,20
2021,May,18
2021,Jun,19
2021,Jul,17
2021,Aug,15
2021,Sep,14
2021,Oct,15
2021,Nov,14
2021,Dec,12
2022,Jan,18
2022,Feb,13
2022,Mar,15
