CNAME:,LIVEPERSON INC
Google Trends Search Term:,liveperson
Google Trends Suggestion:,company
Google Trends URL:,/m/03p2kjq
Year,Month,SVI Data
2004,Jan,81
2004,Feb,18
2004,Mar,39
2004,Apr,65
2004,May,49
2004,Jun,44
2004,Jul,86
2004,Aug,51
2004,Sep,34
2004,Oct,30
2004,Nov,41
2004,Dec,32
2005,Jan,32
2005,Feb,34
2005,Mar,47
2005,Apr,21
2005,May,45
2005,Jun,34
2005,Jul,64
2005,Aug,53
2005,Sep,65
2005,Oct,24
2005,Nov,38
2005,Dec,36
2006,Jan,64
2006,Feb,33
2006,Mar,44
2006,Apr,59
2006,May,51
2006,Jun,31
2006,Jul,37
2006,Aug,45
2006,Sep,48
2006,Oct,36
2006,Nov,33
2006,Dec,42
2007,Jan,64
2007,Feb,37
2007,Mar,38
2007,Apr,44
2007,May,34
2007,Jun,46
2007,Jul,29
2007,Aug,34
2007,Sep,23
2007,Oct,28
2007,Nov,43
2007,Dec,46
2008,Jan,44
2008,Feb,42
2008,Mar,22
2008,Apr,47
2008,May,42
2008,Jun,49
2008,Jul,67
2008,Aug,68
2008,Sep,75
2008,Oct,77
2008,Nov,84
2008,Dec,79
2009,Jan,74
2009,Feb,92
2009,Mar,95
2009,Apr,96
2009,May,87
2009,Jun,66
2009,Jul,86
2009,Aug,75
2009,Sep,69
2009,Oct,70
2009,Nov,65
2009,Dec,65
2010,Jan,64
2010,Feb,81
2010,Mar,86
2010,Apr,72
2010,May,83
2010,Jun,75
2010,Jul,83
2010,Aug,95
2010,Sep,82
2010,Oct,85
2010,Nov,77
2010,Dec,67
2011,Jan,66
2011,Feb,79
2011,Mar,89
2011,Apr,92
2011,May,83
2011,Jun,77
2011,Jul,67
2011,Aug,75
2011,Sep,80
2011,Oct,78
2011,Nov,88
2011,Dec,72
2012,Jan,81
2012,Feb,89
2012,Mar,92
2012,Apr,86
2012,May,86
2012,Jun,93
2012,Jul,77
2012,Aug,82
2012,Sep,83
2012,Oct,100
2012,Nov,80
2012,Dec,65
2013,Jan,80
2013,Feb,96
2013,Mar,79
2013,Apr,90
2013,May,69
2013,Jun,86
2013,Jul,75
2013,Aug,79
2013,Sep,78
2013,Oct,88
2013,Nov,94
2013,Dec,71
2014,Jan,70
2014,Feb,74
2014,Mar,63
2014,Apr,84
2014,May,66
2014,Jun,60
2014,Jul,64
2014,Aug,49
2014,Sep,60
2014,Oct,79
2014,Nov,74
2014,Dec,56
2015,Jan,50
2015,Feb,64
2015,Mar,73
2015,Apr,70
2015,May,50
2015,Jun,45
2015,Jul,49
2015,Aug,31
2015,Sep,52
2015,Oct,62
2015,Nov,51
2015,Dec,38
2016,Jan,29
2016,Feb,38
2016,Mar,38
2016,Apr,37
2016,May,32
2016,Jun,30
2016,Jul,21
2016,Aug,22
2016,Sep,26
2016,Oct,31
2016,Nov,22
2016,Dec,20
2017,Jan,17
2017,Feb,26
2017,Mar,26
2017,Apr,27
2017,May,23
2017,Jun,21
2017,Jul,21
2017,Aug,24
2017,Sep,21
2017,Oct,25
2017,Nov,35
2017,Dec,26
2018,Jan,23
2018,Feb,24
2018,Mar,26
2018,Apr,23
2018,May,21
2018,Jun,26
2018,Jul,20
2018,Aug,26
2018,Sep,21
2018,Oct,24
2018,Nov,24
2018,Dec,16
2019,Jan,24
2019,Feb,30
2019,Mar,25
2019,Apr,25
2019,May,29
2019,Jun,26
2019,Jul,22
2019,Aug,34
2019,Sep,29
2019,Oct,23
2019,Nov,28
2019,Dec,19
2020,Jan,20
2020,Feb,30
2020,Mar,31
2020,Apr,22
2020,May,43
2020,Jun,25
2020,Jul,23
2020,Aug,35
2020,Sep,20
2020,Oct,19
2020,Nov,18
2020,Dec,21
2021,Jan,16
2021,Feb,18
2021,Mar,15
2021,Apr,17
2021,May,19
2021,Jun,17
2021,Jul,17
2021,Aug,19
2021,Sep,14
2021,Oct,21
2021,Nov,19
2021,Dec,15
2022,Jan,14
2022,Feb,19
2022,Mar,19
