CNAME:,LUCENT TECHNOLOGIES INC
Google Trends Search Term:,lucent
Google Trends Suggestion:,telecommunications equipment company
Google Trends URL:,/m/04m53
Year,Month,SVI Data
2004,Jan,100
2004,Feb,82
2004,Mar,67
2004,Apr,79
2004,May,58
2004,Jun,68
2004,Jul,61
2004,Aug,58
2004,Sep,67
2004,Oct,76
2004,Nov,69
2004,Dec,57
2005,Jan,59
2005,Feb,60
2005,Mar,62
2005,Apr,58
2005,May,59
2005,Jun,46
2005,Jul,53
2005,Aug,53
2005,Sep,48
2005,Oct,50
2005,Nov,46
2005,Dec,43
2006,Jan,40
2006,Feb,41
2006,Mar,45
2006,Apr,52
2006,May,40
2006,Jun,39
2006,Jul,44
2006,Aug,38
2006,Sep,35
2006,Oct,38
2006,Nov,33
2006,Dec,62
2007,Jan,44
2007,Feb,37
2007,Mar,38
2007,Apr,36
2007,May,29
2007,Jun,31
2007,Jul,29
2007,Aug,23
2007,Sep,26
2007,Oct,25
2007,Nov,28
2007,Dec,24
2008,Jan,20
2008,Feb,27
2008,Mar,33
2008,Apr,21
2008,May,16
2008,Jun,18
2008,Jul,18
2008,Aug,22
2008,Sep,20
2008,Oct,17
2008,Nov,14
2008,Dec,14
2009,Jan,18
2009,Feb,17
2009,Mar,18
2009,Apr,16
2009,May,15
2009,Jun,12
2009,Jul,18
2009,Aug,15
2009,Sep,13
2009,Oct,14
2009,Nov,17
2009,Dec,13
2010,Jan,14
2010,Feb,11
2010,Mar,18
2010,Apr,11
2010,May,10
2010,Jun,12
2010,Jul,11
2010,Aug,9
2010,Sep,10
2010,Oct,9
2010,Nov,7
2010,Dec,7
2011,Jan,9
2011,Feb,10
2011,Mar,11
2011,Apr,11
2011,May,8
2011,Jun,11
2011,Jul,7
2011,Aug,9
2011,Sep,8
2011,Oct,7
2011,Nov,7
2011,Dec,6
2012,Jan,9
2012,Feb,7
2012,Mar,7
2012,Apr,6
2012,May,9
2012,Jun,9
2012,Jul,6
2012,Aug,8
2012,Sep,6
2012,Oct,7
2012,Nov,7
2012,Dec,7
2013,Jan,7
2013,Feb,7
2013,Mar,7
2013,Apr,8
2013,May,5
2013,Jun,6
2013,Jul,6
2013,Aug,5
2013,Sep,7
2013,Oct,7
2013,Nov,6
2013,Dec,5
2014,Jan,5
2014,Feb,5
2014,Mar,6
2014,Apr,5
2014,May,5
2014,Jun,5
2014,Jul,4
2014,Aug,4
2014,Sep,5
2014,Oct,5
2014,Nov,4
2014,Dec,5
2015,Jan,4
2015,Feb,5
2015,Mar,5
2015,Apr,8
2015,May,5
2015,Jun,4
2015,Jul,6
2015,Aug,6
2015,Sep,8
2015,Oct,6
2015,Nov,4
2015,Dec,5
2016,Jan,3
2016,Feb,4
2016,Mar,4
2016,Apr,5
2016,May,3
2016,Jun,3
2016,Jul,3
2016,Aug,3
2016,Sep,3
2016,Oct,4
2016,Nov,3
2016,Dec,3
2017,Jan,4
2017,Feb,3
2017,Mar,4
2017,Apr,6
2017,May,3
2017,Jun,3
2017,Jul,4
2017,Aug,3
2017,Sep,3
2017,Oct,3
2017,Nov,2
2017,Dec,2
2018,Jan,4
2018,Feb,3
2018,Mar,3
2018,Apr,2
2018,May,3
2018,Jun,3
2018,Jul,4
2018,Aug,3
2018,Sep,2
2018,Oct,3
2018,Nov,3
2018,Dec,3
2019,Jan,3
2019,Feb,3
2019,Mar,3
2019,Apr,3
2019,May,2
2019,Jun,3
2019,Jul,2
2019,Aug,2
2019,Sep,2
2019,Oct,2
2019,Nov,3
2019,Dec,2
2020,Jan,2
2020,Feb,3
2020,Mar,2
2020,Apr,3
2020,May,2
2020,Jun,3
2020,Jul,2
2020,Aug,2
2020,Sep,3
2020,Oct,2
2020,Nov,2
2020,Dec,2
2021,Jan,2
2021,Feb,3
2021,Mar,3
2021,Apr,2
2021,May,2
2021,Jun,2
2021,Jul,2
2021,Aug,1
2021,Sep,2
2021,Oct,1
2021,Nov,3
2021,Dec,2
2022,Jan,2
2022,Feb,2
2022,Mar,2
