CNAME:,COLGATE-PALMOLIVE CO
Google Trends Search Term:,colgate-palmolive
Google Trends Suggestion:,production company
Google Trends URL:,/m/01j6k_
Year,Month,SVI Data
2004,Jan,53
2004,Feb,65
2004,Mar,65
2004,Apr,63
2004,May,57
2004,Jun,57
2004,Jul,58
2004,Aug,55
2004,Sep,54
2004,Oct,66
2004,Nov,50
2004,Dec,55
2005,Jan,54
2005,Feb,63
2005,Mar,57
2005,Apr,56
2005,May,54
2005,Jun,54
2005,Jul,61
2005,Aug,47
2005,Sep,48
2005,Oct,55
2005,Nov,55
2005,Dec,46
2006,Jan,55
2006,Feb,64
2006,Mar,60
2006,Apr,56
2006,May,47
2006,Jun,48
2006,Jul,49
2006,Aug,58
2006,Sep,57
2006,Oct,55
2006,Nov,50
2006,Dec,46
2007,Jan,47
2007,Feb,52
2007,Mar,54
2007,Apr,54
2007,May,49
2007,Jun,100
2007,Jul,75
2007,Aug,55
2007,Sep,54
2007,Oct,57
2007,Nov,50
2007,Dec,46
2008,Jan,53
2008,Feb,57
2008,Mar,52
2008,Apr,56
2008,May,46
2008,Jun,43
2008,Jul,43
2008,Aug,46
2008,Sep,45
2008,Oct,54
2008,Nov,49
2008,Dec,42
2009,Jan,43
2009,Feb,56
2009,Mar,52
2009,Apr,46
2009,May,45
2009,Jun,41
2009,Jul,41
2009,Aug,42
2009,Sep,48
2009,Oct,49
2009,Nov,46
2009,Dec,38
2010,Jan,45
2010,Feb,46
2010,Mar,44
2010,Apr,43
2010,May,44
2010,Jun,39
2010,Jul,37
2010,Aug,36
2010,Sep,41
2010,Oct,42
2010,Nov,39
2010,Dec,30
2011,Jan,42
2011,Feb,43
2011,Mar,41
2011,Apr,52
2011,May,51
2011,Jun,43
2011,Jul,38
2011,Aug,38
2011,Sep,46
2011,Oct,45
2011,Nov,39
2011,Dec,31
2012,Jan,39
2012,Feb,42
2012,Mar,38
2012,Apr,40
2012,May,33
2012,Jun,31
2012,Jul,29
2012,Aug,34
2012,Sep,37
2012,Oct,40
2012,Nov,36
2012,Dec,31
2013,Jan,38
2013,Feb,39
2013,Mar,39
2013,Apr,38
2013,May,33
2013,Jun,31
2013,Jul,31
2013,Aug,34
2013,Sep,38
2013,Oct,38
2013,Nov,36
2013,Dec,31
2014,Jan,36
2014,Feb,40
2014,Mar,40
2014,Apr,41
2014,May,33
2014,Jun,30
2014,Jul,30
2014,Aug,56
2014,Sep,49
2014,Oct,38
2014,Nov,37
2014,Dec,32
2015,Jan,38
2015,Feb,38
2015,Mar,38
2015,Apr,39
2015,May,32
2015,Jun,31
2015,Jul,31
2015,Aug,33
2015,Sep,40
2015,Oct,36
2015,Nov,36
2015,Dec,30
2016,Jan,33
2016,Feb,37
2016,Mar,37
2016,Apr,38
2016,May,33
2016,Jun,31
2016,Jul,30
2016,Aug,33
2016,Sep,36
2016,Oct,34
2016,Nov,33
2016,Dec,30
2017,Jan,32
2017,Feb,34
2017,Mar,37
2017,Apr,35
2017,May,38
2017,Jun,29
2017,Jul,31
2017,Aug,31
2017,Sep,31
2017,Oct,35
2017,Nov,36
2017,Dec,29
2018,Jan,34
2018,Feb,36
2018,Mar,35
2018,Apr,36
2018,May,28
2018,Jun,28
2018,Jul,29
2018,Aug,32
2018,Sep,35
2018,Oct,34
2018,Nov,32
2018,Dec,32
2019,Jan,35
2019,Feb,39
2019,Mar,48
2019,Apr,34
2019,May,31
2019,Jun,29
2019,Jul,29
2019,Aug,30
2019,Sep,31
2019,Oct,32
2019,Nov,31
2019,Dec,28
2020,Jan,33
2020,Feb,35
2020,Mar,31
2020,Apr,31
2020,May,29
2020,Jun,30
2020,Jul,31
2020,Aug,30
2020,Sep,28
2020,Oct,28
2020,Nov,25
2020,Dec,26
2021,Jan,27
2021,Feb,31
2021,Mar,38
2021,Apr,29
2021,May,25
2021,Jun,26
2021,Jul,26
2021,Aug,28
2021,Sep,28
2021,Oct,28
2021,Nov,30
2021,Dec,27
2022,Jan,28
2022,Feb,27
2022,Mar,40
