CNAME:,CHENIERE ENERGY INC
Google Trends Search Term:,cheniere energy
Google Trends Suggestion:,natural gas company
Google Trends URL:,/m/03p1shz
Year,Month,SVI Data
2004,Jan,25
2004,Feb,49
2004,Mar,10
2004,Apr,16
2004,May,29
2004,Jun,15
2004,Jul,30
2004,Aug,14
2004,Sep,46
2004,Oct,13
2004,Nov,55
2004,Dec,74
2005,Jan,38
2005,Feb,11
2005,Mar,58
2005,Apr,33
2005,May,49
2005,Jun,20
2005,Jul,30
2005,Aug,38
2005,Sep,48
2005,Oct,41
2005,Nov,29
2005,Dec,36
2006,Jan,28
2006,Feb,36
2006,Mar,29
2006,Apr,34
2006,May,29
2006,Jun,54
2006,Jul,40
2006,Aug,33
2006,Sep,24
2006,Oct,39
2006,Nov,36
2006,Dec,19
2007,Jan,27
2007,Feb,39
2007,Mar,54
2007,Apr,38
2007,May,26
2007,Jun,32
2007,Jul,15
2007,Aug,17
2007,Sep,29
2007,Oct,24
2007,Nov,17
2007,Dec,15
2008,Jan,29
2008,Feb,28
2008,Mar,38
2008,Apr,60
2008,May,39
2008,Jun,36
2008,Jul,29
2008,Aug,34
2008,Sep,17
2008,Oct,38
2008,Nov,22
2008,Dec,17
2009,Jan,21
2009,Feb,23
2009,Mar,24
2009,Apr,14
2009,May,13
2009,Jun,22
2009,Jul,19
2009,Aug,24
2009,Sep,15
2009,Oct,9
2009,Nov,13
2009,Dec,10
2010,Jan,24
2010,Feb,23
2010,Mar,7
2010,Apr,23
2010,May,11
2010,Jun,10
2010,Jul,13
2010,Aug,13
2010,Sep,26
2010,Oct,19
2010,Nov,25
2010,Dec,18
2011,Jan,22
2011,Feb,22
2011,Mar,38
2011,Apr,23
2011,May,24
2011,Jun,46
2011,Jul,26
2011,Aug,32
2011,Sep,24
2011,Oct,31
2011,Nov,36
2011,Dec,32
2012,Jan,39
2012,Feb,48
2012,Mar,50
2012,Apr,66
2012,May,42
2012,Jun,32
2012,Jul,37
2012,Aug,30
2012,Sep,43
2012,Oct,42
2012,Nov,45
2012,Dec,43
2013,Jan,61
2013,Feb,40
2013,Mar,51
2013,Apr,56
2013,May,46
2013,Jun,47
2013,Jul,41
2013,Aug,41
2013,Sep,39
2013,Oct,51
2013,Nov,51
2013,Dec,50
2014,Jan,63
2014,Feb,52
2014,Mar,60
2014,Apr,61
2014,May,60
2014,Jun,67
2014,Jul,61
2014,Aug,48
2014,Sep,58
2014,Oct,64
2014,Nov,49
2014,Dec,57
2015,Jan,59
2015,Feb,62
2015,Mar,60
2015,Apr,55
2015,May,54
2015,Jun,58
2015,Jul,60
2015,Aug,73
2015,Sep,99
2015,Oct,83
2015,Nov,65
2015,Dec,85
2016,Jan,69
2016,Feb,100
2016,Mar,76
2016,Apr,54
2016,May,63
2016,Jun,49
2016,Jul,39
2016,Aug,56
2016,Sep,50
2016,Oct,48
2016,Nov,43
2016,Dec,43
2017,Jan,41
2017,Feb,58
2017,Mar,55
2017,Apr,45
2017,May,46
2017,Jun,56
2017,Jul,47
2017,Aug,58
2017,Sep,45
2017,Oct,53
2017,Nov,48
2017,Dec,35
2018,Jan,49
2018,Feb,53
2018,Mar,50
2018,Apr,54
2018,May,57
2018,Jun,48
2018,Jul,46
2018,Aug,55
2018,Sep,48
2018,Oct,36
2018,Nov,50
2018,Dec,34
2019,Jan,38
2019,Feb,48
2019,Mar,67
2019,Apr,43
2019,May,44
2019,Jun,50
2019,Jul,49
2019,Aug,46
2019,Sep,51
2019,Oct,43
2019,Nov,34
2019,Dec,30
2020,Jan,41
2020,Feb,47
2020,Mar,39
2020,Apr,44
2020,May,30
2020,Jun,37
2020,Jul,33
2020,Aug,39
2020,Sep,31
2020,Oct,28
2020,Nov,24
2020,Dec,25
2021,Jan,24
2021,Feb,33
2021,Mar,33
2021,Apr,27
2021,May,36
2021,Jun,33
2021,Jul,31
2021,Aug,28
2021,Sep,38
2021,Oct,49
2021,Nov,34
2021,Dec,23
2022,Jan,33
2022,Feb,43
2022,Mar,71
