CNAME:,AIR PRODUCTS & CHEMICALS INC
Google Trends Search Term:,air products and chemicals
Google Trends Suggestion:,chemical industry company
Google Trends URL:,/m/0681b8
Year,Month,SVI Data
2004,Jan,86
2004,Feb,72
2004,Mar,84
2004,Apr,75
2004,May,83
2004,Jun,100
2004,Jul,51
2004,Aug,87
2004,Sep,84
2004,Oct,97
2004,Nov,76
2004,Dec,48
2005,Jan,74
2005,Feb,80
2005,Mar,85
2005,Apr,79
2005,May,70
2005,Jun,71
2005,Jul,70
2005,Aug,67
2005,Sep,88
2005,Oct,47
2005,Nov,70
2005,Dec,55
2006,Jan,68
2006,Feb,62
2006,Mar,78
2006,Apr,65
2006,May,57
2006,Jun,60
2006,Jul,65
2006,Aug,79
2006,Sep,61
2006,Oct,63
2006,Nov,57
2006,Dec,59
2007,Jan,63
2007,Feb,68
2007,Mar,60
2007,Apr,57
2007,May,59
2007,Jun,53
2007,Jul,60
2007,Aug,68
2007,Sep,53
2007,Oct,58
2007,Nov,59
2007,Dec,47
2008,Jan,61
2008,Feb,51
2008,Mar,64
2008,Apr,61
2008,May,56
2008,Jun,65
2008,Jul,57
2008,Aug,55
2008,Sep,58
2008,Oct,67
2008,Nov,45
2008,Dec,50
2009,Jan,57
2009,Feb,51
2009,Mar,49
2009,Apr,50
2009,May,42
2009,Jun,44
2009,Jul,53
2009,Aug,44
2009,Sep,44
2009,Oct,37
2009,Nov,39
2009,Dec,36
2010,Jan,44
2010,Feb,79
2010,Mar,47
2010,Apr,49
2010,May,44
2010,Jun,48
2010,Jul,40
2010,Aug,39
2010,Sep,53
2010,Oct,44
2010,Nov,46
2010,Dec,39
2011,Jan,43
2011,Feb,53
2011,Mar,42
2011,Apr,40
2011,May,39
2011,Jun,38
2011,Jul,45
2011,Aug,36
2011,Sep,36
2011,Oct,35
2011,Nov,35
2011,Dec,30
2012,Jan,35
2012,Feb,36
2012,Mar,31
2012,Apr,34
2012,May,34
2012,Jun,32
2012,Jul,35
2012,Aug,30
2012,Sep,30
2012,Oct,34
2012,Nov,33
2012,Dec,24
2013,Jan,30
2013,Feb,28
2013,Mar,31
2013,Apr,32
2013,May,30
2013,Jun,27
2013,Jul,39
2013,Aug,39
2013,Sep,34
2013,Oct,33
2013,Nov,28
2013,Dec,25
2014,Jan,30
2014,Feb,27
2014,Mar,26
2014,Apr,30
2014,May,29
2014,Jun,31
2014,Jul,31
2014,Aug,27
2014,Sep,32
2014,Oct,28
2014,Nov,27
2014,Dec,20
2015,Jan,26
2015,Feb,28
2015,Mar,27
2015,Apr,28
2015,May,24
2015,Jun,54
2015,Jul,31
2015,Aug,30
2015,Sep,30
2015,Oct,25
2015,Nov,24
2015,Dec,22
2016,Jan,22
2016,Feb,22
2016,Mar,22
2016,Apr,24
2016,May,23
2016,Jun,21
2016,Jul,20
2016,Aug,24
2016,Sep,22
2016,Oct,24
2016,Nov,19
2016,Dec,20
2017,Jan,21
2017,Feb,18
2017,Mar,20
2017,Apr,20
2017,May,18
2017,Jun,20
2017,Jul,16
2017,Aug,21
2017,Sep,16
2017,Oct,17
2017,Nov,17
2017,Dec,14
2018,Jan,19
2018,Feb,18
2018,Mar,18
2018,Apr,18
2018,May,21
2018,Jun,19
2018,Jul,20
2018,Aug,22
2018,Sep,17
2018,Oct,17
2018,Nov,18
2018,Dec,15
2019,Jan,17
2019,Feb,19
2019,Mar,21
2019,Apr,21
2019,May,18
2019,Jun,24
2019,Jul,21
2019,Aug,18
2019,Sep,19
2019,Oct,18
2019,Nov,18
2019,Dec,16
2020,Jan,21
2020,Feb,21
2020,Mar,18
2020,Apr,19
2020,May,18
2020,Jun,19
2020,Jul,24
2020,Aug,18
2020,Sep,21
2020,Oct,20
2020,Nov,18
2020,Dec,15
2021,Jan,19
2021,Feb,20
2021,Mar,18
2021,Apr,17
2021,May,17
2021,Jun,19
2021,Jul,17
2021,Aug,20
2021,Sep,17
2021,Oct,18
2021,Nov,17
2021,Dec,15
2022,Jan,18
2022,Feb,21
2022,Mar,22
