CNAME:,COSTCO WHOLESALE CORP NEW
Google Trends Search Term:,costco
Google Trends Suggestion:,big-box store company
Google Trends URL:,/m/029f32
Year,Month,SVI Data
2004,Jan,18
2004,Feb,16
2004,Mar,15
2004,Apr,16
2004,May,18
2004,Jun,20
2004,Jul,21
2004,Aug,20
2004,Sep,18
2004,Oct,18
2004,Nov,20
2004,Dec,27
2005,Jan,19
2005,Feb,17
2005,Mar,18
2005,Apr,19
2005,May,23
2005,Jun,27
2005,Jul,28
2005,Aug,27
2005,Sep,25
2005,Oct,24
2005,Nov,33
2005,Dec,39
2006,Jan,29
2006,Feb,26
2006,Mar,27
2006,Apr,28
2006,May,29
2006,Jun,33
2006,Jul,35
2006,Aug,33
2006,Sep,33
2006,Oct,31
2006,Nov,44
2006,Dec,47
2007,Jan,35
2007,Feb,31
2007,Mar,31
2007,Apr,32
2007,May,35
2007,Jun,37
2007,Jul,38
2007,Aug,35
2007,Sep,34
2007,Oct,32
2007,Nov,44
2007,Dec,52
2008,Jan,33
2008,Feb,31
2008,Mar,32
2008,Apr,32
2008,May,37
2008,Jun,38
2008,Jul,38
2008,Aug,35
2008,Sep,31
2008,Oct,32
2008,Nov,45
2008,Dec,53
2009,Jan,38
2009,Feb,33
2009,Mar,33
2009,Apr,33
2009,May,37
2009,Jun,38
2009,Jul,38
2009,Aug,36
2009,Sep,33
2009,Oct,34
2009,Nov,46
2009,Dec,50
2010,Jan,36
2010,Feb,32
2010,Mar,32
2010,Apr,32
2010,May,35
2010,Jun,34
2010,Jul,38
2010,Aug,37
2010,Sep,36
2010,Oct,35
2010,Nov,47
2010,Dec,51
2011,Jan,42
2011,Feb,40
2011,Mar,41
2011,Apr,42
2011,May,46
2011,Jun,46
2011,Jul,47
2011,Aug,44
2011,Sep,43
2011,Oct,41
2011,Nov,56
2011,Dec,61
2012,Jan,46
2012,Feb,41
2012,Mar,41
2012,Apr,45
2012,May,47
2012,Jun,48
2012,Jul,47
2012,Aug,46
2012,Sep,46
2012,Oct,44
2012,Nov,60
2012,Dec,63
2013,Jan,46
2013,Feb,44
2013,Mar,44
2013,Apr,44
2013,May,47
2013,Jun,51
2013,Jul,51
2013,Aug,50
2013,Sep,46
2013,Oct,45
2013,Nov,60
2013,Dec,67
2014,Jan,47
2014,Feb,44
2014,Mar,46
2014,Apr,47
2014,May,51
2014,Jun,52
2014,Jul,54
2014,Aug,51
2014,Sep,47
2014,Oct,47
2014,Nov,62
2014,Dec,65
2015,Jan,50
2015,Feb,45
2015,Mar,47
2015,Apr,46
2015,May,51
2015,Jun,53
2015,Jul,57
2015,Aug,56
2015,Sep,52
2015,Oct,50
2015,Nov,67
2015,Dec,65
2016,Jan,48
2016,Feb,48
2016,Mar,49
2016,Apr,48
2016,May,56
2016,Jun,60
2016,Jul,62
2016,Aug,54
2016,Sep,53
2016,Oct,52
2016,Nov,65
2016,Dec,70
2017,Jan,53
2017,Feb,50
2017,Mar,50
2017,Apr,53
2017,May,57
2017,Jun,61
2017,Jul,64
2017,Aug,60
2017,Sep,58
2017,Oct,56
2017,Nov,76
2017,Dec,78
2018,Jan,62
2018,Feb,57
2018,Mar,60
2018,Apr,61
2018,May,66
2018,Jun,68
2018,Jul,71
2018,Aug,64
2018,Sep,63
2018,Oct,59
2018,Nov,82
2018,Dec,82
2019,Jan,66
2019,Feb,62
2019,Mar,64
2019,Apr,67
2019,May,72
2019,Jun,77
2019,Jul,75
2019,Aug,72
2019,Sep,68
2019,Oct,67
2019,Nov,92
2019,Dec,88
2020,Jan,66
2020,Feb,64
2020,Mar,100
2020,Apr,93
2020,May,87
2020,Jun,78
2020,Jul,79
2020,Aug,76
2020,Sep,69
2020,Oct,74
2020,Nov,96
2020,Dec,89
2021,Jan,74
2021,Feb,72
2021,Mar,71
2021,Apr,73
2021,May,79
2021,Jun,77
2021,Jul,79
2021,Aug,75
2021,Sep,72
2021,Oct,75
2021,Nov,93
2021,Dec,93
2022,Jan,78
2022,Feb,73
2022,Mar,81
