CNAME:,WHIRLPOOL CORP
Google Trends Search Term:,whirlpool corporation
Google Trends Suggestion:,home appliance company
Google Trends URL:,/m/04d8tw
Year,Month,SVI Data
2004,Jan,65
2004,Feb,64
2004,Mar,65
2004,Apr,57
2004,May,68
2004,Jun,65
2004,Jul,70
2004,Aug,71
2004,Sep,63
2004,Oct,64
2004,Nov,69
2004,Dec,60
2005,Jan,69
2005,Feb,69
2005,Mar,64
2005,Apr,67
2005,May,68
2005,Jun,72
2005,Jul,84
2005,Aug,79
2005,Sep,66
2005,Oct,67
2005,Nov,71
2005,Dec,68
2006,Jan,70
2006,Feb,69
2006,Mar,69
2006,Apr,68
2006,May,71
2006,Jun,69
2006,Jul,88
2006,Aug,81
2006,Sep,78
2006,Oct,73
2006,Nov,70
2006,Dec,68
2007,Jan,75
2007,Feb,73
2007,Mar,71
2007,Apr,71
2007,May,72
2007,Jun,78
2007,Jul,80
2007,Aug,73
2007,Sep,72
2007,Oct,69
2007,Nov,72
2007,Dec,69
2008,Jan,71
2008,Feb,68
2008,Mar,69
2008,Apr,66
2008,May,67
2008,Jun,74
2008,Jul,70
2008,Aug,67
2008,Sep,62
2008,Oct,60
2008,Nov,64
2008,Dec,62
2009,Jan,67
2009,Feb,65
2009,Mar,61
2009,Apr,57
2009,May,64
2009,Jun,64
2009,Jul,66
2009,Aug,66
2009,Sep,62
2009,Oct,62
2009,Nov,65
2009,Dec,59
2010,Jan,64
2010,Feb,60
2010,Mar,61
2010,Apr,60
2010,May,60
2010,Jun,63
2010,Jul,60
2010,Aug,58
2010,Sep,53
2010,Oct,52
2010,Nov,56
2010,Dec,52
2011,Jan,69
2011,Feb,65
2011,Mar,77
2011,Apr,65
2011,May,66
2011,Jun,70
2011,Jul,72
2011,Aug,69
2011,Sep,66
2011,Oct,64
2011,Nov,72
2011,Dec,63
2012,Jan,68
2012,Feb,63
2012,Mar,61
2012,Apr,59
2012,May,64
2012,Jun,66
2012,Jul,68
2012,Aug,69
2012,Sep,63
2012,Oct,61
2012,Nov,68
2012,Dec,62
2013,Jan,68
2013,Feb,62
2013,Mar,64
2013,Apr,64
2013,May,65
2013,Jun,69
2013,Jul,75
2013,Aug,72
2013,Sep,66
2013,Oct,64
2013,Nov,74
2013,Dec,66
2014,Jan,71
2014,Feb,67
2014,Mar,67
2014,Apr,61
2014,May,67
2014,Jun,66
2014,Jul,73
2014,Aug,72
2014,Sep,66
2014,Oct,64
2014,Nov,74
2014,Dec,66
2015,Jan,69
2015,Feb,63
2015,Mar,65
2015,Apr,63
2015,May,69
2015,Jun,74
2015,Jul,76
2015,Aug,74
2015,Sep,70
2015,Oct,65
2015,Nov,74
2015,Dec,66
2016,Jan,73
2016,Feb,72
2016,Mar,70
2016,Apr,68
2016,May,74
2016,Jun,76
2016,Jul,79
2016,Aug,77
2016,Sep,73
2016,Oct,74
2016,Nov,84
2016,Dec,76
2017,Jan,79
2017,Feb,72
2017,Mar,72
2017,Apr,73
2017,May,76
2017,Jun,80
2017,Jul,87
2017,Aug,82
2017,Sep,77
2017,Oct,76
2017,Nov,86
2017,Dec,74
2018,Jan,84
2018,Feb,77
2018,Mar,77
2018,Apr,74
2018,May,79
2018,Jun,84
2018,Jul,97
2018,Aug,88
2018,Sep,82
2018,Oct,79
2018,Nov,93
2018,Dec,83
2019,Jan,86
2019,Feb,81
2019,Mar,80
2019,Apr,78
2019,May,82
2019,Jun,85
2019,Jul,89
2019,Aug,85
2019,Sep,80
2019,Oct,76
2019,Nov,88
2019,Dec,82
2020,Jan,82
2020,Feb,84
2020,Mar,77
2020,Apr,90
2020,May,96
2020,Jun,98
2020,Jul,100
2020,Aug,98
2020,Sep,88
2020,Oct,90
2020,Nov,95
2020,Dec,91
2021,Jan,94
2021,Feb,92
2021,Mar,87
2021,Apr,81
2021,May,85
2021,Jun,88
2021,Jul,91
2021,Aug,92
2021,Sep,86
2021,Oct,84
2021,Nov,92
2021,Dec,84
2022,Jan,91
2022,Feb,87
2022,Mar,84
