CNAME:,WESTERN UNION CO
Google Trends Search Term:,western union
Google Trends Suggestion:,financial services company
Google Trends URL:,/m/01bfgd
Year,Month,SVI Data
2004,Jan,32
2004,Feb,32
2004,Mar,30
2004,Apr,32
2004,May,33
2004,Jun,35
2004,Jul,38
2004,Aug,37
2004,Sep,39
2004,Oct,36
2004,Nov,34
2004,Dec,37
2005,Jan,33
2005,Feb,37
2005,Mar,32
2005,Apr,34
2005,May,36
2005,Jun,39
2005,Jul,43
2005,Aug,44
2005,Sep,45
2005,Oct,39
2005,Nov,39
2005,Dec,42
2006,Jan,40
2006,Feb,41
2006,Mar,42
2006,Apr,39
2006,May,42
2006,Jun,46
2006,Jul,46
2006,Aug,48
2006,Sep,46
2006,Oct,45
2006,Nov,40
2006,Dec,46
2007,Jan,41
2007,Feb,44
2007,Mar,46
2007,Apr,45
2007,May,45
2007,Jun,49
2007,Jul,48
2007,Aug,49
2007,Sep,47
2007,Oct,46
2007,Nov,42
2007,Dec,47
2008,Jan,41
2008,Feb,39
2008,Mar,41
2008,Apr,42
2008,May,47
2008,Jun,49
2008,Jul,48
2008,Aug,46
2008,Sep,45
2008,Oct,42
2008,Nov,41
2008,Dec,44
2009,Jan,40
2009,Feb,39
2009,Mar,38
2009,Apr,38
2009,May,39
2009,Jun,42
2009,Jul,42
2009,Aug,42
2009,Sep,40
2009,Oct,38
2009,Nov,37
2009,Dec,41
2010,Jan,38
2010,Feb,38
2010,Mar,36
2010,Apr,37
2010,May,37
2010,Jun,38
2010,Jul,44
2010,Aug,43
2010,Sep,45
2010,Oct,48
2010,Nov,44
2010,Dec,55
2011,Jan,53
2011,Feb,56
2011,Mar,55
2011,Apr,55
2011,May,57
2011,Jun,62
2011,Jul,66
2011,Aug,65
2011,Sep,62
2011,Oct,59
2011,Nov,60
2011,Dec,65
2012,Jan,59
2012,Feb,62
2012,Mar,60
2012,Apr,59
2012,May,60
2012,Jun,62
2012,Jul,65
2012,Aug,66
2012,Sep,63
2012,Oct,60
2012,Nov,60
2012,Dec,69
2013,Jan,60
2013,Feb,63
2013,Mar,66
2013,Apr,63
2013,May,66
2013,Jun,70
2013,Jul,73
2013,Aug,74
2013,Sep,70
2013,Oct,69
2013,Nov,71
2013,Dec,73
2014,Jan,67
2014,Feb,68
2014,Mar,68
2014,Apr,69
2014,May,72
2014,Jun,68
2014,Jul,75
2014,Aug,74
2014,Sep,67
2014,Oct,64
2014,Nov,63
2014,Dec,74
2015,Jan,66
2015,Feb,68
2015,Mar,68
2015,Apr,69
2015,May,73
2015,Jun,77
2015,Jul,82
2015,Aug,83
2015,Sep,77
2015,Oct,71
2015,Nov,66
2015,Dec,73
2016,Jan,74
2016,Feb,81
2016,Mar,79
2016,Apr,81
2016,May,82
2016,Jun,86
2016,Jul,92
2016,Aug,86
2016,Sep,87
2016,Oct,81
2016,Nov,82
2016,Dec,89
2017,Jan,80
2017,Feb,81
2017,Mar,83
2017,Apr,84
2017,May,87
2017,Jun,98
2017,Jul,98
2017,Aug,98
2017,Sep,90
2017,Oct,86
2017,Nov,83
2017,Dec,90
2018,Jan,83
2018,Feb,82
2018,Mar,87
2018,Apr,83
2018,May,85
2018,Jun,93
2018,Jul,100
2018,Aug,94
2018,Sep,86
2018,Oct,86
2018,Nov,79
2018,Dec,89
2019,Jan,78
2019,Feb,85
2019,Mar,81
2019,Apr,80
2019,May,84
2019,Jun,89
2019,Jul,87
2019,Aug,84
2019,Sep,77
2019,Oct,74
2019,Nov,72
2019,Dec,78
2020,Jan,66
2020,Feb,68
2020,Mar,68
2020,Apr,66
2020,May,61
2020,Jun,63
2020,Jul,62
2020,Aug,60
2020,Sep,54
2020,Oct,58
2020,Nov,54
2020,Dec,62
2021,Jan,53
2021,Feb,56
2021,Mar,57
2021,Apr,52
2021,May,51
2021,Jun,50
2021,Jul,52
2021,Aug,50
2021,Sep,48
2021,Oct,46
2021,Nov,46
2021,Dec,51
2022,Jan,43
2022,Feb,45
2022,Mar,47
